"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Pressure_Coefficient"	"Mach"
46	5.433599948880000e-01	-4.989683951066199e-02	1.122231761509856e+00	3.423588809916039e+02	2.493951404563786e+01	2.767735499586553e+05	8.970991047107319e+04	-2.558750468992723e-01	9.143350077291772e-01	
47	5.276100039480000e-01	-5.101897737545535e-02	1.116108538345195e+00	3.427938335960328e+02	2.388584916265190e+01	2.754590859033719e+05	8.902473411375190e+04	-2.709691649538283e-01	9.213235816655732e-01	
48	5.118399858470000e-01	-5.209138375948307e-02	1.109944095940256e+00	3.431936458296006e+02	2.277457393890700e+01	2.741337203668514e+05	8.833699839043489e+04	-2.861196646568042e-01	9.283409544642848e-01	
49	4.960500001910000e-01	-5.311153541819326e-02	1.103746108530588e+00	3.435703444310668e+02	2.159217315931920e+01	2.728001607309041e+05	8.764650210295711e+04	-3.013309783106626e-01	9.354180314312276e-01	
50	4.802699983120000e-01	-5.407492053959814e-02	1.097350667754216e+00	3.439340945925159e+02	2.034419703909055e+01	2.714234837191482e+05	8.693464148640994e+04	-3.170129382465824e-01	9.427586182910440e-01	
51	4.645099937920000e-01	-5.497835513414191e-02	1.090401401198603e+00	3.442997203416738e+02	1.906090989952520e+01	2.699273137209712e+05	8.616141284784199e+04	-3.340468073067131e-01	9.507964660787799e-01	
52	4.487800002100000e-01	-5.581859897363720e-02	1.082848363290227e+00	3.446334758764390e+02	1.777674594781279e+01	2.682982322241210e+05	8.532392411440815e+04	-3.524962965173913e-01	9.595137393782567e-01	
53	4.331099987030000e-01	-5.659141825851464e-02	1.075887176689215e+00	3.448637613084033e+02	1.644154148999088e+01	2.667911221414692e+05	8.455774286342578e+04	-3.693749148905180e-01	9.674231844441802e-01	
54	4.174999892710000e-01	-5.729416860686566e-02	1.071733175724429e+00	3.449295738698457e+02	1.493749503053938e+01	2.658832597326490e+05	8.410904713442213e+04	-3.792594741456476e-01	9.718708977338559e-01	
55	4.019699990750000e-01	-5.792324246601335e-02	1.071386232622590e+00	3.448664795205071e+02	1.312434818258953e+01	2.657948888406455e+05	8.408411799281037e+04	-3.798086515982348e-01	9.717872838360421e-01	
56	3.865399956700000e-01	-5.847520956655861e-02	1.071453573647779e+00	3.448458537628253e+02	1.102940980021038e+01	2.658009554885423e+05	8.410004271161111e+04	-3.794578374129589e-01	9.714002727215620e-01	
57	3.712300062180000e-01	-5.894684318665333e-02	1.063129657299899e+00	3.451266555589098e+02	9.003251939275573e+00	2.640041526462885e+05	8.317853211947625e+04	-3.997582892857969e-01	9.812133885476352e-01	
58	3.560400009160000e-01	-5.933561549045978e-02	1.037970290181068e+00	3.456011829025389e+02	7.552019719662173e+00	2.585654602803756e+05	8.040101436386489e+04	-4.609457200163704e-01	1.011327089980384e+00	
59	3.409900069240000e-01	-5.963847719943702e-02	1.000470041021466e+00	3.454161147118792e+02	6.512668926585883e+00	2.504141932146797e+05	7.630595090419275e+04	-5.511580728518392e-01	1.056755481946264e+00	
60	3.261100053790000e-01	-5.985254444802346e-02	9.705934576684400e-01	3.442377879666991e+02	4.639814211053511e+00	2.438470456039326e+05	7.311640294427008e+04	-6.214223382972470e-01	1.092214358477616e+00	
