"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature"
1115, 7.292985348121192e-02, -9.418146833174358e-02, 1.178184956207935e+00, 3.342218552502654e+02, -6.013808241823336e+01, 2.888082311679624e+05, 9.594727651548931e+04, 2.836935905233063e+02
1116, 6.376305729039160e-02, -8.979223608276692e-02, 1.195917319146005e+00, 3.315056664367699e+02, -6.421088705485930e+01, 2.925815961874598e+05, 9.796459036318319e+04, 2.853634302076871e+02
1117, 9.011217470173449e-01, -7.105702418520447e-02, 1.264662761862281e+00, 3.248640982951595e+02, 3.505726617102655e+01, 3.070648193927151e+05, 1.059414748432839e+05, 2.918244186268151e+02
1118, 9.107248512229296e-01, -6.747749518237156e-02, 1.269676743393437e+00, 3.237110398936260e+02, 3.522048174977559e+01, 3.081046644553515e+05, 1.065400839726515e+05, 2.923144035216017e+02
1119, 9.199324379077621e-01, -6.386305663640088e-02, 1.274984474250080e+00, 3.225748610790839e+02, 3.515505868658853e+01, 3.092105967877352e+05, 1.071678934139676e+05, 2.928128575767610e+02
1120, 9.286979716594318e-01, -6.023445304401708e-02, 1.280907740903443e+00, 3.212630643613081e+02, 3.499674396984167e+01, 3.104429395756036e+05, 1.078708135097750e+05, 2.933705054246640e+02
1121, 9.657055470775711e-01, -4.202053397998839e-02, 1.309263756649392e+00, 3.141858395282568e+02, 3.368544150023276e+01, 3.163081512287619e+05, 1.112708027308674e+05, 2.960631943774562e+02
1122, 9.717047844967935e-01, -3.836925240846051e-02, 1.315499058126276e+00, 3.125435928079544e+02, 3.311220442097166e+01, 3.175957642864180e+05, 1.120204438808054e+05, 2.966450412739802e+02
1123, 7.773880896173306e-01, -1.061285117979987e-01, 1.213015589794004e+00, 3.340888622318906e+02, 3.254403617045845e+01, 2.962222446698371e+05, 9.991131599583408e+04, 2.869317731771687e+02
1124, 9.988757115547783e-01, -1.335810983825897e-02, 1.364289824547779e+00, 2.983519502330544e+02, 2.407727208008918e+01, 3.276285831868238e+05, 1.179173323488675e+05, 3.010934797514675e+02
1125, 4.608767388108398e-01, -1.458776089219597e-01, 1.107424681336107e+00, 3.450741540442946e+02, 1.722756988564474e+01, 2.737183997332993e+05, 8.792869988413030e+04, 2.765965752959996e+02
1126, 4.771973813071930e-01, -1.452054678610520e-01, 1.113925489592276e+00, 3.447256564706607e+02, 1.824402328120724e+01, 2.751188466616930e+05, 8.865138178918778e+04, 2.772424401695800e+02
1127, 4.283761878169488e-01, -1.467396352637641e-01, 1.098701385591974e+00, 3.455788722953182e+02, 1.447365450473843e+01, 2.718406272719232e+05, 8.695886076064121e+04, 2.757176159105972e+02
1128, 4.445929755030721e-01, -1.463855581787435e-01, 1.103109489264775e+00, 3.452888054363430e+02, 1.599884956383731e+01, 2.727864480038274e+05, 8.745211985188705e+04, 2.761735395554532e+02
1129, 9.522727033260251e-01, -4.931229198930566e-02, 1.297642811076662e+00, 3.172510060730022e+02, 3.443418334936197e+01, 3.139122524146194e+05, 1.098696860780502e+05, 2.949531671173392e+02
1130, 9.592191001666902e-01, -4.567320097026161e-02, 1.303194292595985e+00, 3.157419954014131e+02, 3.414664903232578e+01, 3.150533031930004e+05, 1.105425853936520e+05, 2.954954470681693e+02
1131, 1.370656259424054e-01, -1.166177331534126e-01, 1.093535105883927e+00, 3.438981040056989e+02, -3.653457187810356e+01, 2.707046842243134e+05, 8.640773718738502e+04, 2.752645267735925e+02
1132, 1.490598562814090e-01, -1.198597100936256e-01, 1.080788506830462e+00, 3.447105572675673e+02, -3.321316618690093e+01, 2.679591267927773e+05, 8.499087536061129e+04, 2.739440864235206e+02
1133, 9.867047627338714e-01, -2.741425836754744e-02, 1.335311605479207e+00, 3.070649982774851e+02, 3.058402317292583e+01, 3.216764439350318e+05, 1.144080945326225e+05, 2.984726037637139e+02
1134, 9.906228800481485e-01, -2.379923031111454e-02, 1.342361216736894e+00, 3.050110824818124e+02, 2.941048955671755e+01, 3.231232584611870e+05, 1.152595164088135e+05, 2.991146898890711e+02
1135, 7.568239514737485e-01, -1.106089527022512e-01, 1.206396013919017e+00, 3.352397643534248e+02, 3.176504058257385e+01, 2.948358186115309e+05, 9.913540634430366e+04, 2.862656527228006e+02
1136, 1.033674905405513e-01, -1.064550809823575e-01, 1.131636946886034e+00, 3.403855291436230e+02, -4.780384138891757e+01, 2.788826136679811e+05, 9.067222922537003e+04, 2.791242185466779e+02
1137, 1.144890564760000e-01, -1.099126936275038e-01, 1.117305157035532e+00, 3.419920175499070e+02, -4.401655600602089e+01, 2.758267877012420e+05, 8.904807863658281e+04, 2.776406773492130e+02
1138, 1.254682944666432e-01, -1.132405191915928e-01, 1.108220976443368e+00, 3.430269344779580e+02, -4.033017712440986e+01, 2.738837679416091e+05, 8.802458767412999e+04, 2.766992477730069e+02
1139, 5.826542486461176e-01, -1.374666029100953e-01, 1.149394601660777e+00, 3.418960866063358e+02, 2.461635846090145e+01, 2.827140190119488e+05, 9.264025333378732e+04, 2.807766100252786e+02
1140, 3.160525560889966e-02, -7.142770660225935e-02, 1.277093624057810e+00, 3.138765183453720e+02, -8.041695062401789e+01, 3.096402806948779e+05, 1.074148189007749e+05, 2.930028260535940e+02
1141, 3.906404183695410e-02, -7.644550115982783e-02, 1.254770442677639e+00, 3.193156761413370e+02, -7.662317064522044e+01, 3.049663505857908e+05, 1.047987570922122e+05, 2.909525697698231e+02
1142, 4.716517485788652e-02, -8.105641168917634e-02, 1.233248954602218e+00, 3.239876957541331e+02, -7.267331131070179e+01, 3.004404731786339e+05, 1.022966789316299e+05, 2.889622590357056e+02
1143, 5.510808440416177e-02, -8.529416424562483e-02, 1.214345957814249e+00, 3.279165086570412e+02, -6.859305619259747e+01, 2.964635282771810e+05, 1.001006881913292e+05, 2.871606826224368e+02
1144, 3.326487837429398e-01, -1.452299089402187e-01, 1.025626604473657e+00, 3.467329950279425e+02, 7.059481590470167e+00, 2.559917395106255e+05, 7.894301283683207e+04, 2.681357766393573e+02
1145, 3.482943932022656e-01, -1.459333518312673e-01, 1.046689960851789e+00, 3.469139149584012e+02, 9.374465105930117e+00, 2.605912188067793e+05, 8.122353249450524e+04, 2.703299474922226e+02
1146, 3.641369289719668e-01, -1.464481083223285e-01, 1.070511272344490e+00, 3.463930160263055e+02, 1.003483615274486e+01, 2.657362883602475e+05, 8.385872740037927e+04, 2.728898408590064e+02
1147, 3.800504849353785e-01, -1.467715502934772e-01, 1.087962866596284e+00, 3.462378828782554e+02, 1.038987051143130e+01, 2.695371507615097e+05, 8.575737569124607e+04, 2.745919208564225e+02
1148, 3.960466758263260e-01, -1.469349801887878e-01, 1.095460836508342e+00, 3.459397075987250e+02, 1.109776998386717e+01, 2.711529569677472e+05, 8.658957628148483e+04, 2.753588910314666e+02
1149, 1.742457305561059e-01, -1.258599844534956e-01, 1.062483556558259e+00, 3.457702697817625e+02, -2.629373345096803e+01, 2.640055378837663e+05, 8.296686439602874e+04, 2.720274965577898e+02
1150, 1.873334096445057e-01, -1.285694062003457e-01, 1.055689429565250e+00, 3.460623959105674e+02, -2.295543852767783e+01, 2.625298453595030e+05, 8.222377134916041e+04, 2.713260953129453e+02
1151, 2.006937252726526e-01, -1.310878054206076e-01, 1.044946355080131e+00, 3.462922759624047e+02, -1.980618777856419e+01, 2.601947282668546e+05, 8.105075218507541e+04, 2.702050114241225e+02
1152, 2.143408070672109e-01, -1.334347236671193e-01, 1.039211780898159e+00, 3.463994987896004e+02, -1.676993546640840e+01, 2.589426819074361e+05, 8.042994419726764e+04, 2.696150005038645e+02
1153, 2.283123215005324e-01, -1.356056443408885e-01, 1.030068519815865e+00, 3.464737628481809e+02, -1.386047205625742e+01, 2.569514438267482e+05, 7.943529928662805e+04, 2.686443843624274e+02
1154, 9.821866587508171e-01, 3.110053368546961e-02, 1.319045884935487e+00, 2.898200485799287e+02, -2.752123246862444e+01, 3.168526073771875e+05, 1.138903787301061e+05, 3.007859035958727e+02
1155, 9.772033821209077e-01, 3.472318467682566e-02, 1.313379866417420e+00, 2.922135748820775e+02, -2.850824919750167e+01, 3.157318142945409e+05, 1.131660598046549e+05, 3.001623285599231e+02
1156, 9.717047915473342e-01, 3.836925079410090e-02, 1.307837818980197e+00, 2.944272081932421e+02, -2.935725505676155e+01, 3.146278375422777e+05, 1.124627426522978e+05, 2.995608981702799e+02
1157, 4.771973787219919e-01, 1.452053746425958e-01, 7.892380766717650e-01, 3.232072591408503e+02, -1.546725222642663e+01, 2.030509116918486e+05, 5.468789713682851e+04, 2.413868124916933e+02
1158, 4.608767443366293e-01, 1.458776058465313e-01, 7.939132969927032e-01, 3.239634339380987e+02, -1.388645134014118e+01, 2.041096630404200e+05, 5.515605087722935e+04, 2.420195410145384e+02
1159, 4.445929668171304e-01, 1.463854413894526e-01, 7.963165548596741e-01, 3.244420454919639e+02, -1.238226370651930e+01, 2.046617768800252e+05, 5.538881729125348e+04, 2.423074084024410e+02
1160, 4.283762123176990e-01, 1.467396152004294e-01, 8.018072512251661e-01, 3.253850049924220e+02, -1.066005046468903e+01, 2.059152291060676e+05, 5.592855619039007e+04, 2.429931180352204e+02
1161, 4.121779934249985e-01, 1.469296185386356e-01, 8.049067324939104e-01, 3.260035890743014e+02, -9.095754261885956e+00, 2.066315505345449e+05, 5.622444697556682e+04, 2.433380243549778e+02
1162, 4.716515726084405e-02, 8.105641487464701e-02, 1.110726682357429e+00, 3.327318523653505e+02, 8.909912016427063e+01, 2.743494449389343e+05, 8.837554126871774e+04, 2.771757473635096e+02
1163, 3.906403784594906e-02, 7.644549429487084e-02, 1.134951922412767e+00, 3.298063213302281e+02, 9.504836760546355e+01, 2.795683013518422e+05, 9.106760386068594e+04, 2.795225117794099e+02
1164, 2.573101905552828e-01, 1.391475498320272e-01, 8.689621121493333e-01, 3.350072639987867e+02, 1.248158374615552e+01, 2.211725057686728e+05, 6.260236087547734e+04, 2.509690784567617e+02
1165, 2.427119378128608e-01, 1.375688690048547e-01, 8.748929263561041e-01, 3.356305608670625e+02, 1.516606698559796e+01, 2.225111538552881e+05, 6.320064496632401e+04, 2.516500090796642e+02
1166, 1.254682707481688e-01, 1.132405533279768e-01, 9.679901818490820e-01, 3.408491267609090e+02, 4.711457733946321e+01, 2.432688140635830e+05, 7.284489928238839e+04, 2.621552383284074e+02
1167, 1.144890776617522e-01, 1.099126684223198e-01, 9.844633806286692e-01, 3.408290632888102e+02, 5.147698684488751e+01, 2.468792291463147e+05, 7.461380438006094e+04, 2.640279862235745e+02
1168, 1.033674756036567e-01, 1.064550466155885e-01, 1.000764337041498e+00, 3.406811873639805e+02, 5.619183148433579e+01, 2.504588083382622e+05, 7.635749578085738e+04, 2.657970775706074e+02
1169, 9.199324773444788e-01, 6.386305895154061e-02, 1.272680949565729e+00, 3.062926844282624e+02, -3.228260349250095e+01, 3.075171607526524e+05, 1.081001628131676e+05, 2.958946753379526e+02
1170, 9.107248775765620e-01, 6.747749830326633e-02, 1.267987074608917e+00, 3.075447757609181e+02, -3.264318091286849e+01, 3.065514851640293e+05, 1.075337894327735e+05, 2.954339962920349e+02
1171, 9.011217674449912e-01, 7.105702384494325e-02, 1.263560653463256e+00, 3.086675601229086e+02, -3.253431666874440e+01, 3.056345991425005e+05, 1.070057953040375e+05, 2.950132695179826e+02
1172, 8.910866620905008e-01, 7.462307059913681e-02, 1.259096970135223e+00, 3.097976936871279e+02, -3.274428761835948e+01, 3.047134023789848e+05, 1.064700590824972e+05, 2.945768823541208e+02
1173, 8.806248252127667e-01, 7.815166219127495e-02, 1.254903467387041e+00, 3.106974111791059e+02, -3.256979545005267e+01, 3.038342983117492e+05, 1.059797463817025e+05, 2.942001581785862e+02
1174, 8.698297705886394e-01, 8.162288467150845e-02, 1.250753264279154e+00, 3.116910231621005e+02, -3.267733529966047e+01, 3.029748680377855e+05, 1.054843552383097e+05, 2.937965914719287e+02
1175, 8.586333501059384e-01, 8.507873857061576e-02, 1.246519593921546e+00, 3.123956131863577e+02, -3.249433944184402e+01, 3.020742772014487e+05, 1.050021375772992e+05, 2.934467987314864e+02
1176, 8.410977262501900e-01, 9.015028222849328e-02, 1.240838270297296e+00, 3.136124450753964e+02, -3.243421369034270e+01, 3.008881766431645e+05, 1.043330788368825e+05, 2.929120168120872e+02
1177, 8.228999705537663e-01, 9.512178974848350e-02, 1.235875333455349e+00, 3.146057282839996e+02, -3.207319104916257e+01, 2.998457148351294e+05, 1.037545413206562e+05, 2.924575219191018e+02
1178, 8.037827802280265e-01, 9.995256661068742e-02, 1.230573285062472e+00, 3.155186674453436e+02, -3.195470695837762e+01, 2.987245857561392e+05, 1.031440978844616e+05, 2.919895067826521e+02
1179, 7.497845337628821e-01, 1.120402708887637e-01, 1.219244994805500e+00, 3.170980906659013e+02, -3.122911643039263e+01, 2.963001849693196e+05, 1.018660861100611e+05, 2.910509250454418e+02
1180, 7.211895258106688e-01, 1.175903424686090e-01, 1.214542223898192e+00, 3.172574442873409e+02, -3.188871742105617e+01, 2.952654911609860e+05, 1.013642217097945e+05, 2.907384144542175e+02
1181, 6.916225949314334e-01, 1.227787013500487e-01, 1.230443859300857e+00, 3.166237507220686e+02, -3.016195792303973e+01, 2.987612208846095e+05, 1.030615856626895e+05, 2.917866125382142e+02
1182, 6.302354598133932e-01, 1.318592239605597e-01, 9.061997089622297e-01, 3.129758604789350e+02, -3.622076831164244e+01, 2.270298952463151e+05, 6.890379981555909e+04, 2.648802632742962e+02
1183, 5.986589793593536e-01, 1.357225974780205e-01, 7.620605573009844e-01, 3.214774932064307e+02, -2.404908520451102e+01, 1.972410323174314e+05, 5.162137916704586e+04, 2.359774287586859e+02
1184, 2.283122798230955e-01, 1.356057314077932e-01, 8.858336838026259e-01, 3.366782977496397e+02, 1.839270244527660e+01, 2.249665548505356e+05, 6.431801850874502e+04, 2.529360961595574e+02
1185, 2.143408154302079e-01, 1.334348184496078e-01, 8.919866367606697e-01, 3.371578667979231e+02, 2.132488017232204e+01, 2.263458050075232e+05, 6.494821269990040e+04, 2.536525317960138e+02
1186, 2.006937177439520e-01, 1.310877868282112e-01, 9.036231475178563e-01, 3.380799408252287e+02, 2.479326715301811e+01, 2.289483804046092e+05, 6.614557419806252e+04, 2.550021186469874e+02
1187, 1.873333925786733e-01, 1.285694988653646e-01, 9.101520840664842e-01, 3.383971480118542e+02, 2.801648730328042e+01, 2.304014784951899e+05, 6.682470405313210e+04, 2.557722485664827e+02
1188, 1.742457240912159e-01, 1.258600921676309e-01, 9.231041584630919e-01, 3.391851197135898e+02, 3.169184154551055e+01, 2.332852472630785e+05, 6.817047514583134e+04, 2.572621879717354e+02
1189, 1.614698585733266e-01, 1.229529164544327e-01, 9.342281299629909e-01, 3.396177633144225e+02, 3.545226703141624e+01, 2.357496929349338e+05, 6.933871733371548e+04, 2.585551597159684e+02
1190, 1.490597269878205e-01, 1.198597025166290e-01, 9.464594953390469e-01, 3.402543192437227e+02, 3.911051846910072e+01, 2.384787843316658e+05, 7.060384241728474e+04, 2.598703011017757e+02
1191, 3.160525359700427e-02, 7.142769070331945e-02, 1.160073575578795e+00, 3.258579706967953e+02, 1.014046980198562e+02, 2.849418792809344e+05, 9.389762357793223e+04, 2.819677324915847e+02
1192, 2.489990399881402e-02, 6.639624917458178e-02, 1.185726322209366e+00, 3.210024395000956e+02, 1.076347694791209e+02, 2.903936478914160e+05, 9.682284414148433e+04, 2.844616469105989e+02
1193, 8.228999403851430e-01, -9.512179814917771e-02, 1.229890181293237e+00, 3.314539922387736e+02, 3.370314287826393e+01, 2.997825498531667e+05, 1.018630098673300e+05, 2.885230507100585e+02
1194, 8.351575284996541e-01, -9.181609207501944e-02, 1.234562481331470e+00, 3.306408364806981e+02, 3.409118548811000e+01, 3.007649138125997e+05, 1.024072243357754e+05, 2.889667449557406e+02
1195, 8.470379031684674e-01, -8.848452495670915e-02, 1.239325151202828e+00, 3.298004368895970e+02, 3.431498471362334e+01, 3.017648059390757e+05, 1.029630651050008e+05, 2.894186706614562e+02
1196, 4.934979492779130e-01, -1.443790495354992e-01, 1.120919333133393e+00, 3.442986125834935e+02, 1.928419888019361e+01, 2.766224208080671e+05, 8.943184565643125e+04, 2.779381607028172e+02
1197, 5.179411758019866e-01, -1.428363158459652e-01, 1.128170270240132e+00, 3.436332734753976e+02, 2.104660842632431e+01, 2.781674938182461e+05, 9.025478164246753e+04, 2.786929060823997e+02
1198, 1.888312507599461e-02, 6.170612061545803e-02, 1.214019764253385e+00, 3.152584500456018e+02, 1.131140874082155e+02, 2.963836511406075e+05, 1.000722642848874e+05, 2.871562774014612e+02
1199, 1.287520553930442e-02, 5.655291217963842e-02, 1.245732464056776e+00, 3.079909525900759e+02, 1.185251646186759e+02, 3.030694213356774e+05, 1.037430124301283e+05, 2.901111479526811e+02
1200, 7.617462301543251e-03, 5.111344181017270e-02, 1.277311069903490e+00, 2.991732746200390e+02, 1.236517982280444e+02, 3.096670188295147e+05, 1.074582101398136e+05, 2.930712872086422e+02
1201, 9.264507015826076e-02, 1.025195707448905e-01, 1.016533468110147e+00, 3.404775053271537e+02, 6.108161819397802e+01, 2.539340219144260e+05, 7.803165968711369e+04, 2.674111475359555e+02
1202, 8.254519207920642e-02, 9.842122097322399e-02, 1.032393507856844e+00, 3.398661671891118e+02, 6.642937405667750e+01, 2.574120162214332e+05, 7.973299179296827e+04, 2.690438943925125e+02
1203, 7.292983206515213e-02, 9.418148254336695e-02, 1.049701102614570e+00, 3.388605356512082e+02, 7.169580508331090e+01, 2.611815017536787e+05, 8.161528431120426e+04, 2.708545838069618e+02
1204, 6.376304133656770e-02, 8.979225041589421e-02, 1.069820134219380e+00, 3.374571484402106e+02, 7.717688598003413e+01, 2.655494521536779e+05, 8.381721150799509e+04, 2.729309497535880e+02
1205, 5.510807436130734e-02, 8.529417237029353e-02, 1.089951331964256e+00, 3.352460693053432e+02, 8.324236476319217e+01, 2.698821983526304e+05, 8.605846721881175e+04, 2.750532909095674e+02
1206, 3.960466820180344e-01, 1.469349938653300e-01, 8.112085756679155e-01, 3.270217443374499e+02, -7.272591146009932e+00, 2.080667189741204e+05, 5.684725446706574e+04, 2.441222177634546e+02
1207, 3.800504825612662e-01, 1.467715643836505e-01, 8.149447251648851e-01, 3.276909620683383e+02, -5.682891888553118e+00, 2.089250963895325e+05, 5.720906987545064e+04, 2.445496688939835e+02
1208, 3.641369153446280e-01, 1.464480536754496e-01, 8.218886402932049e-01, 3.287438742380147e+02, -3.801179076383650e+00, 2.105028478131360e+05, 5.789903966495991e+04, 2.454080066281101e+02
1209, 3.482943931756278e-01, 1.459333856072850e-01, 8.276555246156140e-01, 3.296345116594056e+02, -1.875247970863565e+00, 2.118165208569582e+05, 5.846872094878492e+04, 2.460958671526675e+02
