"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Conservative_5","Conservative_6","Pressure","Temperature","Pressure_Coefficient","Mach","Laminar_Viscosity","Skin_Friction_Coefficient","Heat_Flux","Y_Plus","Eddy_Viscosity"
13,2.973711728635770e+00,5.352202629500000e-08,1.000056840727149e+00,1.737591340477925e-01,2.550756178999050e-02,2.515733614723874e+00,1.485370967034674e-08,6.281458422801155e-02,1.000125216081113e+00,1.000068371467680e+00,7.950227372263833e-03,1.484136546020175e-01,2.958195416956557e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.364121468306202e-07,
14,2.283886053947150e+00,5.352202629500000e-08,1.000132992989764e+00,1.731634576180331e-01,2.390807773839056e-02,2.515861066808462e+00,3.400806859278955e-08,1.047985969221120e-01,1.000233789946958e+00,1.000100783553688e+00,1.484380615606327e-02,1.477110464564922e-01,2.958269143313542e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,3.244202012042314e-07,
15,1.832911462718730e+00,5.352202629500000e-08,1.000243464314574e+00,1.718926505524976e-01,2.227506296902131e-02,2.515996572785108e+00,9.417555214680979e-08,1.807249299943022e-01,1.000391401640220e+00,1.000147901316953e+00,2.485089779173205e-02,1.464440350009945e-01,2.958376317958471e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,5.209903546763609e-07,
16,1.538086133079550e+00,5.352202629500000e-08,1.000422263892018e+00,1.699743704828308e-01,2.089513975060653e-02,2.516271915696432e+00,2.957202788169270e-07,3.298821372990935e-01,1.000645545078940e+00,1.000223186943135e+00,4.098698913906116e-02,1.446587173944206e-01,2.958547558471230e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,8.964238643419823e-07,
17,1.345343622331700e+00,5.352202629500000e-08,1.000615323704589e+00,1.675200352788445e-01,2.010375167928502e-02,2.516543675271397e+00,9.858046674548684e-07,6.512042414087094e-01,1.000927152272342e+00,1.000311636810236e+00,5.886681094231908e-02,1.424862515500246e-01,2.958748733622027e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.514132620938807e-06,
18,1.219337910763940e+00,5.352202629500000e-08,1.000768586999440e+00,1.643312848334873e-01,1.998766948292981e-02,2.516696060982118e+00,3.228445982454766e-06,1.362400575190284e+00,1.001200486283066e+00,1.000431567586390e+00,7.622135130577178e-02,1.397712363954896e-01,2.959021496822244e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.370618455230749e-06,
19,1.136961483861060e+00,5.352202629500000e-08,1.000719857612744e+00,1.597736530927205e-01,2.075132137441865e-02,2.516340269632598e+00,9.537016097168327e-06,2.870345207399217e+00,1.001344378966368e+00,1.000624072110564e+00,8.535739469000844e-02,1.360271479783963e-01,2.959459284026820e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,3.323884020457990e-06,
20,1.083107768621840e+00,5.352202629500000e-08,1.000244479193803e+00,1.532897694503039e-01,2.170024821950152e-02,2.514951108779894e+00,2.396985004475080e-05,6.038671998901379e+00,1.001178297618780e+00,1.000933590181602e+00,7.481254722409672e-02,1.307522021424605e-01,2.960163093489737e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,3.969189075241107e-06,
21,1.047900819812490e+00,5.352202629500000e-08,9.993853083401649e-01,1.441480698838933e-01,2.132286529677093e-02,2.512658235570124e+00,5.054423775769517e-05,1.373966134461072e+01,1.000793817245870e+00,1.001409375236909e+00,5.040109497588143e-02,1.231420151151008e-01,2.961244768884286e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,3.675476619217929e-06,
22,1.024884223112370e+00,5.352202629500000e-08,9.982443764922463e-01,1.297259933280403e-01,1.861840493632126e-02,2.509338849923519e+00,9.889427656764901e-05,3.866550068072039e+01,1.000254925377482e+00,1.002014084859963e+00,1.618573825285053e-02,1.108451300707686e-01,2.962619187275740e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.552534641905311e-06,
23,1.009837087771990e+00,5.352202629500000e-08,9.969429370570196e-01,9.503577432746156e-02,1.230853148252371e-02,2.505147987520091e+00,2.261888137310223e-04,1.296398204653003e+02,1.000126719223074e+00,1.003193545034236e+00,8.045664957082964e-03,8.110967546794522e-02,2.965298769536042e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.739041462133438e-06,
24,1.000000000000000e+00,5.352202629500000e-08,9.951800540238795e-01,0.000000000000000e+00,0.000000000000000e+00,2.500856174834808e+00,1.000000000000000e-10,2.458980557652123e-01,1.000342469894116e+00,1.005187418949328e+00,2.174412026132727e-02,0.000000000000000e+00,2.969825107260384e-08,1.034829388445621e-04,-2.810628178959194e-08,4.218530170158651e+02,4.811233881137217e-13,
25,9.909241437988340e-01,-1.280289614488857e-03,9.972157011910048e-01,0.000000000000000e+00,0.000000000000000e+00,2.506726407299877e+00,1.000000000000000e-10,2.330509333464086e+05,1.002690562880062e+00,1.005490147901320e+00,1.708293892102702e-01,0.000000000000000e+00,2.970511956265176e-08,3.969104516144394e-03,-8.618122078177825e-07,2.689630388273473e+00,4.278960372381898e-16,
26,9.789211302792580e-01,-2.951446198418808e-03,9.968234573205631e-01,0.000000000000000e+00,0.000000000000000e+00,2.505171588181100e+00,1.000000000000000e-10,2.535480606508039e+05,1.002068635232567e+00,1.005261892538226e+00,1.313419195280464e-01,0.000000000000000e+00,2.969994086609147e-08,3.265439364509467e-03,-5.579058453165973e-07,2.338541575357228e+00,3.931497297553879e-16,
27,9.631568360186920e-01,-5.108981458577545e-03,9.966582398686051e-01,0.000000000000000e+00,0.000000000000000e+00,2.503540173512574e+00,1.000000000000000e-10,2.703479130566443e+05,1.001416069365163e+00,1.004773782332031e+00,8.990916604209725e-02,0.000000000000000e+00,2.968886461484429e-08,2.661298131843519e-03,-3.203485090050267e-07,2.044326635962929e+00,3.686577025978909e-16,
28,9.426407105822270e-01,-7.855481327107042e-03,9.964411149315244e-01,0.000000000000000e+00,0.000000000000000e+00,2.502561560770685e+00,1.000000000000000e-10,2.839713929454918e+05,1.001024624268416e+00,1.004599879780359e+00,6.505550910579101e-02,0.000000000000000e+00,2.968491776513674e-08,2.416911045830592e-03,-2.465894378227190e-07,1.900771316402248e+00,3.508949445133007e-16,
29,9.162555145009680e-01,-1.128961886009035e-02,9.962360761846817e-01,0.000000000000000e+00,0.000000000000000e+00,2.501924853128986e+00,1.000000000000000e-10,2.947384843915961e+05,1.000769941211745e+00,1.004550994624112e+00,4.888515630125620e-02,0.000000000000000e+00,2.968380821965046e-08,2.362833393132558e-03,-2.329942189305076e-07,1.844666605896396e+00,3.380068196899395e-16,
30,8.828360320456839e-01,-1.548809659764239e-02,9.960992469133720e-01,0.000000000000000e+00,0.000000000000000e+00,2.501605994412721e+00,1.000000000000000e-10,3.030613256513720e+05,1.000642397725244e+00,1.004560941920145e+00,4.078715715835583e-02,0.000000000000000e+00,2.968403399537682e-08,2.371894740488537e-03,-2.369942408489720e-07,1.822614845467146e+00,3.286791245990812e-16,
