"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Conservative_5","Pressure","Temperature","Pressure_Coefficient","Mach","Laminar_Viscosity","Skin_Friction_Coefficient","Heat_Flux","Y_Plus","Eddy_Viscosity"
15,1.832911462718730e+00,5.352202629500000e-08,1.000292365013176e+00,1.717484987660955e-01,2.192362541225402e-02,2.516031886160900e+00,8.127542533230256e-08,1.000418868431004e+00,1.000126466443465e+00,2.659482101612871e-02,1.462797763937911e-01,2.958327562235802e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,4.466112752232421e-09,
16,1.538086133079550e+00,5.352202629500000e-08,1.000454549539419e+00,1.698329554508274e-01,2.039304254176457e-02,2.516262896635006e+00,3.743262405077482e-08,1.000655995600120e+00,1.000201354535089e+00,4.165051429330352e-02,1.444858933311521e-01,2.958497900331775e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.131657138644336e-10,
17,1.345343622331700e+00,5.352202629500000e-08,1.000634040367249e+00,1.674451703617581e-01,1.932572637312212e-02,2.516492798534484e+00,1.000000000000000e-10,1.000918446166399e+00,1.000284225588654e+00,5.831404231107026e-02,1.423459377403644e-01,2.958686388986346e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.081506576325691e-20,
18,1.219337910763940e+00,5.352202629500000e-08,1.000801187044462e+00,1.644622268866600e-01,1.876402458787517e-02,2.516668861361655e+00,8.368554755347340e-08,1.001191948982636e+00,1.000390449115402e+00,7.567930048483769e-02,1.397584229715085e-01,2.958927981287307e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,4.917871245503097e-09,
19,1.136961483861060e+00,5.352202629500000e-08,1.000829136916541e+00,1.602446485386778e-01,1.897064318802819e-02,2.516508516177913e+00,6.608851203653935e-07,1.001400074208383e+00,1.000570464298832e+00,8.889360053222976e-02,1.362253568387389e-01,2.959337375094095e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.393897076789877e-07,
20,1.083107768621840e+00,5.352202629500000e-08,1.000465294214637e+00,1.541932848452479e-01,1.949729090404939e-02,2.515431577419494e+00,1.848495559398320e-06,1.001343735136298e+00,1.000878032378276e+00,8.531651659034482e-02,1.312360983382271e-01,2.960036769064042e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.843899967173152e-06,
21,1.047900819812490e+00,5.352202629500000e-08,9.997208647107770e-01,1.454080398817487e-01,1.890957652105463e-02,2.513527257214011e+00,3.025179152117607e-06,1.001109488179674e+00,1.001389011190938e+00,7.044369394758668e-02,1.238756234837432e-01,2.961198477290611e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,3.019979603337835e-06,
22,1.024884223112370e+00,5.352202629500000e-08,9.987301926388246e-01,1.304828518731259e-01,1.621546789705212e-02,2.510750266352451e+00,3.377767590633152e-06,1.000837967084400e+00,1.002110454316002e+00,5.320425932700417e-02,1.111504888285997e-01,2.962838183933047e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,3.369795965104923e-06,
23,1.009837087771990e+00,5.352202629500000e-08,9.977067622368546e-01,9.638400808473327e-02,1.073837302610508e-02,2.507205039635409e+00,2.495860731460114e-06,1.000996654337992e+00,1.003297453947051e+00,6.327964050742918e-02,8.201664320080415e-02,2.965534763689519e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.487177482126826e-06,
24,1.000000000000000e+00,5.352202629500000e-08,9.957120530409533e-01,0.000000000000000e+00,0.000000000000000e+00,2.502601504680810e+00,1.000000000000000e-10,1.001040601872324e+00,1.005351495761347e+00,6.606996014753577e-02,0.000000000000000e+00,2.970197386761645e-08,6.607099294785192e-05,-4.970463747379994e-08,3.371272149350580e+02,1.048103129232097e-20,
25,9.909241437988340e-01,-1.280289614488857e-03,9.975142941787434e-01,0.000000000000000e+00,0.000000000000000e+00,2.507919261730948e+00,1.000000000000000e-10,1.003167704692379e+00,1.005667498247020e+00,2.011241074526374e-01,0.000000000000000e+00,2.970914292188754e-08,3.912477603610198e-03,-1.031212898234749e-06,2.670413158183369e+00,1.054947652629603e-20,
26,9.789211302792580e-01,-2.951446198418808e-03,9.974324094646474e-01,0.000000000000000e+00,0.000000000000000e+00,2.506706878429133e+00,1.000000000000000e-10,1.002682751371653e+00,1.005263857337285e+00,1.703334204224250e-01,0.000000000000000e+00,2.969998544623285e-08,3.882008402500354e-03,-7.588190372648187e-07,2.550553750115261e+00,1.055578187120549e-20,
27,9.631568360186920e-01,-5.108981458577545e-03,9.970742423169501e-01,0.000000000000000e+00,0.000000000000000e+00,2.504713913810956e+00,1.000000000000000e-10,1.001885565524382e+00,1.004825441279329e+00,1.197184459925161e-01,0.000000000000000e+00,2.969003698951546e-08,3.343805046831579e-03,-4.679982070325468e-07,2.291909503721687e+00,1.055122910119589e-20,
28,9.426407105822270e-01,-7.855481327107042e-03,9.967184010473519e-01,0.000000000000000e+00,0.000000000000000e+00,2.503403150050789e+00,1.000000000000000e-10,1.001361260020315e+00,1.004658145137167e+00,8.642920763906195e-02,0.000000000000000e+00,2.968624017849034e-08,3.078414699523143e-03,-3.586297825993179e-07,2.145379716791981e+00,1.054021613901962e-20,
29,9.162555145009680e-01,-1.128961886009035e-02,9.964576188816370e-01,0.000000000000000e+00,0.000000000000000e+00,2.502644825352959e+00,1.000000000000000e-10,1.001057930141183e+00,1.004616665247349e+00,6.717016769419014e-02,0.000000000000000e+00,2.968529873850146e-08,2.953889421646633e-03,-3.172358065031234e-07,2.062647095465062e+00,1.053019056530062e-20,
