"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Surface_Sensitivity"	"Solution_Sensor"
35	7.103199958800001e-01	-3.530689307158652e-02	1.033563238153262e+01	-8.449051251945811e+00	1.078470623115166e-01	8.514391487485582e+00	0.000000000000000e+00	
36	6.958900094030001e-01	-3.674225211597043e-02	1.015797954347814e+01	-8.307996152244307e+00	1.422337006619502e-01	8.002446450681033e+00	0.000000000000000e+00	
37	6.812700033190000e-01	-3.816515293304169e-02	9.990561182642947e+00	-8.175098160802996e+00	1.756554871669591e-01	7.556910871021239e+00	0.000000000000000e+00	
38	6.664699912070000e-01	-3.957289370556494e-02	9.832544715871379e+00	-8.049808739458587e+00	2.082871040559170e-01	7.164078228562853e+00	0.000000000000000e+00	
39	6.514999866490000e-01	-4.096270419333766e-02	9.682966527226819e+00	-7.931313306655686e+00	2.400576488270251e-01	6.823558518416776e+00	0.000000000000000e+00	
40	6.363800168040000e-01	-4.233084266562091e-02	9.541400527817624e+00	-7.819312143161354e+00	2.711913354080663e-01	6.507148884357217e+00	0.000000000000000e+00	
41	6.211299896240000e-01	-4.367359094194759e-02	9.407190432805667e+00	-7.713166419480395e+00	3.016654506971182e-01	6.230387067002174e+00	0.000000000000000e+00	
42	6.057599782940000e-01	-4.498807223669178e-02	9.279902536919771e+00	-7.612627269283081e+00	3.317515332866415e-01	5.967904518541631e+00	0.000000000000000e+00	
43	5.902799963950000e-01	-4.627132533375768e-02	9.159036928169611e+00	-7.517125850645939e+00	3.614217504594064e-01	5.738067748790469e+00	0.000000000000000e+00	
44	5.747100114820000e-01	-4.751950934859488e-02	9.044347541951465e+00	-7.426625069045272e+00	3.909788816602619e-01	5.516957869803981e+00	0.000000000000000e+00	
45	5.590599775310000e-01	-4.872955796694115e-02	8.935369916298750e+00	-7.340574318247316e+00	4.203613052944183e-01	5.334595024344704e+00	0.000000000000000e+00	
46	5.433599948880000e-01	-4.989683951066199e-02	8.831841772018116e+00	-7.259046777204083e+00	4.498215984371630e-01	5.167895968132925e+00	0.000000000000000e+00	
47	5.276100039480000e-01	-5.101897737545535e-02	8.733068182530774e+00	-7.181348718913221e+00	4.793085768465842e-01	5.052804726220168e+00	0.000000000000000e+00	
48	5.118399858470000e-01	-5.209138375948307e-02	8.638645677455211e+00	-7.107531881199800e+00	5.090896121673268e-01	4.952365202659520e+00	0.000000000000000e+00	
49	4.960500001910000e-01	-5.311153541819326e-02	8.547839239561302e+00	-7.036723794331023e+00	5.390996671953261e-01	4.902635818520497e+00	0.000000000000000e+00	
50	4.802699983120000e-01	-5.407492053959814e-02	8.460439668052757e+00	-6.969345008543606e+00	5.698742263496468e-01	4.845263894357358e+00	0.000000000000000e+00	
51	4.645099937920000e-01	-5.497835513414191e-02	8.376454240702463e+00	-6.904845762044592e+00	6.009351430737420e-01	4.774014136186024e+00	0.000000000000000e+00	
52	4.487800002100000e-01	-5.581859897363720e-02	8.294816217249107e+00	-6.842269819393742e+00	6.321627422787434e-01	4.704675724995643e+00	0.000000000000000e+00	
53	4.331099987030000e-01	-5.659141825851464e-02	8.215463996195364e+00	-6.781575835272460e+00	6.638948994732639e-01	4.634802518432395e+00	0.000000000000000e+00	
54	4.174999892710000e-01	-5.729416860686566e-02	8.138576858762935e+00	-6.722995496966854e+00	6.963852811470130e-01	4.568537841047930e+00	0.000000000000000e+00	
55	4.019699990750000e-01	-5.792324246601335e-02	8.064373834385034e+00	-6.666705955660331e+00	7.298225737269213e-01	4.517509092405057e+00	0.000000000000000e+00	
56	3.865399956700000e-01	-5.847520956655861e-02	7.993005370063598e+00	-6.613045549271193e+00	7.644051895730202e-01	4.470986511508333e+00	0.000000000000000e+00	
57	3.712300062180000e-01	-5.894684318665333e-02	7.924418743866158e+00	-6.561891257518985e+00	7.999815402311815e-01	4.434801164761089e+00	0.000000000000000e+00	
58	3.560400009160000e-01	-5.933561549045978e-02	7.858006251633600e+00	-6.512823536353519e+00	8.365585801812816e-01	4.417664228393268e+00	0.000000000000000e+00	
59	3.409900069240000e-01	-5.963847719943702e-02	7.793517944761354e+00	-6.465734851137711e+00	8.742259120755477e-01	4.410760329795052e+00	0.000000000000000e+00	
60	3.261100053790000e-01	-5.985254444802346e-02	7.730708771538902e+00	-6.420428052521153e+00	9.130465504712696e-01	4.417475516062661e+00	0.000000000000000e+00	
61	3.113999962810000e-01	-5.997565198183213e-02	7.669143099410319e+00	-6.376684145164640e+00	9.531474567171031e-01	4.438104294448491e+00	0.000000000000000e+00	
62	2.968699932100000e-01	-6.000550062925582e-02	7.608550714996613e+00	-6.334297541499206e+00	9.945885194243089e-01	4.472735308278048e+00	0.000000000000000e+00	
63	2.825500071050000e-01	-5.994005483718394e-02	7.548616380252354e+00	-6.293104072228751e+00	1.037445504714540e+00	4.515342058739276e+00	0.000000000000000e+00	
64	2.684499919410000e-01	-5.977765596976551e-02	7.488899995910931e+00	-6.252745000108207e+00	1.081755557952084e+00	4.569573268483113e+00	0.000000000000000e+00	
65	2.545700073240000e-01	-5.951657836311273e-02	7.429060301696183e+00	-6.213054013271066e+00	1.127682226383543e+00	4.625992697200198e+00	0.000000000000000e+00	
66	2.409400045870000e-01	-5.915585896897953e-02	7.368862149596052e+00	-6.173750109293128e+00	1.175220376255696e+00	4.693706612409303e+00	0.000000000000000e+00	
67	2.275699973110000e-01	-5.869456802648413e-02	7.307769043060200e+00	-6.134559873747073e+00	1.224537768330226e+00	4.778726341701295e+00	0.000000000000000e+00	
68	2.144699990750000e-01	-5.813197420944613e-02	7.245291847479908e+00	-6.095134021816748e+00	1.275646168496765e+00	4.879796093855751e+00	0.000000000000000e+00	
69	2.016600072380000e-01	-5.746811193675738e-02	7.181104931368454e+00	-6.055261785544901e+00	1.328730058166817e+00	4.985650187532183e+00	0.000000000000000e+00	
70	1.891400069000000e-01	-5.670228146432130e-02	7.114669665337408e+00	-6.014543976180390e+00	1.383862906265844e+00	5.110813690874842e+00	0.000000000000000e+00	
71	1.769299954180000e-01	-5.583513598033686e-02	7.045542372958299e+00	-5.972718521697570e+00	1.441228593254421e+00	5.245711547551775e+00	0.000000000000000e+00	
72	1.650400012730000e-01	-5.486709202536137e-02	6.973218975190763e+00	-5.929380683798284e+00	1.500901275179544e+00	5.403760109088106e+00	0.000000000000000e+00	
