"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
16	9.296900033950000e-01	-9.774221272349531e-03	4.727428154262091e-02	9.388045239141422e-01	1.245370211119853e-01	4.727428154262091e-02	0.000000000000000e+00	9.454856308524186e-02	9.465454862966427e-02	
17	9.214000105860000e-01	-1.087086069705918e-02	4.197182968630026e-02	9.446195692853566e-01	1.240647447539728e-01	4.197182968630026e-02	0.000000000000000e+00	8.394365937260057e-02	9.522458143769294e-02	
18	9.126999974250000e-01	-1.200973104171110e-02	3.689216486381012e-02	9.501633369435687e-01	1.234826975115470e-01	3.689216486381012e-02	0.000000000000000e+00	7.378432972762027e-02	9.576646974264474e-02	
19	9.035800099370001e-01	-1.319055953446835e-02	3.200428455500014e-02	9.554743339992879e-01	1.228136729410883e-01	3.200428455500014e-02	0.000000000000000e+00	6.400856911000030e-02	9.628434828825896e-02	
20	8.940600156780000e-01	-1.440916392228702e-02	2.729641049935360e-02	9.605667446800785e-01	1.220543194891947e-01	2.729641049935360e-02	0.000000000000000e+00	5.459282099870721e-02	9.677960187226461e-02	
21	8.841500282290000e-01	-1.566269158090452e-02	2.275646358448108e-02	9.654596650130578e-01	1.212127963409479e-01	2.275646358448108e-02	0.000000000000000e+00	4.551292716896218e-02	9.725424960599735e-02	
22	8.738499879840000e-01	-1.694956337677533e-02	1.836516598575515e-02	9.701752330085307e-01	1.202977131037084e-01	1.836516598575515e-02	0.000000000000000e+00	3.673033197151031e-02	9.771061535033937e-02	
23	8.631799817090000e-01	-1.826569132102762e-02	1.411123988210967e-02	9.747251611562597e-01	1.193091816279226e-01	1.411123988210967e-02	0.000000000000000e+00	2.822247976421935e-02	9.814988264913312e-02	
24	8.521599769590000e-01	-1.960709133914372e-02	9.993401749874092e-03	9.791182736198191e-01	1.182491485134573e-01	9.993401749874092e-03	0.000000000000000e+00	1.998680349974820e-02	9.857297196013527e-02	
25	8.407700061800000e-01	-2.097463226217677e-02	5.983677292563497e-03	9.833815107122739e-01	1.171304872745427e-01	5.983677292563497e-03	0.000000000000000e+00	1.196735458512700e-02	9.898273103575056e-02	
26	8.290500044819999e-01	-2.236196298315981e-02	2.082314688177866e-03	9.875156670953539e-01	1.159446501952349e-01	2.082314688177866e-03	0.000000000000000e+00	4.164629376355733e-03	9.937915682591084e-02	
