"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Grid_Velocity_x","Grid_Velocity_y"
13038, 2.396536661958680e-01, 2.601421217085000e-03, 1.421884086603018e+00, 5.113857120052965e+01, -1.697846431601560e+02, 2.990680881001605e+05, 3.841860663214266e+01, 9.207371768859817e+06, 0.000000000000000e+00, -1.500000000000000e+02
13039, 2.399049749002270e-01, 2.815115030102000e-03, 1.419928914412956e+00, 5.102768553331488e+01, -1.695885933389555e+02, 2.986572634269206e+05, 3.873981413260326e+01, 9.235663431741657e+06, 0.000000000000000e+00, -1.500000000000000e+02
13040, 2.401564871420490e-01, 3.028735953191000e-03, 1.418331475787051e+00, 5.003640634646005e+01, -1.701660201433280e+02, 2.983967647576869e+05, 3.944474740630658e+01, 9.251131044523407e+06, 0.000000000000000e+00, -1.500000000000000e+02
13041, 2.404078504313500e-01, 3.242679926480000e-03, 1.417210261488782e+00, 4.942362328911032e+01, -1.703408420738779e+02, 2.981914116787251e+05, 3.958321735518263e+01, 9.176494756409984e+06, 0.000000000000000e+00, -1.500000000000000e+02
13042, 2.406585002117400e-01, 3.457514997423000e-03, 1.416356256418371e+00, 4.906685709387719e+01, -1.701518299347263e+02, 2.980116936313360e+05, 4.041014663362068e+01, 9.170919617560264e+06, 0.000000000000000e+00, -1.500000000000000e+02
13043, 2.409079460351500e-01, 3.673748775392000e-03, 1.415521881886215e+00, 4.912939956462240e+01, -1.694826073021589e+02, 2.977430364153223e+05, 4.099151243626710e+01, 9.158841335002260e+06, 0.000000000000000e+00, -1.500000000000000e+02
13044, 2.411560553540910e-01, 3.891513264877000e-03, 1.414182471427570e+00, 4.934932174133291e+01, -1.685555758439476e+02, 2.973819051298694e+05, 4.148230949862682e+01, 9.169062012017261e+06, 0.000000000000000e+00, -1.500000000000000e+02
13045, 2.414028265777460e-01, 4.110821593219000e-03, 1.412833179652426e+00, 4.968916008756216e+01, -1.675133933944352e+02, 2.969565606811924e+05, 4.206847950343384e+01, 9.200770491548110e+06, 0.000000000000000e+00, -1.500000000000000e+02
13046, 2.416483239097950e-01, 4.331631017805000e-03, 1.411019675042673e+00, 5.001170352969010e+01, -1.664671097744036e+02, 2.964804528535403e+05, 4.264821685213295e+01, 9.247279564734291e+06, 0.000000000000000e+00, -1.500000000000000e+02
13047, 2.418928563363150e-01, 4.553623280134000e-03, 1.409276105598299e+00, 5.018173346216205e+01, -1.656933824245551e+02, 2.959967413346944e+05, 4.323292407086833e+01, 9.296274411202343e+06, 0.000000000000000e+00, -1.500000000000000e+02
13048, 2.421368323138330e-01, 4.776436886303000e-03, 1.407473863142878e+00, 5.017219348258512e+01, -1.651961007243803e+02, 2.955803022631198e+05, 4.375670877673624e+01, 9.334367015868030e+06, 0.000000000000000e+00, -1.500000000000000e+02
13049, 2.423805163130590e-01, 4.999843806649000e-03, 1.405951105879601e+00, 4.985043426821030e+01, -1.650436812230069e+02, 2.952271552262395e+05, 4.421275433156680e+01, 9.353008467898576e+06, 0.000000000000000e+00, -1.500000000000000e+02
13050, 2.426236919941400e-01, 5.223972037392000e-03, 1.404744114065715e+00, 4.946078294491426e+01, -1.649346492451864e+02, 2.949741397740387e+05, 4.476414650075542e+01, 9.358304356467633e+06, 0.000000000000000e+00, -1.500000000000000e+02
13051, 2.428660517460040e-01, 5.449013208861000e-03, 1.403721945208877e+00, 4.920857082759559e+01, -1.646469149893302e+02, 2.947280236276105e+05, 4.531693602643424e+01, 9.353982772508133e+06, 0.000000000000000e+00, -1.500000000000000e+02
13052, 2.431073777626870e-01, 5.675132321406000e-03, 1.402611560907200e+00, 4.906543749319276e+01, -1.641854853784846e+02, 2.944554560096601e+05, 4.578656122822259e+01, 9.353036245783597e+06, 0.000000000000000e+00, -1.500000000000000e+02
13053, 2.433475193014210e-01, 5.902349101532000e-03, 1.401545311473962e+00, 4.896840747338916e+01, -1.636526978939424e+02, 2.941644874865482e+05, 4.622899519205805e+01, 9.358891592446128e+06, 0.000000000000000e+00, -1.500000000000000e+02
