"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
39, 3.039573819948900e-02, -2.689555568825600e-02, 1.902979153884184e+00, 1.170605066214356e+02, -1.673000825977465e-05, 4.185963347401383e+05, 4.425611977588217e+00, 4.513556421685752e+03
40, 2.800831039027700e-02, -1.236784606474600e-02, 1.902979637705213e+00, 1.170597508774544e+02, -3.809450588637645e-05, 4.185964403396031e+05, 4.504631887251630e+00, 4.587637140571835e+03
41, 2.867622908123400e-02, -1.503357628730000e-02, 1.902979530237804e+00, 1.170595506499345e+02, -3.505202040322044e-05, 4.185963871827819e+05, 4.484665393833728e+00, 4.568927114957180e+03
42, 2.942974786333900e-02, -1.767842901445600e-02, 1.902979351936222e+00, 1.170595540060750e+02, -1.897179260773263e-05, 4.185963401959768e+05, 4.459250288157031e+00, 4.545085438623072e+03
43, 1.479548663433800e-02, -4.751225991912000e-03, 1.902986140543732e+00, 1.170597723854673e+02, -6.438166159942139e-05, 4.185981663832456e+05, 4.902783599194614e+00, 4.959632023477923e+03
44, 3.026970039972400e-02, -2.022815271088800e-02, 1.902979157791763e+00, 1.170597964889721e+02, 5.206342567447517e-06, 4.185963033381654e+05, 4.432196802914850e+00, 4.519702261858630e+03
45, 3.116674659947400e-02, -2.266541368807900e-02, 1.902978995949827e+00, 1.170601596795430e+02, 1.482531435121542e-05, 4.185962728890823e+05, 4.405040512935177e+00, 4.494218080333609e+03
46, 2.715140818533100e-02, -9.764741705080999e-03, 1.902979711163450e+00, 1.170600286671206e+02, -3.082369048919191e-05, 4.185964996932669e+05, 4.530931161691034e+00, 4.612254343621942e+03
47, 2.186689223676300e-02, -4.049807780454000e-03, 1.902980967277766e+00, 1.170603836156328e+02, 4.573648061899791e-05, 4.185968612737653e+05, 4.680517338375373e+00, 4.752229697940845e+03
48, 1.810250949398100e-02, -2.498364164582000e-03, 1.902980780481779e+00, 1.170603305507035e+02, 9.383759819992117e-05, 4.185968206016083e+05, 4.795656869911867e+00, 4.859767472986503e+03
49, 3.208249301601600e-02, -2.497837131921000e-02, 1.902978836718044e+00, 1.170604271506040e+02, 1.395645876204740e-06, 4.185962379585172e+05, 4.378811300774322e+00, 4.469597267474812e+03
50, 1.442290794543800e-02, -3.732147115670000e-04, 1.902986278569227e+00, 1.170595792548167e+02, -2.234598507673612e-04, 4.185981659018035e+05, 4.918438736401896e+00, 4.974222646340028e+03
51, 1.098913000000000e-02, -2.300758528023000e-03, 1.902972757440584e+00, 1.170626106017896e+02, -2.560614383108655e-04, 4.185946895108861e+05, 5.039708071834732e+00, 5.087042383561716e+03
52, 3.297275204855200e-02, -2.709400352349700e-02, 1.902978660744409e+00, 1.170604860703193e+02, -1.679708717190824e-05, 4.185961912799995e+05, 4.353530672514511e+00, 4.445850569773256e+03
53, 2.705734725706600e-02, -7.825368807713000e-03, 1.902979667509237e+00, 1.170602101049557e+02, -1.410679164735896e-05, 4.185965164846556e+05, 4.535616429902459e+00, 4.616631395279724e+03
54, 2.512374236637900e-02, -4.344133495445000e-03, 1.902980072696884e+00, 1.170604014745973e+02, 2.251586850115293e-05, 4.185966288065806e+05, 4.586433316393173e+00, 4.664225306253328e+03
55, 3.071544413033500e-02, -1.331443108008300e-02, 1.902979132480176e+00, 1.170596689898881e+02, -3.320772667515841e-05, 4.185962824581196e+05, 4.426760053098239e+00, 4.514592821348896e+03
56, 3.002825425087700e-02, -1.080803931412200e-02, 1.902979212753852e+00, 1.170599068891996e+02, -2.854911287044262e-05, 4.185963362504740e+05, 4.447134760405018e+00, 4.533695094299663e+03
