"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
21,-1.954579000000000e-01,1.207291000000000e-02,1.057342667897397e+00,3.124492882818861e+02,2.402869152557265e+01,2.414895282674833e+05,7.802057761107710e+04,2.563285585951170e+02,9.221117305676536e-01,-6.705445094170720e-01,
22,-1.903615000000000e-01,1.244545000000000e-02,1.067261400145449e+00,3.122260447331455e+02,2.167186134476804e+01,2.434741484370144e+05,7.903337429403707e+04,2.572428509181680e+02,9.107687463405142e-01,-6.414030338816201e-01,
23,-1.850695000000000e-01,1.279402000000000e-02,1.076327757865892e+00,3.119346245385835e+02,1.947369241680647e+01,2.452845391095197e+05,7.996275822314760e+04,2.580755239769231e+02,9.003846171319783e-01,-6.146616162912084e-01,
24,-1.795873000000000e-01,1.311810000000000e-02,1.084284314476937e+00,3.115662306827803e+02,1.741542065658753e+01,2.468665357006851e+05,8.078512361248799e+04,2.588164111652253e+02,8.911000661286845e-01,-5.909994723704501e-01,
25,-1.739206000000000e-01,1.341722000000000e-02,1.091630197586261e+00,3.111377128985148e+02,1.548313980495121e+01,2.483223958115753e+05,8.154887048526458e+04,2.595051621181861e+02,8.824273503796594e-01,-5.690239750344500e-01,
26,-1.680752000000000e-01,1.369099000000000e-02,1.098808935089677e+00,3.106641700136239e+02,1.366557764263471e+01,2.497435722494214e+05,8.229673937958933e+04,2.601740866347115e+02,8.739659464964884e-01,-5.475053391084360e-01,
27,-1.620571000000000e-01,1.393909000000000e-02,1.106000309374053e+00,3.101424410928262e+02,1.195221447895954e+01,2.511664074188635e+05,8.304682295816192e+04,2.608383032552014e+02,8.655263766282899e-01,-5.259229794677684e-01,
28,-1.558725000000000e-01,1.416128000000000e-02,1.113165169475770e+00,3.095116522866551e+02,1.033340572348803e+01,2.525779154196459e+05,8.380025654099205e+04,2.615106206295716e+02,8.569439412205462e-01,-5.042442292397725e-01,
29,-1.495276000000000e-01,1.435740000000000e-02,1.120422937307390e+00,3.088761884770924e+02,8.950099282607457e+00,2.540112851668108e+05,8.456012825385004e+04,2.621725595765380e+02,8.484550637034178e-01,-4.823802329383470e-01,
30,-1.430433063574265e-01,1.453303631083578e-02,1.127259255177330e+00,3.083275642522918e+02,7.790094669912565e+00,2.553677790016439e+05,8.526961478423035e+04,2.627689729006406e+02,8.407712471553552e-01,-4.619659832516431e-01,
