"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
3360, 9.250251291317890e+01, 9.521122936295650e+01, 9.998016632312881e-01, 1.000708499585026e+00, -2.698993482599809e-05, 2.499314079145793e+01, 6.206816954646224e-08, 5.451794273371938e-02, 9.796933059924292e+00, 1.000073339410487e+00, 2.702349852297887e-01, -2.449772763604585e-03, 1.619092619445847e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.138264872710396e-06
3361, 1.407621208413170e+02, 9.508100915834150e+01, 9.997869596743184e-01, 1.000661657911798e+00, -1.602975316872289e-05, 2.499278174696476e+01, 4.991686580533448e-08, 4.454269557520363e-02, 9.796805254490144e+00, 1.000075000577093e+00, 2.702260855167516e-01, -2.705383631901981e-03, 1.619094717275231e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.120413366452911e-06
3362, 2.147150569866880e+02, 9.500433236405920e+01, 9.998083826801871e-01, 1.000746371762941e+00, -6.808739499176655e-06, 2.499331090727810e+01, 3.855636089192935e-08, 3.504341013216892e-02, 9.796987299314807e+00, 1.000072154914013e+00, 2.702435560719272e-01, -2.341293982574655e-03, 1.619091123585535e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.100034861918095e-06
3363, 3.278821417934030e+02, 9.495511535381090e+01, 9.997814570237017e-01, 1.000555337603363e+00, 4.213183388066925e-05, 2.499250760785475e+01, 2.871299336142481e-08, 2.664101195230191e-02, 9.796737067863097e+00, 1.000073544194973e+00, 2.701990580666806e-01, -2.841756885995750e-03, 1.619092878061125e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.077538585648413e-06
3364, 5.010000078023450e+02, 9.492416147987630e+01, 9.998280159627320e-01, 1.000570207072972e+00, 9.456475177418857e-05, 2.499394882925835e+01, 2.436769123416293e-08, 2.288612708499975e-02, 9.797316930344008e+00, 1.000086164767142e+00, 2.701887871503778e-01, -1.682031924172378e-03, 1.619108816098310e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.064553224334249e-06
3365, 5.010000078023450e+02, -1.644294361431480e+02, 9.998415700445632e-01, 1.000566348992907e+00, -2.268011099090482e-04, 2.499425709207537e+01, 2.620827346461636e-08, 2.414376139837593e-02, 9.797444485393317e+00, 1.000085627700672e+00, 2.701841608889622e-01, -1.426921825554928e-03, 1.619108137859596e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.085337154263746e-06
3366, 3.279121464456750e+02, -1.644887544792210e+02, 9.998018879852673e-01, 1.000528176573281e+00, -1.680555454854473e-04, 2.499293614750747e+01, 3.113654818164914e-08, 2.832074479799330e-02, 9.796923442348994e+00, 1.000072132831252e+00, 2.701863961081804e-01, -2.469007914200461e-03, 1.619091095697958e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.099207661376718e-06
3367, 2.147869815522730e+02, -1.645878569023450e+02, 9.998285142151545e-01, 1.000732926937418e+00, -8.547589089983210e-05, 2.499374403586987e+01, 4.247725425069631e-08, 3.781032581673960e-02, 9.797169964346011e+00, 1.000070664463951e+00, 2.702346864773669e-01, -1.975963920166635e-03, 1.619089241345635e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.123237345574655e-06
3368, 1.409645894862300e+02, -1.647625787663930e+02, 9.998031292592460e-01, 1.000649262266377e+00, -3.488343548284684e-05, 2.499312210350242e+01, 5.591709495723475e-08, 4.881595802723124e-02, 9.796949596524003e+00, 1.000073561044011e+00, 2.702185624642544e-01, -2.416699564182778e-03, 1.619092899339193e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.145242022829893e-06
3369, 9.442400818307850e+01, -1.656676039781780e+02, 9.998171811263600e-01, 1.000700372630901e+00, -4.519799204599063e-06, 2.499346861036452e+01, 7.040360089490099e-08, 6.044916773786972e-02, 9.797070547124367e+00, 1.000071852049064e+00, 2.702287972402386e-01, -2.174798363455466e-03, 1.619090741107554e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.164461520681855e-06
3370, 7.179909145090249e+01, -1.679893699592840e+02, 9.998074786247968e-01, 1.000656268312423e+00, 7.366914901796479e-06, 2.499321843749117e+01, 8.337441784522951e-08, 7.068826211374410e-02, 9.796986185925721e+00, 1.000072945554361e+00, 2.702193618813700e-01, -2.343520760746287e-03, 1.619092122058434e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.179239155061744e-06
3371, 6.344305102482530e+01, -1.694634708040900e+02, 9.998133060553941e-01, 1.000677932939532e+00, 8.037714742376214e-06, 2.499337031241824e+01, 9.185153336078249e-08, 7.728819567504541e-02, 9.797039426712033e+00, 1.000072551379739e+00, 2.702236904861350e-01, -2.237039188123902e-03, 1.619091624268711e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.188207130904166e-06
3372, 5.966582637348140e+01, -1.701804476277310e+02, 9.998092276205646e-01, 1.000660476551365e+00, 5.331809069676500e-06, 2.499326357330089e+01, 9.612194544304914e-08, 8.058264532842044e-02, 9.797002900824189e+00, 1.000072902345306e+00, 2.702200314126033e-01, -2.310090963810296e-03, 1.619092067491194e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.192609247800688e-06
3373, 5.695292974222420e+01, -1.706744091536940e+02, 9.998119671581250e-01, 1.000669949821091e+00, 7.042041708320319e-06, 2.499333390603309e+01, 9.863551745640956e-08, 8.251476258568305e-02, 9.797027789205174e+00, 1.000072702678646e+00, 2.702218761441119e-01, -2.260314201841140e-03, 1.619091815338966e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.195143361619217e-06
3374, 5.438839096522480e+01, -1.711109613592980e+02, 9.998100885223702e-01, 1.000660882001232e+00, 6.782793420282924e-06, 2.499328496411250e+01, 1.007777655295710e-07, 8.415906745665072e-02, 9.797011465438917e+00, 1.000072915487814e+00, 2.702199064505872e-01, -2.292961734355004e-03, 1.619092084088418e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.197240294127824e-06
3375, 5.178979428821840e+01, -1.715206222980800e+02, 9.998113436754695e-01, 1.000664092294079e+00, 8.523826145515196e-06, 2.499331683076170e+01, 1.029542836559263e-07, 8.582726515928010e-02, 9.797023177470177e+00, 1.000072855561799e+00, 2.702204422298764e-01, -2.269537671836019e-03, 1.619092008409897e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.199325884242773e-06
3376, 4.912941716084910e+01, -1.719057916812130e+02, 9.998105641395624e-01, 1.000658607366174e+00, 9.282462420654048e-06, 2.499329595534345e+01, 1.052549139338480e-07, 8.758796749582125e-02, 9.797016866044881e+00, 1.000072991036098e+00, 2.702191534584325e-01, -2.282160522426580e-03, 1.619092179495767e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.201477530390114e-06
3377, 4.640166873203250e+01, -1.722649002607640e+02, 9.998111315091242e-01, 1.000658840348099e+00, 1.103499199905492e-05, 2.499331002119644e+01, 1.077043507835163e-07, 8.945960551839474e-02, 9.797022511793992e+00, 1.000072999831939e+00, 2.702190618465443e-01, -2.270869024204814e-03, 1.619092190603734e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.203716562368349e-06
3378, 4.360283369291480e+01, -1.725958330159380e+02, 9.998108978401282e-01, 1.000654740823733e+00, 1.272099143088566e-05, 2.499330305583894e+01, 1.103198335017719e-07, 9.145484789764892e-02, 9.797021318981011e+00, 1.000073111800673e+00, 2.702180028383049e-01, -2.273254650166479e-03, 1.619092332005220e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.206048386921265e-06
3379, 4.072906075179090e+01, -1.728962138436790e+02, 9.998112564599921e-01, 1.000653244294560e+00, 1.501074392972763e-05, 2.499331148073998e+01, 1.131200962004239e-07, 9.358738099895915e-02, 9.797025358770123e+00, 1.000073165465596e+00, 2.702174945485829e-01, -2.265175071944014e-03, 1.619092399776814e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.208482856405493e-06
3380, 3.777620994067730e+01, -1.731633908970630e+02, 9.998112581908264e-01, 1.000649726994569e+00, 1.768524635329123e-05, 2.499331052197276e+01, 1.161267867238607e-07, 9.587298637047816e-02, 9.797026382492394e+00, 1.000073268235127e+00, 2.702165303930677e-01, -2.263127627401218e-03, 1.619092529560930e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.211027977114364e-06
3381, 3.473982324675690e+01, -1.733943985448360e+02, 9.998115284845163e-01, 1.000647443300695e+00, 2.040548185549437e-05, 2.499331656841789e+01, 1.193650949726183e-07, 9.832998585466560e-02, 9.797029768146388e+00, 1.000073343475660e+00, 2.702158304996236e-01, -2.256356319414010e-03, 1.619092624579615e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.213694856305372e-06
3382, 3.161509950140920e+01, -1.735859124755850e+02, 9.998116814647964e-01, 1.000644548480192e+00, 2.558339725348931e-05, 2.499331956535551e+01, 1.228645223998200e-07, 1.009797868946624e-01, 9.797032155015980e+00, 1.000073434105138e+00, 2.702149952223647e-01, -2.251582580228728e-03, 1.619092739032465e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.216494790796052e-06
3383, 2.839686866745500e+01, -1.737341976197100e+02, 9.998118819679834e-01, 1.000641741103526e+00, 2.909891138853888e-05, 2.499332379695723e+01, 1.266598475376092e-07, 1.038475645497957e-01, 9.797035010152134e+00, 1.000073524999522e+00, 2.702141706730857e-01, -2.245872307920393e-03, 1.619092853819850e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.219441409969265e-06
3384, 2.507956583608070e+01, -1.738350477382930e+02, 9.998120991343147e-01, 1.000638894989672e+00, 3.216196870720266e-05, 2.499332846226616e+01, 1.307923046716364e-07, 1.069630848827693e-01, 9.797038057479474e+00, 1.000073618845085e+00, 2.702133307608224e-01, -2.239777653240793e-03, 1.619092972334174e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.222550086581829e-06
3385, 2.165720558778630e+01, -1.738837153368390e+02, 9.998122988973079e-01, 1.000635884292198e+00, 3.558675615988490e-05, 2.499333268409048e+01, 1.352676225614589e-07, 1.103307846919723e-01, 9.797040989664497e+00, 1.000073718344866e+00, 2.702124503503229e-01, -2.233913283195221e-03, 1.619093097989008e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.225788732104377e-06
3386, 1.812335762825440e+01, -1.738748303720390e+02, 9.998125420564753e-01, 1.000632939887488e+00, 3.900976051645888e-05, 2.499333803744826e+01, 1.400315489974983e-07, 1.139125830105534e-01, 9.797044356493315e+00, 1.000073818805154e+00, 2.702115759870387e-01, -2.227179625560183e-03, 1.619093224856828e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.229059119468935e-06
3387, 1.447112494248010e+01, -1.738023060174490e+02, 9.998127662289893e-01, 1.000629801123933e+00, 4.226189582952348e-05, 2.499334291136880e+01, 1.450949818621967e-07, 1.177170413057311e-01, 9.797047605425130e+00, 1.000073926222185e+00, 2.702106533322301e-01, -2.220681761929910e-03, 1.619093360510069e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.232343368237463e-06
