"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
2375, 9.909787932161930e-01, 1.678638527874896e-03, 9.965952357374287e-01, 3.686823834713119e-03, -1.238262168859694e-03, 2.502241796648650e+00, 3.943119790557661e-05, 4.828987144022068e+01
2376, 9.958414502939900e-01, 1.030276237735180e-03, 9.967033483565124e-01, 1.550251837257937e-02, -3.310114666063092e-03, 2.502396041129249e+00, 5.912235259782301e-05, 5.136053417037984e+01
2377, 1.000034664919570e+00, 4.871119629898994e-04, 9.938280769662237e-01, 2.687385766618905e-02, -4.589484498194595e-03, 2.494889754649544e+00, 6.569458861838550e-05, 4.728313366634406e+01
2378, 1.004400120484050e+00, 4.202400273997621e-04, 9.970099211331118e-01, 5.281142430663985e-02, 8.230176447409320e-03, 2.504873162477309e+00, 1.466538700186835e-05, 2.943695405126172e+02
2379, 1.009838373810120e+00, 3.717751130686264e-04, 9.984121632771250e-01, 8.816627827104165e-02, 1.352116592181262e-02, 2.507422765112314e+00, 5.418880908232713e-05, 2.410252305694418e+02
2380, 1.016564962732820e+00, 3.325919806770569e-04, 9.991424941775552e-01, 1.146292159347063e-01, 1.619264845654094e-02, 2.510684311723643e+00, 8.543767895275811e-05, 9.464140307029008e+01
2381, 1.024884658053160e+00, 3.009116754304444e-04, 9.995293894803289e-01, 1.276806158989620e-01, 1.741874571579114e-02, 2.512639075537382e+00, 8.063768003956587e-05, 3.874106968222380e+01
2382, 1.035174523150710e+00, 2.752970456472220e-04, 9.999083640929296e-01, 1.353705959790495e-01, 1.809358191303995e-02, 2.513939960492229e+00, 6.693834783752989e-05, 2.358165347915761e+01
2383, 1.047900973657440e+00, 2.545865361977741e-04, 1.000313691359833e+00, 1.426698899791306e-01, 1.840312072728079e-02, 2.515175704315103e+00, 4.890196396099418e-05, 1.867913850918504e+01
2384, 1.063640903159470e+00, 2.378411426491135e-04, 1.000708246367078e+00, 1.501413608755689e-01, 1.829229505866448e-02, 2.516363648487600e+00, 3.047583880214498e-05, 1.688885793092766e+01
2385, 1.083107825406170e+00, 2.243016984766204e-04, 1.001000041634070e+00, 1.570043310095274e-01, 1.793410139530048e-02, 2.517289792697394e+00, 1.605666605978624e-05, 1.625655079049691e+01
2386, 1.107184214290140e+00, 2.133544052413539e-04, 1.001131848899724e+00, 1.623933365347028e-01, 1.756617241820673e-02, 2.517825166740673e+00, 7.364720428127279e-06, 1.605177634520108e+01
2387, 1.136961505601740e+00, 2.045029865667072e-04, 1.001119449248967e+00, 1.660206726120571e-01, 1.734921523709471e-02, 2.517983228374386e+00, 3.047302103123359e-06, 1.599032350390494e+01
2388, 1.173789572835650e+00, 1.973461825491947e-04, 1.001019899738180e+00, 1.682002822179575e-01, 1.735557851761679e-02, 2.517873201673615e+00, 1.165697976050818e-06, 1.597471277209050e+01
2389, 1.219337919314250e+00, 1.915595564508251e-04, 1.000888045529899e+00, 1.694915724441898e-01, 1.759911845914177e-02, 2.517626759876588e+00, 4.275082911604399e-07, 1.597258137998858e+01
2390, 1.275671360293090e+00, 1.868807859059734e-04, 1.000757519997014e+00, 1.703723831203725e-01, 1.805779325794902e-02, 2.517346059680525e+00, 1.658010725565129e-07, 1.597320730706738e+01
2391, 1.345343625725320e+00, 1.830977706895661e-04, 1.000641339439628e+00, 1.711058942927065e-01, 1.869176875918284e-02, 2.517085270798711e+00, 8.141415170798695e-08, 1.597364542359839e+01
