"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
12041, 2.702428134179140e+00, 2.888016646607510e+01, 9.998825068538083e-01, 1.753661123958965e-01, 3.080057651605379e-02, 2.515559735027675e+00, 2.120308808106242e-09, 1.037136498053312e-02
12042, 3.240359514609870e+00, 2.889686561221870e+01, 9.998830341837189e-01, 1.753641859669876e-01, 3.079102483096641e-02, 2.515560940169218e+00, 2.114504257230218e-09, 1.034527081069015e-02
12043, 3.769195622571180e+00, 2.890499791961590e+01, 9.998835757531849e-01, 1.753621029995281e-01, 3.078172653087952e-02, 2.515562175364474e+00, 2.108850469118717e-09, 1.031985221502331e-02
12044, 4.289074523624460e+00, 2.890502954313070e+01, 9.998841300935988e-01, 1.753598754065636e-01, 3.077267637869114e-02, 2.515563437418737e+00, 2.103342199635189e-09, 1.029508578170049e-02
12045, 4.800143164218440e+00, 2.889740085571740e+01, 9.998846958332451e-01, 1.753575143623093e-01, 3.076386896181398e-02, 2.515564723340229e+00, 2.097974378330693e-09, 1.027094886659698e-02
12046, 5.302555196829160e+00, 2.888252770584480e+01, 9.998852716911211e-01, 1.753550303380342e-01, 3.075529874970889e-02, 2.515566030326638e+00, 2.092742112391706e-09, 1.024741961192027e-02
12047, 5.796469114441600e+00, 2.886080268730110e+01, 9.998858564709557e-01, 1.753524331393468e-01, 3.074696014371037e-02, 2.515567355752322e+00, 2.087640688297276e-09, 1.022447695448586e-02
12048, 6.282046667512440e+00, 2.883259639976040e+01, 9.998864490555159e-01, 1.753497319440829e-01, 3.073884751929282e-02, 2.515568697156419e+00, 2.082665571531923e-09, 1.020210062519987e-02
12049, 6.759451534982390e+00, 2.879825868318850e+01, 9.998870484011962e-01, 1.753469353400807e-01, 3.073095526156395e-02, 2.515570052231685e+00, 2.077812404686124e-09, 1.018027114123922e-02
12050, 7.228848220616000e+00, 2.875811981335200e+01, 9.998876535329383e-01, 1.753440513621825e-01, 3.072327779463693e-02, 2.515571418814176e+00, 2.073077004253796e-09, 1.015896979232111e-02
