"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Pressure_Coefficient"	"Mach"	"Sharp_Edge_Dist"
23	7.053657000000001e-02	-4.734168000000000e-02	4.154132838680515e+01	4.969034276575488e+00	-8.048601723801689e-01	3.600058680630175e+02	7.697598862141659e+00	5.245818572266818e+01	2.785350488463619e-01	1.128221470982855e+00	
24	7.726405000000000e-02	-4.811551000000000e-02	4.169109459345557e+01	5.155238426366152e+00	-5.549472412008305e-01	3.621488081531425e+02	7.743084612996394e+00	5.281444772270527e+01	2.855446301106487e-01	1.122284328161028e+00	
25	8.472904000000001e-02	-4.859270000000000e-02	4.161228343193083e+01	5.299441509189278e+00	-2.238366693049940e-01	3.604434681550086e+02	7.706255918088941e+00	5.252599113443463e+01	2.930803765339615e-01	1.115929439887685e+00	
26	9.311933999999999e-02	-4.870849000000000e-02	4.183389612402024e+01	5.423936262297150e+00	1.010465499119660e-01	3.607782429858926e+02	7.713127167546130e+00	5.257980941880659e+01	2.988220216567159e-01	1.109049806616922e+00	
27	1.024694800000000e-01	-4.838416000000000e-02	4.224950113673377e+01	5.523879754422918e+00	3.762752722471513e-01	3.616380056983418e+02	7.731289758379806e+00	5.272206585768402e+01	3.031201211250742e-01	1.101675163764351e+00	
28	1.125390100000000e-01	-4.757577000000000e-02	4.271908371586741e+01	5.641317697999255e+00	6.336750177241572e-01	3.622040493986853e+02	7.743094894571389e+00	5.281452825197877e+01	3.088425165841886e-01	1.094039949940173e+00	
29	1.229723000000000e-01	-4.631580000000000e-02	4.315484447999263e+01	5.687225071538668e+00	8.686931244837899e-01	3.630560472491493e+02	7.761192662119349e+00	5.295627696980106e+01	3.110509470612359e-01	1.086424761641383e+00	
30	1.334922200000000e-01	-4.468338000000000e-02	4.371396530905054e+01	5.717663250825748e+00	1.041674842897091e+00	3.643075690943261e+02	7.787914338645979e+00	5.316557147950640e+01	3.116666834839142e-01	1.079014747651286e+00	
31	1.439923900000000e-01	-4.275924000000000e-02	4.426834558504279e+01	5.721838451859815e+00	1.189870463884758e+00	3.655292385324057e+02	7.814070123230278e+00	5.337043370456455e+01	3.109176404959637e-01	1.071853225786932e+00	
32	1.544595000000000e-01	-4.061078000000000e-02	4.488756186272372e+01	5.691292603325155e+00	1.293265907956713e+00	3.669002318676681e+02	7.843545166401777e+00	5.360129364716490e+01	3.077701747027434e-01	1.064915059596794e+00	
33	1.648967900000000e-01	-3.829927000000000e-02	4.555800933728349e+01	5.626447618561040e+00	1.351585596488282e+00	3.683283942291148e+02	7.874363474811159e+00	5.384267456284442e+01	3.022934051717312e-01	1.058164288515614e+00	
34	1.753062600000000e-01	-3.588578000000000e-02	4.626543120201423e+01	5.524466220202839e+00	1.364071038856649e+00	3.697726737890609e+02	7.905646464503032e+00	5.408769504212283e+01	2.944057507825719e-01	1.051564694539348e+00	
35	1.857016200000000e-01	-3.342943000000000e-02	4.699167885938686e+01	5.386764328656316e+00	1.330962394250110e+00	3.711965344413911e+02	7.936595255601397e+00	5.433009794870881e+01	2.842955667137633e-01	1.045070834687508e+00	
36	1.961075900000000e-01	-3.099233000000000e-02	4.771243091174989e+01	5.220911734344170e+00	1.251649997407566e+00	3.725615551604585e+02	7.966353081323001e+00	5.456317275365578e+01	2.724819705691208e-01	1.038625731229217e+00	
37	2.065442100000000e-01	-2.864279000000000e-02	4.838885891559497e+01	5.036436918866078e+00	1.136709171281076e+00	3.738065099823797e+02	7.993564599108613e+00	5.477630388963081e+01	2.597594333611182e-01	1.032170921648310e+00	
38	2.170147500000000e-01	-2.642047000000000e-02	4.900439798575182e+01	4.837484395990307e+00	1.007708458828960e+00	3.749033242360115e+02	8.017599800259294e+00	5.496455688474091e+01	2.466641997503179e-01	1.025678112196699e+00	
39	2.275153300000000e-01	-2.433872000000000e-02	4.956334942376306e+01	4.623697509705556e+00	8.809280390664979e-01	3.758793566712744e+02	8.039035376875242e+00	5.513244861464847e+01	2.333199433187678e-01	1.019140874728473e+00	
40	2.380445600000000e-01	-2.241256000000000e-02	5.006020588024120e+01	4.398957043970178e+00	7.615295445262721e-01	3.767469051786807e+02	8.058123719857281e+00	5.528195590254382e+01	2.199381746552175e-01	1.012549428068540e+00	
41	2.486015900000000e-01	-2.065670000000000e-02	5.048725187967199e+01	4.174170421735596e+00	6.460403778121111e-01	3.775223915325295e+02	8.075198037844677e+00	5.541568856741475e+01	2.069879326885557e-01	1.005893433541603e+00	
42	2.591854600000000e-01	-1.908702000000000e-02	5.084998810184436e+01	3.961746083532816e+00	5.326953784750242e-01	3.782569474008505e+02	8.091336286149124e+00	5.554208957234482e+01	1.949952296902690e-01	9.991614965828547e-01	
43	2.697949700000000e-01	-1.772040000000000e-02	5.117877261224305e+01	3.770143206393680e+00	4.329895699204530e-01	3.791082680437272e+02	8.109906007744716e+00	5.568753481687658e+01	1.843115228244191e-01	9.923413465425954e-01	
44	2.804279300000000e-01	-1.657069000000000e-02	5.145788824525138e+01	3.611631248557042e+00	3.593104227360117e-01	3.799803063145780e+02	8.128839404025346e+00	5.583582850225453e+01	1.755916695171608e-01	9.854231377069427e-01	
45	2.910812600000000e-01	-1.565436000000000e-02	5.161543804866366e+01	3.499158425486689e+00	3.236206874950226e-01	3.803237872235563e+02	8.136369103408592e+00	5.589480402121475e+01	1.696719401823423e-01	9.783955082670877e-01	
