"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
32, 1.544595000000000e-01, -4.061078000000000e-02, 7.843545166401777e+00, 5.360129364716490e+01, 3.077701747027434e-01
33, 1.648967900000000e-01, -3.829927000000000e-02, 7.874363474811159e+00, 5.384267456284442e+01, 3.022934051717312e-01
34, 1.753062600000000e-01, -3.588578000000000e-02, 7.905646464503032e+00, 5.408769504212283e+01, 2.944057507825719e-01
35, 1.857016200000000e-01, -3.342943000000000e-02, 7.936595255601397e+00, 5.433009794870881e+01, 2.842955667137633e-01
36, 1.961075900000000e-01, -3.099233000000000e-02, 7.966353081323001e+00, 5.456317275365578e+01, 2.724819705691208e-01
37, 2.065442100000000e-01, -2.864279000000000e-02, 7.993564599108613e+00, 5.477630388963081e+01, 2.597594333611182e-01
38, 2.170147500000000e-01, -2.642047000000000e-02, 8.017599800259294e+00, 5.496455688474091e+01, 2.466641997503179e-01
39, 2.275153300000000e-01, -2.433872000000000e-02, 8.039035376875242e+00, 5.513244861464847e+01, 2.333199433187678e-01
40, 2.380445600000000e-01, -2.241256000000000e-02, 8.058123719857281e+00, 5.528195590254382e+01, 2.199381746552175e-01
41, 2.486015900000000e-01, -2.065670000000000e-02, 8.075198037844677e+00, 5.541568856741475e+01, 2.069879326885557e-01
42, 2.591854600000000e-01, -1.908702000000000e-02, 8.091336286149124e+00, 5.554208957234482e+01, 1.949952296902690e-01
43, 2.697949700000000e-01, -1.772040000000000e-02, 8.109906007744716e+00, 5.568753481687658e+01, 1.843115228244191e-01
44, 2.804279300000000e-01, -1.657069000000000e-02, 8.128839404025346e+00, 5.583582850225453e+01, 1.755916695171608e-01
45, 2.910812600000000e-01, -1.565436000000000e-02, 8.136369103408592e+00, 5.589480402121475e+01, 1.696719401823423e-01
46, 3.017502000000000e-01, -1.498496000000000e-02, 8.119292785525078e+00, 5.576105569238362e+01, 1.652573017371162e-01
47, 3.124291000000000e-01, -1.457096000000000e-02, 8.161721168993843e+00, 5.609337120809747e+01, 1.624518204420973e-01
48, 3.231125400000000e-01, -1.442151000000000e-02, 8.171148989549391e+00, 5.616721354650004e+01, 1.620189367005583e-01
49, 3.337926700000000e-01, -1.453816000000000e-02, 8.182252308700713e+00, 5.625417903818848e+01, 1.623052463373738e-01
50, 3.444581100000000e-01, -1.491808000000000e-02, 8.193600749035459e+00, 5.634306441382777e+01, 1.636870762563001e-01
51, 3.551036800000000e-01, -1.555516000000000e-02, 8.204776754763500e+00, 5.643059921490896e+01, 1.659892380525573e-01
52, 3.657357100000000e-01, -1.643605000000000e-02, 8.215888459910078e+00, 5.651763038895695e+01, 1.689050025609438e-01
53, 3.763575100000000e-01, -1.754965000000000e-02, 8.227141892176141e+00, 5.660577162464180e+01, 1.721797220055947e-01
54, 3.869762500000000e-01, -1.889852000000000e-02, 8.238555822125679e+00, 5.669516994028338e+01, 1.757211535052475e-01
55, 3.975990300000000e-01, -2.049176000000000e-02, 8.249877603031004e+00, 5.678384650895638e+01, 1.795521740793921e-01
56, 4.081543600000000e-01, -2.232691000000000e-02, 8.261066960412384e+00, 5.687148588535253e+01, 1.836514790516950e-01
57, 4.186466100000000e-01, -2.440595000000000e-02, 8.272356835696979e+00, 5.695991255685905e+01, 1.879898522568060e-01
58, 4.290690500000000e-01, -2.673218000000000e-02, 8.282995495080895e+00, 5.704323865346306e+01, 1.924608477188248e-01
59, 4.394145200000000e-01, -2.930467000000000e-02, 8.291954077500554e+00, 5.711340573722777e+01, 1.969941829518481e-01
60, 4.496939600000000e-01, -3.212662000000000e-02, 8.301186098363925e+00, 5.718571449668240e+01, 2.017176166470707e-01
