"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Surface_Sensitivity"	"Solution_Sensor"
16	5.449673790581611e-02	2.269952498697734e-01	-3.253496963696147e-01	1.000000000000000e+00	0.000000000000000e+00	-3.035481960584949e-01	0.000000000000000e+00	
17	6.184665997806821e-02	2.408768370508577e-01	-3.061444139357026e-01	1.000000000000000e+00	0.000000000000000e+00	-2.879276639175867e-01	0.000000000000000e+00	
18	6.962898649802818e-02	2.545207078751857e-01	-2.884651349338081e-01	1.000000000000000e+00	0.000000000000000e+00	-2.568307413099561e-01	0.000000000000000e+00	
19	7.783603724899246e-02	2.679133974894983e-01	-2.767154869854034e-01	1.000000000000000e+00	0.000000000000000e+00	-2.153139478982534e-01	0.000000000000000e+00	
20	8.645971286271908e-02	2.810416889260653e-01	-2.630686879816526e-01	1.000000000000000e+00	0.000000000000000e+00	-1.646522530116324e-01	0.000000000000000e+00	
21	9.549150281252627e-02	2.938926261462366e-01	-2.491341142204971e-01	1.000000000000000e+00	0.000000000000000e+00	-1.030732818209047e-01	0.000000000000000e+00	
22	1.049224938121548e-01	3.064535268264882e-01	-2.321222795268717e-01	1.000000000000000e+00	0.000000000000000e+00	-2.695236680188628e-02	0.000000000000000e+00	
23	1.147433786121054e-01	3.187119948743449e-01	-2.182969460581046e-01	1.000000000000000e+00	0.000000000000000e+00	6.344740585564640e-02	0.000000000000000e+00	
24	1.249444651847702e-01	3.306559326618259e-01	-2.030512109284916e-01	1.000000000000000e+00	0.000000000000000e+00	1.638453772468379e-01	0.000000000000000e+00	
25	1.355156862892942e-01	3.422735529643444e-01	-1.883389916249282e-01	1.000000000000000e+00	0.000000000000000e+00	2.735049591008109e-01	0.000000000000000e+00	
26	1.464466094067263e-01	3.535533905932738e-01	-1.707965790430203e-01	1.000000000000000e+00	0.000000000000000e+00	3.947444040038808e-01	0.000000000000000e+00	
27	1.577264470356556e-01	3.644843137107058e-01	-1.561985193602528e-01	1.000000000000000e+00	0.000000000000000e+00	5.277680604891195e-01	0.000000000000000e+00	
28	1.693440673381741e-01	3.750555348152298e-01	-1.410389624564729e-01	1.000000000000000e+00	0.000000000000000e+00	6.688321413473601e-01	0.000000000000000e+00	
29	1.812880051256552e-01	3.852566213878946e-01	-1.268224182377387e-01	1.000000000000000e+00	0.000000000000000e+00	8.174504785167742e-01	0.000000000000000e+00	
30	1.935464731735118e-01	3.950775061878452e-01	-1.113135491377497e-01	1.000000000000000e+00	0.000000000000000e+00	9.736566831609359e-01	0.000000000000000e+00	
31	2.061073738537634e-01	4.045084971874737e-01	-9.797426305838153e-02	1.000000000000000e+00	0.000000000000000e+00	1.135556677243586e+00	0.000000000000000e+00	
32	2.189583110739347e-01	4.135402871372809e-01	-8.504963046926628e-02	1.000000000000000e+00	0.000000000000000e+00	1.299092809110017e+00	0.000000000000000e+00	
33	2.320866025105017e-01	4.221639627510075e-01	-7.374576062661856e-02	1.000000000000000e+00	0.000000000000000e+00	1.461512582686764e+00	0.000000000000000e+00	
34	2.454792921248143e-01	4.303710135019718e-01	-6.052538159376188e-02	1.000000000000000e+00	0.000000000000000e+00	1.624529576220365e+00	0.000000000000000e+00	
35	2.591231629491424e-01	4.381533400219318e-01	-5.041843480292408e-02	1.000000000000000e+00	0.000000000000000e+00	1.787560971734466e+00	0.000000000000000e+00	
36	2.730047501302266e-01	4.455032620941839e-01	-4.056048454050180e-02	1.000000000000000e+00	0.000000000000000e+00	1.946077558986660e+00	0.000000000000000e+00	
37	2.871103542174637e-01	4.524135262330098e-01	-3.181768856892588e-02	1.000000000000000e+00	0.000000000000000e+00	2.099493763484952e+00	0.000000000000000e+00	
38	3.014260546826097e-01	4.588773128419906e-01	-2.299238724590681e-02	1.000000000000000e+00	0.000000000000000e+00	2.248231130229732e+00	0.000000000000000e+00	
