"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
27331, 2.043136081616124e+01, 2.528239514100960e-01, 9.515590594590119e+00, -6.862551057529734e+01, 1.172322495461721e+02, 2.118313409636673e+06, 6.686189623232129e-05
27332, 2.043137377215204e+01, 2.528327486226840e-01, 9.516278390906358e+00, -7.606219196459843e+01, 1.299514338784889e+02, 2.118536509113195e+06, 8.721345502181537e-05
27333, 2.043138929768153e+01, 2.528432905708464e-01, 9.517024653168873e+00, -8.337125370280737e+01, 1.424590416383429e+02, 2.118778490515404e+06, 1.117334517535996e-04
27334, 2.043140784273202e+01, 2.528558827958816e-01, 9.517828467323891e+00, -9.056842472939576e+01, 1.547834181041859e+02, 2.119038921963081e+06, 1.411259122062175e-04
27335, 2.043142993096830e+01, 2.528708808700001e-01, 9.518689245793242e+00, -9.766540097447971e+01, 1.669463225737499e+02, 2.119317444719781e+06, 1.761785683229212e-04
27336, 2.043145617130496e+01, 2.528886982506771e-01, 9.519606730325965e+00, -1.046710614711445e+02, 1.789650579531609e+02, 2.119613767228481e+06, 2.177731429772781e-04
27337, 2.043148727123808e+01, 2.529098153329175e-01, 9.520580979258041e+00, -1.115920224326167e+02, 1.908534793249538e+02, 2.119927653609897e+06, 2.668924569703868e-04
27338, 2.043152405220445e+01, 2.529347898783229e-01, 9.521612348969168e+00, -1.184328741879335e+02, 2.026224710090848e+02, 2.120258909234131e+06, 3.246256438858437e-04
27339, 2.043156746727072e+01, 2.529642690261172e-01, 9.522701470728279e+00, -1.251962317516126e+02, 2.142801163420955e+02, 2.120607363475010e+06, 3.921722647978588e-04
27340, 2.043161862149885e+01, 2.529990031214691e-01, 9.523849220386559e+00, -1.318826496633484e+02, 2.258316476310756e+02, 2.120972848676727e+06, 4.708462922150019e-04
27341, 2.043167879538520e+01, 2.530398616307816e-01, 9.525056676376796e+00, -1.384904189496026e+02, 2.372792076836815e+02, 2.121355173812019e+06, 5.620815429390205e-04
27342, 2.043174947182861e+01, 2.530878514531987e-01, 9.526325060063151e+00, -1.450152494863124e+02, 2.486214292240645e+02, 2.121754090973190e+06, 6.674411342642757e-04
27343, 2.043183236714921e+01, 2.531441379826952e-01, 9.527655651243265e+00, -1.514498343077730e+02, 2.598528266570706e+02, 2.122169252613861e+06, 7.886349704949444e-04
27344, 2.043192946675640e+01, 2.532100693267389e-01, 9.529049670407185e+00, -1.577832895755876e+02, 2.709629893033883e+02, 2.122600157341332e+06, 9.275513016470845e-04
27345, 2.043204306615032e+01, 2.532872041467650e-01, 9.530508118195289e+00, -1.640004634396119e+02, 2.819355637497945e+02, 2.123046082081799e+06, 1.086311403311879e-03
27346, 2.043217581804235e+01, 2.533773436532065e-01, 9.532031561462496e+00, -1.700811083476533e+02, 2.927470144526496e+02, 2.123505998677156e+06, 1.267361201060526e-03
27347, 2.043233078649270e+01, 2.534825683653540e-01, 9.533619854705588e+00, -1.759989141332733e+02, 3.033651557791235e+02, 2.123978473557581e+06, 1.473621855119078e-03
27348, 2.043251150909427e+01, 2.536052803347196e-01, 9.535271791305114e+00, -1.817204020074755e+02, 3.137474565600001e+02, 2.124461551802261e+06, 1.708736517132867e-03
27349, 2.043272206838117e+01, 2.537482516318391e-01, 9.536984936853052e+00, -1.872036121698060e+02, 3.238391617600321e+02, 2.124952699480848e+06, 1.977481540920024e-03
27350, 2.043296717381000e+01, 2.539146800121859e-01, 9.538754692104423e+00, -1.923968451802032e+02, 3.335709229711987e+02, 2.125448623116686e+06, 2.286476411049982e-03
27351, 2.043325225585741e+01, 2.541082528091920e-01, 9.540572873956446e+00, -1.972372424102535e+02, 3.428565137526557e+02, 2.125944897325549e+06, 2.645487520329381e-03
27352, 2.043358357400044e+01, 2.543332202535652e-01, 9.542428082756659e+00, -2.016490161901102e+02, 3.515909103199178e+02, 2.126435968685003e+06, 3.070069899587206e-03
