"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
36, 6.931919083884791e-01, -1.186449246995026e-02, 1.037063407468964e+05, 1.342971765194809e-01, 4.631793199978360e-01
37, 6.784788709074294e-01, -1.240492049250016e-02, 1.036746492176979e+05, 1.325099132324058e-01, 4.636669789699033e-01
38, 6.635878196739301e-01, -1.295195842597940e-02, 1.036443183717275e+05, 1.307993865131302e-01, 4.641342856988286e-01
39, 6.485289219990362e-01, -1.350505079292134e-02, 1.036154188499947e+05, 1.291695802048388e-01, 4.645799381903721e-01
40, 6.333224193895296e-01, -1.406346841226885e-02, 1.035877469408966e+05, 1.276090058663621e-01, 4.650047871654037e-01
41, 6.179884226445331e-01, -1.462651999802861e-02, 1.035610488079932e+05, 1.261033482354926e-01, 4.654132642063378e-01
42, 6.025371391690610e-01, -1.519374753321044e-02, 1.035356517175434e+05, 1.246710636942438e-01, 4.658033999986637e-01
43, 5.869787109902403e-01, -1.576469419901694e-02, 1.035113828697831e+05, 1.233024070936164e-01, 4.661749742349786e-01
44, 5.713332849853330e-01, -1.633882143506653e-02, 1.034878789106921e+05, 1.219768868600804e-01, 4.665330981247016e-01
45, 5.556109288365151e-01, -1.691587231630224e-02, 1.034650378562387e+05, 1.206887515414282e-01, 4.668810718778898e-01
46, 5.398419303322076e-01, -1.749478390341470e-02, 1.034427422494825e+05, 1.194313770812442e-01, 4.672211014844104e-01
47, 5.240262712637356e-01, -1.807579375523807e-02, 1.034205390996483e+05, 1.181792167860617e-01, 4.675576724013222e-01
48, 5.081940798140884e-01, -1.865793412415186e-02, 1.033980391145196e+05, 1.169103162818173e-01, 4.678986140449207e-01
49, 4.923454198851989e-01, -1.924136092431741e-02, 1.033744689751153e+05, 1.155810637687969e-01, 4.682517247545152e-01
50, 4.765103233246210e-01, -1.982476806713582e-02, 1.033500048408354e+05, 1.142013938647431e-01, 4.686200196039407e-01
51, 4.606987643781189e-01, -2.040716641035119e-02, 1.033253548397647e+05, 1.128112418886712e-01, 4.689935905578621e-01
52, 4.449206911657121e-01, -2.098758748819955e-02, 1.033005008999288e+05, 1.114095886604666e-01, 4.693674072457308e-01
53, 4.292060523549715e-01, -2.156456142592648e-02, 1.032755588984409e+05, 1.100029691412142e-01, 4.697427118298336e-01
54, 4.135546789739186e-01, -2.213744570222113e-02, 1.032513901604159e+05, 1.086399582906974e-01, 4.701075625894678e-01
55, 3.979864508080306e-01, -2.270496204724198e-02, 1.032294111836079e+05, 1.074004403712481e-01, 4.704476529496467e-01
56, 3.825211713120253e-01, -2.326671120113571e-02, 1.032089165890140e+05, 1.062446351000114e-01, 4.707618870215797e-01
57, 3.671787001609986e-01, -2.382361244208669e-02, 1.031873984738854e+05, 1.050311077585086e-01, 4.710884553517485e-01
58, 3.519587591619148e-01, -2.437761541423036e-02, 1.031622314635433e+05, 1.036117987264928e-01, 4.714696956189026e-01
59, 3.368811117293433e-01, -2.492978017171840e-02, 1.031308629108934e+05, 1.018427499005820e-01, 4.719455286212801e-01
60, 3.219754275400540e-01, -2.548063360422829e-02, 1.030908420457309e+05, 9.958574858727075e-02, 4.725615192488749e-01
61, 3.072412836594133e-01, -2.603177504626929e-02, 1.030331124812602e+05, 9.633005428135528e-02, 4.734138184840856e-01
62, 2.926882072272655e-01, -2.658375985437395e-02, 1.029495460456661e+05, 9.161727373253342e-02, 4.746298401800801e-01
63, 2.783454446663057e-01, -2.712997044623984e-02, 1.028449441814959e+05, 8.571818724731024e-02, 4.761762069951347e-01
