"PointID","x","y","Pressure","Velocity_x","Velocity_y","Temperature","Turb_Kin_Energy","Omega","Species_0","Species_1","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Residual_Pressure","Residual_Velocity_x","Residual_Velocity_y","Residual_Temperature","Residual_TKE","Residual_Omega","Residual_Species_0","Residual_Species_1","Eddy_Viscosity"
3182, 5.009950913791721e-02, 1.382765027111515e-02, 2.637184894256910e+00, 3.475929207677161e-01, -4.713399275123974e-01, 1.000000000000000e+00, 4.792266234308160e-03, 7.814698528073806e+02, 5.704120613953814e-01, 1.676261428906005e-01, 5.274369788513820e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -5.421010862427522e-20, 1.113848325639405e-19, -7.479300924255472e-19, -6.631287623516571e-14, 7.676236084492097e-22, 1.201296007113939e-16, -1.575481281892999e-19, 1.151964808265848e-19, 6.132375058477623e-06
3183, 5.009950913791721e-02, 1.361500671989683e-02, 2.635791353128598e+00, 3.438097972519997e-01, -4.358948973916419e-01, 9.999999999999999e-01, 4.864424984959597e-03, 7.919071210520715e+02, 5.677858224548636e-01, 1.791237360557197e-01, 5.271582706257195e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -0.000000000000000e+00, -6.013933925505532e-20, 6.251103150736737e-19, -5.688343136572989e-15, -3.176373552203626e-22, 8.283304597789254e-17, 3.726944967918921e-19, -6.776263578034403e-20, 6.142671098218019e-06
3184, 5.009950913791720e-02, 1.337873610998978e-02, 2.632854927027337e+00, 3.435885762211806e-01, -3.985714182998700e-01, 1.000000000000000e+00, 4.851570309172782e-03, 8.005239163581432e+02, 5.646954300233359e-01, 1.922615329048175e-01, 5.265709854054674e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -0.000000000000000e+00, 8.470329472543003e-22, -1.423015351387225e-19, 2.842170943048092e-14, -8.735027268559972e-22, -1.183948772354171e-16, -1.558540622947913e-19, 1.355252715606881e-19, 6.060493896602406e-06
3185, 5.009950913791720e-02, 1.311621321807514e-02, 2.627818242066414e+00, 3.509895392777090e-01, -3.613674986465868e-01, 9.999999999999999e-01, 4.701437315839768e-03, 8.089027714007449e+02, 5.610876104010473e-01, 2.072399051897819e-01, 5.255636484132828e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -5.421010862427522e-20, 1.914294460794719e-19, -2.710505431213761e-19, -7.105427357592974e-14, 5.293955920339377e-23, -2.515349040166370e-17, 7.284483346386983e-20, 4.743384504624082e-20, 5.812116711750752e-06
3186, 5.009950913791721e-02, 1.282452111791858e-02, 2.620163108350701e+00, 3.721637372930782e-01, -3.276036146891003e-01, 9.999999999999998e-01, 4.396996560389188e-03, 8.211613646041035e+02, 5.569434632102398e-01, 2.242439621993504e-01, 5.240326216701402e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.168404344971009e-19, 9.147955830346444e-20, 4.404571325722362e-20, 7.726718481508656e-14, -4.632211430296955e-22, -4.336808689942018e-17, -1.338312056661795e-19, 4.743384504624082e-20, 5.354607206232918e-06
3187, 5.009950913791721e-02, 1.250041877513143e-02, 2.609525991539567e+00, 4.148881816439388e-01, -3.018778146600464e-01, 9.999999999999997e-01, 4.011161563290385e-03, 8.406812109410328e+02, 5.523051191339146e-01, 2.434051815146269e-01, 5.219051983079135e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -2.168404344971009e-19, 2.032879073410321e-19, 2.159934015498466e-19, -8.246931831348840e-14, 2.117582368135751e-22, -2.558717127065790e-17, -2.253107639696439e-19, 5.421010862427522e-20, 4.771322959389580e-06
3188, 5.009950913791722e-02, 1.214030506625274e-02, 2.595683235723910e+00, 4.864802393654413e-01, -2.892146574023136e-01, 9.999999999999998e-01, 3.700106308847788e-03, 8.600726242549500e+02, 5.472907319441722e-01, 2.647379140523669e-01, 5.191366471447821e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.168404344971009e-19, 8.131516293641283e-19, 1.078696458328351e-18, 4.011633512889484e-14, -1.720535674110298e-22, -4.076600168545497e-17, 3.693063650028749e-19, -6.776263578034403e-21, 4.302085898912382e-06
3189, 5.009950913791719e-02, 1.174017873005637e-02, 2.578239218116862e+00, 5.899382033957518e-01, -2.931222298732556e-01, 9.999999999999998e-01, 3.577456921819839e-03, 8.543494653550733e+02, 5.420737035137327e-01, 2.880575748121097e-01, 5.156478436233725e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -0.000000000000000e+00, 9.994988777600744e-20, -1.246356042325500e-18, 2.264606154967751e-15, -3.441071348220595e-22, -1.333568672157170e-16, -1.846531825014375e-19, 2.371692252312041e-19, 4.187346123442618e-06
3190, 5.009950913791721e-02, 1.129559391531511e-02, 2.556204773799953e+00, 7.198831439632448e-01, -3.130459928229003e-01, 9.999999999999998e-01, 3.596833469294106e-03, 7.953722170090174e+02, 5.368186083741711e-01, 3.129123314650419e-01, 5.112409547599905e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -0.000000000000000e+00, 3.837059251061981e-19, 6.119813043912320e-20, 3.249800053901219e-14, 5.293955920339377e-22, 8.890457814381136e-17, -2.473336205982557e-19, -1.151964808265848e-19, 4.522201545862303e-06
3191, 5.009950913791719e-02, 1.080161078897240e-02, 2.528179340342415e+00, 8.615017464632003e-01, -3.427944919838601e-01, 9.999999999999998e-01, 3.626868481110479e-03, 6.776846616456086e+02, 5.316142764967003e-01, 3.385798816253043e-01, 5.056358680684831e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -0.000000000000000e+00, 1.185846126156020e-19, 1.609362599783171e-20, 2.658737842716789e-14, -1.852884572118782e-22, 6.591949208711867e-17, 5.082197683525802e-19, 2.642742795433417e-19, 5.351852692524315e-06
3192, 5.009950913791720e-02, 1.025274064158855e-02, 2.493472346490813e+00, 9.949380285084953e-01, -3.717414926868721e-01, 1.000000000000000e+00, 3.624655257922384e-03, 5.246165960678524e+02, 5.264741754830727e-01, 3.641670229674666e-01, 4.986944692981625e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -0.000000000000000e+00, 7.098136097991037e-19, 2.191697751020502e-19, 1.262467945548611e-13, -7.411538288475128e-22, -1.621966450038315e-16, -3.726944967918921e-20, 1.219727444046192e-19, 6.909150959177018e-06
3193, 5.009950913791722e-02, 9.642884910412184e-03, 2.453201168503027e+00, 1.103746908576362e+00, -3.890162689162570e-01, 1.000000000000000e+00, 3.690313267864057e-03, 3.711825558355400e+02, 5.214236794117939e-01, 3.887825960043289e-01, 4.906402337006054e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.626303258728257e-19, -7.784232785267020e-19, 5.766176788433650e-19, 4.411837221007924e-14, 5.293955920339377e-22, 1.734723475976807e-17, -1.592421940838085e-19, -9.486769009248164e-20, 9.942043907632139e-06
3194, 5.009950913791721e-02, 8.965267441653468e-03, 2.410000836882976e+00, 1.182006554279909e+00, -3.883248463234815e-01, 1.000000000000000e+00, 3.991840756986565e-03, 2.444352937257945e+02, 5.165963742944640e-01, 4.116754732590417e-01, 4.820001673765951e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -2.168404344971009e-19, 2.990026303807680e-19, -3.933343074363153e-19, -5.951787341815086e-14, 1.535247216898419e-21, 7.285838599102590e-17, 3.506716401632803e-19, 3.184843881676169e-19, 1.633086898434798e-05
3195, 5.009950913791721e-02, 8.212359140850684e-03, 2.366357188486147e+00, 1.234866649760022e+00, -3.699711365173898e-01, 1.000000000000000e+00, 4.643248477825494e-03, 1.550661297732363e+02, 5.122327277834992e-01, 4.322404778986269e-01, 4.732714376972295e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.878909776184770e-19, 1.057097118173367e-18, 9.302539343220353e-19, 7.219428809714314e-26, -2.170521927339145e-21, -2.688821387764051e-17, -3.388131789017201e-20, 2.846030702774449e-19, 2.994366651579962e-05
