"PointID","x","y","Displacement_1","Displacement_2","Sxx","Syy","Sxy","Von_Mises_Stress"
20,2.266666666661619e-03,-5.000000000000000e-04,-6.373069987038623e-05,-1.407445398340440e-04,-6.023358662224773e+02,-7.769479548935794e+01,6.001521479549547e+01,5.381965785173589e+02,
21,2.399999999994655e-03,-5.000000000000000e-04,-6.762714173787249e-05,-1.565357519553126e-04,-5.899387207927883e+02,-7.682710155029315e+01,6.185588510635267e+01,5.278144900349141e+02,
22,2.533333333327691e-03,-5.000000000000000e-04,-7.156186442522782e-05,-1.730888154561490e-04,-5.776611362697578e+02,-7.596906782225302e+01,6.352451356559284e+01,5.175291168988625e+02,
23,2.666666666660728e-03,-5.000000000000000e-04,-7.553789567347214e-05,-1.903890677706876e-04,-5.655062252411344e+02,-7.511801728645757e+01,6.502732076375378e+01,5.073409152471816e+02,
24,2.799999999993764e-03,-5.000000000000000e-04,-7.955803195643470e-05,-2.084219629476575e-04,-5.534768419952126e+02,-7.427151435996200e+01,6.637043508750364e+01,4.972503239303379e+02,
25,2.933333333326801e-03,-5.000000000000000e-04,-8.362484623774329e-05,-2.271730749025828e-04,-5.415755707174134e+02,-7.342734719132274e+01,6.755989031156662e+01,4.872577493547723e+02,
26,3.066666666659837e-03,-5.000000000000000e-04,-8.774069556672130e-05,-2.466281003270542e-04,-5.298047337012646e+02,-7.258351605500999e+01,6.860162194656900e+01,4.773635637548426e+02,
27,3.199999999992873e-03,-5.000000000000000e-04,-9.190772855900851e-05,-2.667728613206807e-04,-5.181664063924062e+02,-7.173822381001524e+01,6.950146336010599e+01,4.675681082372932e+02,
28,3.333333333325910e-03,-5.000000000000000e-04,-9.612789277504116e-05,-2.875933077944544e-04,-5.066624335940229e+02,-7.088986683481534e+01,7.026514211918222e+01,4.578716967972834e+02,
29,3.466666666658946e-03,-5.000000000000000e-04,-1.004029419959475e-04,-3.090755196790054e-04,-4.952944447333033e+02,-7.003702592698625e+01,7.089827673536263e+01,4.482746198771324e+02,
30,3.599999999991982e-03,-5.000000000000000e-04,-1.047344433918840e-04,-3.312057089601662e-04,-4.840638677003715e+02,-6.917845710497922e+01,7.140637385857485e+01,4.387771471207559e+02,
31,3.733333333325019e-03,-5.000000000000000e-04,-1.091237845772947e-04,-3.539702215570607e-04,-4.729719413536271e+02,-6.831308238126405e+01,7.179482592513136e+01,4.293795293947937e+02,
32,3.866666666658056e-03,-5.000000000000000e-04,-1.135721805483918e-04,-3.773555390536508e-04,-4.620197269636741e+02,-6.743998060707048e+01,7.206890923163793e+01,4.200820002644649e+02,
33,3.999999999991091e-03,-5.000000000000000e-04,-1.180806804993345e-04,-4.013482802922523e-04,-4.512081188589335e+02,-6.655837847869708e+01,7.223378241219066e+01,4.108847771101651e+02,
34,4.133333333324164e-03,-5.000000000000000e-04,-1.226501745146335e-04,-4.259352028362520e-04,-4.405378544634591e+02,-6.566764175771966e+01,7.229448528491365e+01,4.017880620233616e+02,
35,4.266666666657233e-03,-5.000000000000000e-04,-1.272814001360891e-04,-4.511032043085607e-04,-4.300095238620621e+02,-6.476726675166664e+01,7.225593804373659e+01,3.927920425739521e+02,
36,4.399999999990304e-03,-5.000000000000000e-04,-1.319749488031912e-04,-4.768393236121061e-04,-4.196235789640355e+02,-6.385687206702335e+01,7.212294076540218e+01,3.838968925049322e+02,
