"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Pressure_Coefficient"	"Mach"	"Temperature"	"Laminar_Viscosity"	"Skin_Friction_Coefficient"	"Heat_Flux"	"Y_Plus"	"Sharp_Edge_Dist"
38	6.664699912070000e-01	-3.957000002300000e-02	4.821553384505679e-04	0.000000000000000e+00	0.000000000000000e+00	9.891970041338188e+01	3.956788016535274e+01	-1.759174864921345e-01	0.000000000000000e+00	2.850751728145495e+02	1.781249493487592e-05	8.795857885663614e-03	2.084929787342574e-04	1.545034466926225e-02	3.358690990062629e-01	
39	6.514999866490000e-01	-4.095999896500000e-02	4.815975671455994e-04	0.000000000000000e+00	0.000000000000000e+00	9.878695406946342e+01	3.951478162778536e+01	-1.833497586324800e-01	0.000000000000000e+00	2.850223352738163e+02	1.780992305274985e-05	9.035779192007522e-03	-3.326707531782657e-04	1.565460325565653e-02	3.508988184945341e-01	
40	6.363800168040000e-01	-4.233000055000000e-02	4.811152185856745e-04	0.000000000000000e+00	0.000000000000000e+00	9.865510953128450e+01	3.946204381251379e+01	-1.907315399986464e-01	0.000000000000000e+00	2.849273060710413e+02	1.780529690458348e-05	9.281833604827570e-03	4.295650991140900e-04	1.586091624465828e-02	3.660755675076149e-01	
41	6.211299896240000e-01	-4.366999864600000e-02	4.805368363033044e-04	0.000000000000000e+00	0.000000000000000e+00	9.851848886132014e+01	3.940739554452804e+01	-1.983807299439101e-01	0.000000000000000e+00	2.848751982758408e+02	1.780275991386011e-05	9.480455660441044e-03	-2.299952190364196e-05	1.602426087807662e-02	3.813784911922171e-01	
42	6.057599782940000e-01	-4.498999938400000e-02	4.799965112912495e-04	0.000000000000000e+00	0.000000000000000e+00	9.838118590524849e+01	3.935247436209939e+01	-2.060681200826944e-01	0.000000000000000e+00	2.847984071484695e+02	1.779902075167183e-05	9.768784772074940e-03	1.617044450058078e-04	1.625946309505708e-02	3.967988089187261e-01	
43	5.902799963950000e-01	-4.627000168000000e-02	4.794120330795016e-04	0.000000000000000e+00	0.000000000000000e+00	9.824124591096330e+01	3.929649836438531e+01	-2.139031541043078e-01	0.000000000000000e+00	2.847400222736948e+02	1.779617751513942e-05	9.978430372279466e-03	-1.746434303642223e-04	1.642563461520564e-02	4.123243800814457e-01	
44	5.747100114820000e-01	-4.752000048800000e-02	4.788749372100848e-04	0.000000000000000e+00	0.000000000000000e+00	9.810050531651900e+01	3.924020212660759e+01	-2.217830125488212e-01	0.000000000000000e+00	2.846510039749409e+02	1.779184194933785e-05	1.025191898046931e-02	1.815830714237497e-04	1.664323873851008e-02	4.279365896719047e-01	
45	5.590599775310000e-01	-4.873000085400000e-02	4.782838361500395e-04	0.000000000000000e+00	0.000000000000000e+00	9.795662593138150e+01	3.918265037255259e+01	-2.298386072579645e-01	0.000000000000000e+00	2.845847980744542e+02	1.778861702218007e-05	1.050798308134135e-02	-1.641018303321755e-04	1.684309963041645e-02	4.436245218630199e-01	
46	5.433599948880000e-01	-4.989999905200000e-02	4.777301228709594e-04	0.000000000000000e+00	0.000000000000000e+00	9.781302506665544e+01	3.912521002666217e+01	-2.378786080197829e-01	0.000000000000000e+00	2.844969716428977e+02	1.778433839203528e-05	1.081540613443712e-02	1.959528568127847e-04	1.708117605953461e-02	4.593583613847439e-01	
47	5.276100039480000e-01	-5.102000013000000e-02	4.771182544469865e-04	0.000000000000000e+00	0.000000000000000e+00	9.766698703447931e+01	3.906679481379172e+01	-2.460550621949751e-01	0.000000000000000e+00	2.844365097277716e+02	1.778139250821914e-05	1.110075226859788e-02	-3.101830720181048e-04	1.729628632632355e-02	4.751371894340348e-01	
