"PointID", "Conservative_1", "Conservative_2", "Conservative_3", "Conservative_4", "Residual_1", "Residual_2", "Residual_3", "Residual_4", "Volume"
0  0 24	5.053998435809185e-05	8.339112234385068e-01	1.743551821610262e-01	9.138146575820998e+03	-1.204032870767127e-09	7.482531363767198e-05	4.551962667298515e-06	7.932722974946955e-01	1.355248874571178e-04	
0  0 25	5.163837176354399e-05	8.552216354765013e-01	1.806353863630125e-01	9.361266258748703e+03	-2.665444804366627e-10	9.212761570764894e-05	8.049490378914115e-06	9.668690364851500e-01	1.355790265936046e-04	
0  0 26	5.281797711779360e-05	8.781114630864413e-01	1.873295487106867e-01	9.600972245663415e+03	7.584246413742100e-10	1.110694761683462e-04	1.197943227421172e-05	1.157600220538370e+00	1.356331657300887e-04	
0  0 27	5.408519732383781e-05	9.027025357279312e-01	1.944743293199116e-01	9.858566807243305e+03	1.874061789860517e-09	1.316965999054176e-04	1.637899566231393e-05	1.366114574915628e+00	1.356873048665761e-04	
0  0 28	5.544659506228900e-05	9.291163180109998e-01	2.021103728544118e-01	1.013536790716793e+04	3.081143976974487e-09	1.540012074427999e-04	2.128474226298360e-05	1.592595860589427e+00	1.357414440030628e-04	
0  0 29	5.690875453340900e-05	9.574696704271295e-01	2.102828014741208e-01	1.043267178449492e+04	4.378180617622073e-09	1.779233759777732e-04	2.673532648289623e-05	1.836784944343890e+00	1.357955831395464e-04	
0  0 30	5.847817270530023e-05	9.878712454090773e-01	2.190419913180997e-01	1.075172232403219e+04	5.762056975002275e-09	2.033629347544252e-04	3.277603393386785e-05	2.098103640619229e+00	1.358497222760355e-04	
0  0 31	6.016121240476645e-05	1.020419232014408e+00	2.284446393863876e-01	1.109369379856832e+04	7.229083145426506e-09	2.302006100607379e-04	3.946410129374023e-05	2.375864149089466e+00	1.359038614125279e-04	
0  0 32	6.196412292874838e-05	1.055200811683915e+00	2.385549708279160e-01	1.145968970707528e+04	8.776208886327559e-09	2.583242023099785e-04	4.687305950673570e-05	2.669518439513922e+00	1.359580005490062e-04	
0  0 33	6.389310700007599e-05	1.092293174236735e+00	2.494457650583222e-01	1.185075503456958e+04	1.040208290269368e-08	2.876536844929056e-04	5.509411798870767e-05	2.978884039959667e+00	1.360121396854979e-04	
0  0 34	6.595439040322097e-05	1.131765450896249e+00	2.611987690001397e-01	1.226789432876869e+04	1.210767028407827e-08	3.181592616328111e-04	6.423320580251080e-05	3.304287061495415e+00	1.360662788219834e-04	
0  0 35	6.815424418087012e-05	1.173680670603318e+00	2.739040937317180e-01	1.271208586931441e+04	1.389630242060386e-08	3.498689749699135e-04	7.440369831834825e-05	3.646592897272058e+00	1.361204179584714e-04	
