"PointID","x","y","Temperature"
39, 1.622473848984260e-02, 1.700000000000000e-03, 3.673899077816019e+02
40, 1.617495515856053e-02, 1.700000000000000e-03, 3.681362856726582e+02
41, 1.612517182727848e-02, 1.700000000000000e-03, 3.688803488376627e+02
42, 1.607538849599642e-02, 1.700000000000000e-03, 3.696219894489482e+02
43, 1.602560516471436e-02, 1.700000000000000e-03, 3.703611135216147e+02
44, 1.597582183343230e-02, 1.700000000000000e-03, 3.710976373253490e+02
45, 1.592603850215024e-02, 1.700000000000000e-03, 3.718314847498577e+02
46, 1.587625517086818e-02, 1.700000000000000e-03, 3.725625853722091e+02
47, 1.582647183958612e-02, 1.700000000000000e-03, 3.732908730403183e+02
48, 1.577668850830406e-02, 1.700000000000000e-03, 3.740162848357029e+02
49, 1.572690517702201e-02, 1.700000000000000e-03, 3.747387603147760e+02
50, 1.567712184573995e-02, 1.700000000000000e-03, 3.754582409546098e+02
51, 1.562733851445789e-02, 1.700000000000000e-03, 3.761746697487370e+02
52, 1.557755518317583e-02, 1.700000000000000e-03, 3.768879909130175e+02
53, 1.552777185189377e-02, 1.700000000000000e-03, 3.775981496722090e+02
54, 1.547798852061171e-02, 1.700000000000000e-03, 3.783050921056958e+02
55, 1.542820518932965e-02, 1.700000000000000e-03, 3.790087650365573e+02
56, 1.537842185804760e-02, 1.700000000000000e-03, 3.797091159523695e+02
57, 1.532863852676554e-02, 1.700000000000000e-03, 3.804060929492211e+02
58, 1.527885519548348e-02, 1.700000000000000e-03, 3.810996446926926e+02
59, 1.522907186420142e-02, 1.700000000000000e-03, 3.817897203912148e+02
60, 1.517928853291936e-02, 1.700000000000000e-03, 3.824762697784381e+02
61, 1.512950520163730e-02, 1.700000000000000e-03, 3.831592431021461e+02
62, 1.507972187035524e-02, 1.700000000000000e-03, 3.838385911178992e+02
63, 1.502993853907318e-02, 1.700000000000000e-03, 3.845142650860803e+02
64, 1.498015520779113e-02, 1.700000000000000e-03, 3.851862167713653e+02
65, 1.493037187650907e-02, 1.700000000000000e-03, 3.858543984439038e+02
66, 1.488058854522701e-02, 1.700000000000000e-03, 3.865187628816822e+02
67, 1.483080521394495e-02, 1.700000000000000e-03, 3.871792633736860e+02
68, 1.478102188266289e-02, 1.700000000000000e-03, 3.878358537235749e+02
69, 1.473123855138083e-02, 1.700000000000000e-03, 3.884884882536657e+02
70, 1.468145522009878e-02, 1.700000000000000e-03, 3.891371218090678e+02
71, 1.463167188881672e-02, 1.700000000000000e-03, 3.897817097618605e+02
72, 1.458188855753466e-02, 1.700000000000000e-03, 3.904222080152288e+02
73, 1.453210522625259e-02, 1.700000000000000e-03, 3.910585730074985e+02
74, 1.448232189497054e-02, 1.700000000000000e-03, 3.916907617160235e+02
75, 1.443253856368848e-02, 1.700000000000000e-03, 3.923187316608982e+02
76, 1.438275523240642e-02, 1.700000000000000e-03, 3.929424409084631e+02
77, 1.433297190112437e-02, 1.700000000000000e-03, 3.935618480745943e+02
78, 1.428318856984230e-02, 1.700000000000000e-03, 3.941769123277598e+02
79, 1.423340523856025e-02, 1.700000000000000e-03, 3.947875933918332e+02
80, 1.418362190727819e-02, 1.700000000000000e-03, 3.953938515486631e+02
81, 1.413383857599613e-02, 1.700000000000000e-03, 3.959956476403873e+02
82, 1.408405524471407e-02, 1.700000000000000e-03, 3.965929430714943e+02
83, 1.403427191343201e-02, 1.700000000000000e-03, 3.971856998106281e+02
84, 1.398448858214995e-02, 1.700000000000000e-03, 3.977738803921355e+02
85, 1.393470525086789e-02, 1.700000000000000e-03, 3.983574479173563e+02
86, 1.388492191958583e-02, 1.700000000000000e-03, 3.989363660556563e+02
87, 1.383513858830377e-02, 1.700000000000000e-03, 3.995105990452050e+02
88, 1.378535525702172e-02, 1.700000000000000e-03, 4.000801116934982e+02
89, 1.373557192573966e-02, 1.700000000000000e-03, 4.006448693776280e+02
90, 1.368578859445760e-02, 1.700000000000000e-03, 4.012048380443003e+02
91, 1.363600526317554e-02, 1.700000000000000e-03, 4.017599842096054e+02
92, 1.358622193189348e-02, 1.700000000000000e-03, 4.023102749585404e+02
93, 1.353643860061142e-02, 1.700000000000000e-03, 4.028556779442882e+02
94, 1.348665526932936e-02, 1.700000000000000e-03, 4.033961613872546e+02
95, 1.343687193804731e-02, 1.700000000000000e-03, 4.039316940738680e+02
96, 1.338708860676525e-02, 1.700000000000000e-03, 4.044622453551435e+02
97, 1.333730527548319e-02, 1.700000000000000e-03, 4.049877851450145e+02
98, 1.328752194420113e-02, 1.700000000000000e-03, 4.055082839184369e+02
99, 1.323773861291907e-02, 1.700000000000000e-03, 4.060237127092681e+02
100, 1.318795528163701e-02, 1.700000000000000e-03, 4.065340431079248e+02
101, 1.313817195035496e-02, 1.700000000000000e-03, 4.070392472588242e+02
102, 1.308838861907290e-02, 1.700000000000000e-03, 4.075392978576116e+02
103, 1.303860528779083e-02, 1.700000000000000e-03, 4.080341681481801e+02
104, 1.298882195650878e-02, 1.700000000000000e-03, 4.085238319194845e+02
105, 1.293903862522672e-02, 1.700000000000000e-03, 4.090082635021575e+02
