"PointID","x","y","Displacement_1","Displacement_2","Velocity_1","Velocity_2","Acceleration_1","Acceleration_2","Sxx","Syy","Sxy","Von_Mises_Stress"
16,-5.000000000000000e-04,8.159775341860062e-03,4.077263080772339e-04,3.001783250231965e-05,4.764507941569416e-05,2.526441589068721e-06,2.100209163331077e-03,3.100180996293573e-04,1.212818509690492e+01,1.417934597448423e+02,1.206309607577291e+01,1.318906994342601e+02,
17,-5.000000000000000e-04,8.777622455299949e-03,4.616571347510680e-04,2.928680913724905e-05,5.394711172604759e-05,2.200993399209325e-06,2.403680179563591e-03,3.103822011427091e-04,1.074079227969875e+01,1.249231232472732e+02,1.124311617007444e+01,1.163754069812169e+02,
18,-5.000000000000000e-04,9.366048275369538e-03,5.147445557615767e-04,2.825024581942022e-05,6.014690101405235e-05,1.832335321524735e-06,2.706191660789624e-03,3.073208571425875e-04,9.449691153121570e+00,1.094667448383400e+02,1.035818126122283e+01,1.021399956140260e+02,
19,-5.000000000000000e-04,9.926453823835571e-03,5.666726194655724e-04,2.697453997554125e-05,6.620726281589814e-05,1.432005669534560e-06,3.005304530778978e-03,3.014127557500898e-04,8.252730739503834e+00,9.535110921599718e+01,9.444767136832883e+00,8.912318462841459e+01,
20,-5.000000000000000e-04,1.046017339761237e-02,6.172073103401412e-04,2.551646174460504e-05,7.210082545942320e-05,1.009801590766351e-06,3.299069356831117e-03,2.931905188486716e-04,7.147487029877519e+00,8.250181635068128e+01,8.530287798236195e+00,7.726149226536525e+01,
21,-5.000000000000000e-04,1.096847775295908e-02,6.661810185958592e-04,2.392403629689569e-05,7.780817751394609e-05,5.739185900670157e-07,3.585969933687687e-03,2.831331961923920e-04,6.131065166179017e+00,7.084466564119677e+01,7.634912856348697e+00,6.649073366820653e+01,
22,-5.000000000000000e-04,1.145257713930474e-02,7.134796296677363e-04,2.223749870367964e-05,8.331631566723215e-05,1.311152075569872e-07,3.864865728864413e-03,2.716624081263294e-04,5.200280255534736e+00,6.030688104750132e+01,6.773030815314090e+00,5.674709892625305e+01,
23,-5.000000000000000e-04,1.191362417171623e-02,7.590318322146635e-04,2.049024806545775e-05,8.861735008526714e-05,-3.131148986173726e-07,4.134935148156545e-03,2.591412905965189e-04,4.351882924112786e+00,5.081788033613887e+01,5.954506764904002e+00,4.796783837893432e+01,
24,-5.000000000000000e-04,1.235271658100143e-02,8.028003005882816e-04,1.870975417131669e-05,9.370743000794738e-05,-7.543747356816699e-07,4.395621531541936e-03,2.458755060904641e-04,3.582700908727068e+00,4.230947195443330e+01,5.185757506954644e+00,4.009153425986958e+01,
25,-5.000000000000000e-04,1.277089982958619e-02,8.447744485592125e-04,1.691838934586499e-05,9.858585680053495e-05,-1.189206052823544e-06,4.646583440627453e-03,2.321158141764396e-04,2.889324627161960e+00,3.471549461759089e+01,4.470666119531234e+00,3.305831995835507e+01,
