"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Grid_Velx","Grid_Vely","Pressure","Temperature","Pressure_Coefficient","Mach","Laminar_Viscosity","Skin_Friction_Coefficient","Heat_Flux","Y_Plus"
10,6.734417156811488e-04,1.600097857403091e-02,1.015111020257137e+00,1.427091667798718e-04,-5.451334624688989e-06,4.571861468495697e+01,1.407260508461518e-04,-5.314034807329948e-06,1.828744586996438e+01,6.275811004253655e-02,8.606060197910698e-01,2.801374528035974e-05,1.600000000000000e-03,2.405048168301193e-01,2.895553275379827e-02,3.997504895433682e-02,
11,1.668210518043337e-03,1.589886101262221e-02,9.895151269071889e-01,1.379081879093460e-04,-1.732834241088842e-05,4.459802321643167e+01,1.395117742746064e-04,-1.746753111042665e-05,1.783920928266793e+01,6.280345093308236e-02,-3.586715465839307e-02,2.795944890504055e-05,1.600000000000000e-03,2.263333265277884e-01,-6.877298577955544e-02,6.260018089433178e-02,
12,-1.000000000000000e-01,1.006407844091905e-03,1.028705901203225e+00,3.543481804187083e-02,-1.250686630175904e-06,4.591994583711036e+01,-2.775557561562891e-15,2.168404344971009e-17,1.836773421719501e+01,6.220061813113106e-02,1.021182714226640e+00,6.889580526326519e-03,1.600000000000000e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
13,-1.000000000000000e-01,1.964891508928506e-03,1.028705923516589e+00,3.545438318159759e-02,-2.559205988086502e-06,4.591994682668062e+01,-2.775557561562891e-15,0.000000000000000e+00,1.836773434337660e+01,6.220061720925748e-02,1.021182966589805e+00,6.893384485515396e-03,1.600000000000000e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
14,-1.000000000000000e-01,2.877733094607172e-03,1.028705927024972e+00,3.548459616968989e-02,-3.514510101336906e-06,4.591994696745223e+01,-2.775557561562891e-15,4.336808689942018e-17,1.836773398299083e+01,6.220061577671068e-02,1.021182245818267e+00,6.899258858999149e-03,1.600000000000000e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
15,-1.000000000000000e-01,3.747106030483989e-03,1.028705932094172e+00,3.552468779681046e-02,-4.267088143200899e-06,4.591994721336683e+01,-2.775557561562891e-15,4.336808689942018e-17,1.836773352786955e+01,6.220061392897625e-02,1.021181335575712e+00,6.907053945939076e-03,1.600000000000000e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
16,-1.000000000000000e-01,4.575080255248663e-03,1.028705937103080e+00,3.557398132249057e-02,-4.831549015936799e-06,4.591994753196192e+01,-2.775557561562891e-15,0.000000000000000e+00,1.836773297392665e+01,6.220061175023720e-02,1.021180227689918e+00,6.916638172086911e-03,1.600000000000000e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
17,-1.000000000000000e-01,5.363627136157465e-03,1.028705941684355e+00,3.563177388183525e-02,-5.223897641135803e-06,4.591994794009849e+01,-2.775557561562891e-15,1.734723475976807e-16,1.836773233711569e+01,6.220060931672997e-02,1.021178954067992e+00,6.927874876728645e-03,1.600000000000000e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
18,-1.000000000000000e-01,6.114624164579013e-03,1.028705945587443e+00,3.569727362658361e-02,-5.465197132411571e-06,4.591994845093710e+01,-2.775557561562891e-15,0.000000000000000e+00,1.836773163311922e+01,6.220060669671189e-02,1.021177546075059e+00,6.940610098621348e-03,1.600000000000000e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
19,-1.000000000000000e-01,6.829859429751239e-03,1.028705948654471e+00,3.576957089384858e-02,-5.580169635398282e-06,4.591994907192554e+01,-2.775557561562891e-15,0.000000000000000e+00,1.836773087697972e+01,6.220060395066859e-02,1.021176033796061e+00,6.954666970302280e-03,1.600000000000000e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
