"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Grid_Velocity_x","Grid_Velocity_y","Pressure","Temperature","Mach","Pressure_Coefficient"
6543, -4.526024400330705e-02, -4.175386813210746e+00, 1.295185981643731e+00, 3.399644644717465e+02, 2.910226269313175e+01, 3.000722024785000e+05, -6.002563438530574e+00, 8.069519116804349e-01, 1.020511109340576e+05, 2.737090730198978e+02, 7.931951071450655e-01, 1.599588783567680e-02
6544, -2.669375886928883e-01, -4.167336231583755e+00, 1.294973297301381e+00, 3.399575718158879e+02, 2.925234471711915e+01, 3.000223575953289e+05, -5.888388198221808e+00, 1.107641652489644e+00, 1.020275915231578e+05, 2.736909352975311e+02, 7.933655392951358e-01, 1.547776609825574e-02
6545, -4.878738438231825e-01, -4.147555499824193e+00, 1.294737188215438e+00, 3.399610499114129e+02, 2.939039825348454e+01, 2.999692789198800e+05, -5.759789988752551e+00, 1.400770185648431e+00, 1.020014650885632e+05, 2.736707483147961e+02, 7.935751315042963e-01, 1.490221283535973e-02
6546, -7.074468994941662e-01, -4.116100451416306e+00, 1.294493521751776e+00, 3.399732883038598e+02, 2.951350461523748e+01, 2.999163009993957e+05, -5.617296342571400e+00, 1.685697469496132e+00, 1.019744823156707e+05, 2.736498535713646e+02, 7.938078887630720e-01, 1.430779483607126e-02
6547, -9.250389787369053e-01, -4.073061385054976e+00, 1.294254582749265e+00, 3.399924224792661e+02, 2.962029109062790e+01, 2.998658541673332e+05, -5.461455271111600e+00, 1.961795362789228e+00, 1.019479956629806e+05, 2.736292830798688e+02, 7.940501583501348e-01, 1.372430613523957e-02
6548, -1.140036229284930e+00, -4.018559074021358e+00, 1.294028818481316e+00, 3.400165639825865e+02, 2.971070921518132e+01, 2.998194701125814e+05, -5.292834339929422e+00, 2.228501987877939e+00, 1.019229355470315e+05, 2.736097488381528e+02, 7.942913014357241e-01, 1.317224337861485e-02
6549, -1.351834982067139e+00, -3.952749637611409e+00, 1.293820881604625e+00, 3.400439838646823e+02, 2.978573144308645e+01, 2.997778421030726e+05, -5.112012700885288e+00, 2.485312935879595e+00, 1.018998182086750e+05, 2.735916541943155e+02, 7.945240255702466e-01, 1.266297911324604e-02
6550, -1.559838307165931e+00, -3.875818766929890e+00, 1.293632038172847e+00, 3.400732374539235e+02, 2.984700830247617e+01, 2.997409495085368e+05, -4.919578770508418e+00, 2.731736189158205e+00, 1.018787909840152e+05, 2.735751284895195e+02, 7.947443130422135e-01, 1.219975908531500e-02
6551, -1.763462893433661e+00, -3.787984240628792e+00, 1.293460822346897e+00, 3.401032153949250e+02, 2.989653642053922e+01, 2.997082200092995e+05, -4.716127594780665e+00, 2.967319704341059e+00, 1.018597038335531e+05, 2.735600802056411e+02, 7.949509987306959e-01, 1.177927799410260e-02
6552, -1.962135038789745e+00, -3.689496694522296e+00, 1.293303914799426e+00, 3.401331450720343e+02, 2.993637921473815e+01, 2.996787284204894e+05, -4.502265573946097e+00, 3.191640758438810e+00, 1.018422034579116e+05, 2.735462636596275e+02, 7.951450831297041e-01, 1.139375281783304e-02
6553, -2.155297874779207e+00, -3.580634848803034e+00, 1.293157095104787e+00, 3.401625362536446e+02, 2.996846759657304e+01, 2.996514016778826e+05, -4.278598918306316e+00, 3.404314712512488e+00, 1.018258361103061e+05, 2.735333535857200e+02, 7.953288726430068e-01, 1.103318772483541e-02
6554, -2.342409365323286e+00, -3.461706331954468e+00, 1.293016073423619e+00, 3.401911176555008e+02, 2.999448447624277e+01, 2.996251943204724e+05, -4.045737336013725e+00, 3.604987197726550e+00, 1.018101371539183e+05, 2.735210097729671e+02, 7.955052027729627e-01, 1.068734698103481e-02
6555, -2.522944345465390e+00, -3.333049665643986e+00, 1.292877065036774e+00, 3.402187612338498e+02, 3.001581461754022e+01, 2.995992055963466e+05, -3.804293949047848e+00, 3.793333800547927e+00, 1.017946943928718e+05, 2.735089257172735e+02, 7.956768266641997e-01, 1.034715010203695e-02
6556, -2.696397718861207e+00, -3.195027311957943e+00, 1.292737146725488e+00, 3.402454240480303e+02, 3.003355530955337e+01, 2.995727493397287e+05, -3.554876756744118e+00, 3.969060992315785e+00, 1.017791870640572e+05, 2.734968580663125e+02, 7.958460186612204e-01, 1.000553082498954e-02
6557, -2.862284352649198e+00, -3.048031511571081e+00, 1.292594377383012e+00, 3.402711031675097e+02, 3.004855468643942e+01, 2.995453738069304e+05, -3.298096853993531e+00, 4.131900674887760e+00, 1.017633998919060e+05, 2.734846389522461e+02, 7.960143837606795e-01, 9.657746728745810e-03
6558, -3.020139280685763e+00, -2.892476313108745e+00, 1.292447758635956e+00, 3.402958090914839e+02, 3.006146557597104e+01, 2.995168479603768e+05, -3.034559661724063e+00, 4.281610417207597e+00, 1.017472193903336e+05, 2.734721744689169e+02, 7.961828320032669e-01, 9.301297767385731e-03
6559, -3.169524665863540e+00, -2.728803543764031e+00, 1.292297059750090e+00, 3.403195561124562e+02, 3.007279797756867e+01, 2.994871194051979e+05, -2.764868018474857e+00, 4.417974031483235e+00, 1.017306151508325e+05, 2.734594315061454e+02, 7.963516926769821e-01, 8.935514055559696e-03
6560, -3.310021849923706e+00, -2.557474638477132e+00, 1.292142586577429e+00, 3.403423600220178e+02, 3.008295884277232e+01, 2.994562613288959e+05, -2.489622929789351e+00, 4.540793821016394e+00, 1.017136152850081e+05, 2.734464206957355e+02, 7.965208834200821e-01, 8.561014878927501e-03
6561, -3.441241460053762e+00, -2.378972741990101e+00, 1.291984965366517e+00, 3.403642365698706e+02, 3.009228304794208e+01, 2.994244227919523e+05, -2.209417844170718e+00, 4.649896209298153e+00, 1.016962834084225e+05, 2.734331803342374e+02, 7.966900690259796e-01, 8.179201658878974e-03
6562, -3.562818329072542e+00, -2.193801516531402e+00, 1.291824943002942e+00, 3.403852081659126e+02, 3.010105864436830e+01, 2.993917835419879e+05, -1.924845526840105e+00, 4.745124665967688e+00, 1.016786968399937e+05, 2.734197600745648e+02, 7.968588287440904e-01, 7.791777695396416e-03
6563, -3.674416580186645e+00, -2.002483155589128e+00, 1.291663225727147e+00, 3.404053087037037e+02, 3.010954186274181e+01, 2.993585173708420e+05, -1.636494192230312e+00, 4.826341193428503e+00, 1.016609290425181e+05, 2.734062078555471e+02, 7.970267889685508e-01, 7.400361339882928e-03
6564, -3.775727609958827e+00, -1.805556290712148e+00, 1.291500360386213e+00, 3.404245884437191e+02, 3.011796640972560e+01, 2.993247652519759e+05, -1.344949805572038e+00, 4.893423613217439e+00, 1.016430366116009e+05, 2.733925600414236e+02, 7.971937242158893e-01, 7.006199367331416e-03
6565, -3.866472114017907e+00, -1.603574958150204e+00, 1.291336649117098e+00, 3.404431153696635e+02, 3.012654842732458e+01, 2.992906157870934e+05, -1.050795342553601e+00, 4.946265437813127e+00, 1.016250500644080e+05, 2.733788346899775e+02, 7.973596240016551e-01, 6.609964056783700e-03
6566, -3.946401065983534e+00, -1.397106530044878e+00, 1.291172102095425e+00, 3.404609773012774e+02, 3.013548865873268e+01, 2.992560943507510e+05, -7.546125933091238e-01, 4.984774431565397e+00, 1.016069685844763e+05, 2.733650273937442e+02, 7.975247337654696e-01, 6.211637421933623e-03
6567, -4.015296673245120e+00, -1.186731663159263e+00, 1.291006408864554e+00, 3.404782807275943e+02, 3.014497375483347e+01, 2.992211562984320e+05, -4.569847397629446e-01, 5.008872341125667e+00, 1.015887570047186e+05, 2.733511092028458e+02, 7.976895735528043e-01, 5.810444748127848e-03
