"PointID","x","y","Displacement_x","Displacement_y","Velocity_x","Velocity_y","Acceleration_x","Acceleration_y","Sxx","Syy","Sxy","Von_Mises_Stress"
144, -1.719248000000000e-01, 3.378620000000000e-03, -5.619131240149883e-05, 2.723386793809542e-04, 4.618310068884803e-03, -2.240772284572329e-02, -1.418414010197293e+00, 6.965207559510173e+00, -1.077315573092917e+06, 4.537858852834602e+04, 3.084063509690128e+05, 1.280976225310431e+06
145, -1.618466000000000e-01, 3.486796000000000e-03, -7.395648844145130e-05, 4.650811220887147e-04, 6.842391687557776e-03, -4.162193468355765e-02, -1.368105751434674e+00, 9.699434836681061e+00, -8.914117720582183e+05, 4.598248490093907e+04, 2.592635149989292e+05, 1.071250798748085e+06
146, -1.512935000000000e-01, 3.576470000000000e-03, -9.083769744025923e-05, 7.027372577406497e-04, 9.497185349778052e-03, -6.706765397998485e-02, -1.000120975615241e+00, 1.209049573068886e+01, -7.474095371737245e+05, 4.672854298103316e+04, 2.189897983237805e+05, 9.069076124013099e+05
147, -1.402968000000000e-01, 3.647516000000000e-03, -1.068818091887246e-04, 9.820632665611272e-04, 1.261983011246450e-02, -9.893301975399789e-02, -3.226427550907163e-01, 1.393815553819763e+01, -6.280318694624800e+05, 4.503162118399158e+04, 1.855959019161654e+05, 7.686337344102927e+05
148, -1.288884000000000e-01, 3.699915000000000e-03, -1.221141505648545e-04, 1.299767642047532e-03, 1.624497802629149e-02, -1.373525150054503e-01, 6.550807047859513e-01, 1.513079426370522e+01, -5.281324346862169e+05, 4.377512505899876e+04, 1.568812142434622e+05, 6.523228636371255e+05
149, -1.171021000000000e-01, 3.733874000000000e-03, -1.365713542548183e-04, 1.652510877440491e-03, 2.040697636320446e-02, -1.823953283521344e-01, 1.925932395798366e+00, 1.566366169010978e+01, -4.450308495968798e+05, 4.230338218317993e+04, 1.315792767003928e+05, 5.538475220605894e+05
150, -1.049722000000000e-01, 3.749705000000000e-03, -1.502863329389778e-04, 2.036980202857946e-03, 2.514098758361234e-02, -2.340610618628796e-01, 3.490502283350719e+00, 1.566082807170056e+01, -3.762264525776975e+05, 4.080309637181848e+04, 1.085522104541223e+05, 4.701573930876136e+05
151, -9.253454000000000e-02, 3.747926000000000e-03, -1.633058842887889e-04, 2.449913923944197e-03, 3.047937739640053e-02, -2.922888454471315e-01, 5.348563838692484e+00, 1.535804595649419e+01, -3.202487548307294e+05, 3.942743640394854e+04, 8.691400212148248e+04, 3.994785821545091e+05
152, -7.982535000000000e-02, 3.729145000000000e-03, -1.756976488622640e-04, 2.888202289474593e-03, 3.644719841475312e-02, -3.570219983937102e-01, 7.488401344707223e+00, 1.499202012570636e+01, -2.762510190583519e+05, 3.833954430247867e+04, 6.584620598949172e+04, 3.410426863730215e+05
153, -6.688208000000000e-02, 3.694141000000000e-03, -1.875592699064060e-04, 3.348946725948209e-03, 4.308763258953129e-02, -4.282525710037614e-01, 9.921621620881288e+00, 1.469578053141561e+01, -2.438792549534703e+05, 3.677133095386703e+04, 4.507758569114258e+04, 2.947756881038545e+05
