"PointID","x","y","Displacement_x","Displacement_y","Sxx","Syy","Sxy","Von_Mises_Stress"
18,1.999999999995546e-03,-5.000000000000000e-04,-3.543043768035859e-05,-7.058269877233754e-05,-4.360914205641666e+02,-5.216849632888442e+01,2.536505608934044e+01,3.872600625355417e+02,
19,2.133333333328582e-03,-5.000000000000000e-04,-3.788799256391760e-05,-7.986647009245250e-05,-4.315724283101088e+02,-5.186005566451716e+01,2.673440690798244e+01,3.834584723161439e+02,
20,2.266666666661619e-03,-5.000000000000000e-04,-4.036552828258286e-05,-8.970998881651997e-05,-4.270485598842010e+02,-5.155908348759707e+01,2.805384682898427e+01,3.796582939594659e+02,
21,2.399999999994655e-03,-5.000000000000000e-04,-4.286500728956511e-05,-1.001077570805770e-04,-4.225204948308447e+02,-5.126479104934519e+01,2.932390807985158e+01,3.758595002532181e+02,
22,2.533333333327691e-03,-5.000000000000000e-04,-4.538832275999537e-05,-1.110542706467734e-04,-4.179890132424581e+02,-5.097645111948030e+01,3.054511475925988e+01,3.720621411789945e+02,
23,2.666666666660728e-03,-5.000000000000000e-04,-4.793729954282774e-05,-1.225440199023773e-04,-4.134549105937510e+02,-5.069336928502518e+01,3.171799171692888e+01,3.682662893164443e+02,
24,2.799999999993764e-03,-5.000000000000000e-04,-5.051369491106931e-05,-1.345714907131505e-04,-4.089189634091948e+02,-5.041487282216145e+01,3.284306853299018e+01,3.644720175408348e+02,
25,2.933333333326801e-03,-5.000000000000000e-04,-5.311919923872266e-05,-1.471311651519174e-04,-4.043819183213283e+02,-5.014030727078114e+01,3.392088095474897e+01,3.606793917853807e+02,
26,3.066666666659837e-03,-5.000000000000000e-04,-5.575543666083291e-05,-1.602175221370990e-04,-3.998444906798118e+02,-4.986903593968064e+01,3.495197113419515e+01,3.568884700648425e+02,
27,3.199999999992873e-03,-5.000000000000000e-04,-5.842396573818663e-05,-1.738250380102742e-04,-3.953073663618555e+02,-4.960044028834000e+01,3.593688735106227e+01,3.530993036316142e+02,
28,3.333333333325910e-03,-5.000000000000000e-04,-6.112628013266159e-05,-1.879481870726900e-04,-3.907712041621037e+02,-4.933392040517268e+01,3.687618354331924e+01,3.493119385165547e+02,
29,3.466666666658946e-03,-5.000000000000000e-04,-6.386380929308603e-05,-2.025814420930117e-04,-3.862366378371545e+02,-4.906889533558578e+01,3.777041878649817e+01,3.455264168263172e+02,
30,3.599999999991982e-03,-5.000000000000000e-04,-6.663791914954184e-05,-2.177192747933037e-04,-3.817042776116695e+02,-4.880480322776803e+01,3.862015677680907e+01,3.417427776602442e+02,
31,3.733333333325019e-03,-5.000000000000000e-04,-6.944991281390218e-05,-2.333561563169401e-04,-3.771747112177949e+02,-4.854110133302379e+01,3.942596533793824e+01,3.379610576933520e+02,
