"PointID","x","y","Temperature"
77, 1.433297190112437e-02, 1.700000000000000e-03, 3.723309364465166e+02
78, 1.428318856984230e-02, 1.700000000000000e-03, 3.726783029896143e+02
79, 1.423340523856025e-02, 1.700000000000000e-03, 3.730247893872115e+02
80, 1.418362190727819e-02, 1.700000000000000e-03, 3.733703862343184e+02
81, 1.413383857599613e-02, 1.700000000000000e-03, 3.737150841522094e+02
82, 1.408405524471407e-02, 1.700000000000000e-03, 3.740588735304171e+02
83, 1.403427191343201e-02, 1.700000000000000e-03, 3.744017444813689e+02
84, 1.398448858214995e-02, 1.700000000000000e-03, 3.747436869304512e+02
85, 1.393470525086789e-02, 1.700000000000000e-03, 3.750846907589964e+02
86, 1.388492191958583e-02, 1.700000000000000e-03, 3.754247457736475e+02
87, 1.383513858830377e-02, 1.700000000000000e-03, 3.757638416314766e+02
88, 1.378535525702172e-02, 1.700000000000000e-03, 3.761019677458948e+02
89, 1.373557192573966e-02, 1.700000000000000e-03, 3.764391133455470e+02
90, 1.368578859445760e-02, 1.700000000000000e-03, 3.767752674293730e+02
91, 1.363600526317554e-02, 1.700000000000000e-03, 3.771104187963953e+02
92, 1.358622193189348e-02, 1.700000000000000e-03, 3.774445560645198e+02
93, 1.353643860061142e-02, 1.700000000000000e-03, 3.777776678094305e+02
94, 1.348665526932936e-02, 1.700000000000000e-03, 3.781097424929303e+02
95, 1.343687193804731e-02, 1.700000000000000e-03, 3.784407681899852e+02
96, 1.338708860676525e-02, 1.700000000000000e-03, 3.787707327112171e+02
97, 1.333730527548319e-02, 1.700000000000000e-03, 3.790996237548585e+02
98, 1.328752194420113e-02, 1.700000000000000e-03, 3.794274287526540e+02
99, 1.323773861291907e-02, 1.700000000000000e-03, 3.797541349631118e+02
100, 1.318795528163701e-02, 1.700000000000000e-03, 3.800797295480090e+02
101, 1.313817195035496e-02, 1.700000000000000e-03, 3.804041994113921e+02
102, 1.308838861907290e-02, 1.700000000000000e-03, 3.807275311502056e+02
103, 1.303860528779083e-02, 1.700000000000000e-03, 3.810497112106603e+02
104, 1.298882195650878e-02, 1.700000000000000e-03, 3.813707258028095e+02
105, 1.293903862522672e-02, 1.700000000000000e-03, 3.816905608150499e+02
106, 1.288925529394466e-02, 1.700000000000000e-03, 3.820092018246393e+02
107, 1.283947196266260e-02, 1.700000000000000e-03, 3.823266342247899e+02
108, 1.278968863138054e-02, 1.700000000000000e-03, 3.826428431258289e+02
109, 1.273990530009849e-02, 1.700000000000000e-03, 3.829578132998714e+02
110, 1.269012196881643e-02, 1.700000000000000e-03, 3.832715293091905e+02
111, 1.264033863753437e-02, 1.700000000000000e-03, 3.835839755054931e+02
112, 1.259055530625230e-02, 1.700000000000000e-03, 3.838951360627129e+02
113, 1.254077197497025e-02, 1.700000000000000e-03, 3.842049944632760e+02
114, 1.249098864368819e-02, 1.700000000000000e-03, 3.845135341468728e+02
115, 1.244120531240613e-02, 1.700000000000000e-03, 3.848207383463367e+02
116, 1.239142198112408e-02, 1.700000000000000e-03, 3.851265897268303e+02
117, 1.234163864984202e-02, 1.700000000000000e-03, 3.854310707346398e+02
118, 1.229185531855996e-02, 1.700000000000000e-03, 3.857341633573000e+02
119, 1.224207198727789e-02, 1.700000000000000e-03, 3.860358492425718e+02
120, 1.219228865599584e-02, 1.700000000000000e-03, 3.863361099370258e+02
121, 1.214250532471378e-02, 1.700000000000000e-03, 3.866349266856470e+02
122, 1.209272199343172e-02, 1.700000000000000e-03, 3.869322800578876e+02
123, 1.204293866214966e-02, 1.700000000000000e-03, 3.872281498421289e+02
124, 1.199315533086760e-02, 1.700000000000000e-03, 3.875225159690863e+02
125, 1.194337199958554e-02, 1.700000000000000e-03, 3.878153577588628e+02
126, 1.189358866830349e-02, 1.700000000000000e-03, 3.881066537127950e+02
127, 1.184380533702143e-02, 1.700000000000000e-03, 3.883963834614447e+02
128, 1.179402200573937e-02, 1.700000000000000e-03, 3.886845259938302e+02
129, 1.174423867445731e-02, 1.700000000000000e-03, 3.889710583814351e+02
130, 1.169445534317526e-02, 1.700000000000000e-03, 3.892559573061370e+02
131, 1.164467201189319e-02, 1.700000000000000e-03, 3.895391991108737e+02
132, 1.159488868061113e-02, 1.700000000000000e-03, 3.898207601753527e+02
133, 1.154510534932907e-02, 1.700000000000000e-03, 3.901006173442406e+02
134, 1.149532201804702e-02, 1.700000000000000e-03, 3.903787462852118e+02
135, 1.144553868676496e-02, 1.700000000000000e-03, 3.906551216935703e+02
136, 1.139575535548290e-02, 1.700000000000000e-03, 3.909297171169359e+02
137, 1.134597202420084e-02, 1.700000000000000e-03, 3.912025055320844e+02
138, 1.129618869291878e-02, 1.700000000000000e-03, 3.914734600990365e+02
139, 1.124640536163672e-02, 1.700000000000000e-03, 3.917425540633334e+02
140, 1.119662203035466e-02, 1.700000000000000e-03, 3.920097595611746e+02
141, 1.114683869907260e-02, 1.700000000000000e-03, 3.922750474112286e+02
142, 1.109705536779055e-02, 1.700000000000000e-03, 3.925383878036797e+02
143, 1.104727203650849e-02, 1.700000000000000e-03, 3.927997516186641e+02
144, 1.099748870522643e-02, 1.700000000000000e-03, 3.930591092263520e+02
145, 1.094770537394437e-02, 1.700000000000000e-03, 3.933164280565559e+02
146, 1.089792204266231e-02, 1.700000000000000e-03, 3.935716745580661e+02
147, 1.084813871138025e-02, 1.700000000000000e-03, 3.938248152312613e+02
148, 1.079835538009820e-02, 1.700000000000000e-03, 3.940758160214571e+02
149, 1.074857204881614e-02, 1.700000000000000e-03, 3.943246410265718e+02
150, 1.069878871753407e-02, 1.700000000000000e-03, 3.945712541078041e+02
151, 1.064900538625202e-02, 1.700000000000000e-03, 3.948156200170069e+02
152, 1.059922205496996e-02, 1.700000000000000e-03, 3.950577004416215e+02
153, 1.054943872368790e-02, 1.700000000000000e-03, 3.952974552290631e+02
154, 1.049965539240584e-02, 1.700000000000000e-03, 3.955348412733283e+02
155, 1.044987206112379e-02, 1.700000000000000e-03, 3.957698134824385e+02
156, 1.040008872984173e-02, 1.700000000000000e-03, 3.960023249898443e+02
157, 1.035030539855967e-02, 1.700000000000000e-03, 3.962323284416231e+02
158, 1.030052206727761e-02, 1.700000000000000e-03, 3.964597763004068e+02
159, 1.025073873599555e-02, 1.700000000000000e-03, 3.966846165624415e+02
160, 1.020095540471349e-02, 1.700000000000000e-03, 3.969067878554721e+02
161, 1.015117207343143e-02, 1.700000000000000e-03, 3.971262262748882e+02
162, 1.010138874214937e-02, 1.700000000000000e-03, 3.973428669908659e+02
163, 1.005160541086732e-02, 1.700000000000000e-03, 3.975566322058424e+02
164, 1.000182207958526e-02, 1.700000000000000e-03, 3.977674299975245e+02
165, 9.952038748303192e-03, 1.700000000000000e-03, 3.979751659931534e+02
166, 9.902255417021133e-03, 1.700000000000000e-03, 3.981797337805671e+02
167, 9.852472085739075e-03, 1.700000000000000e-03, 3.983809810983669e+02
168, 9.802688754457018e-03, 1.700000000000000e-03, 3.985787360598682e+02
169, 9.752905423174961e-03, 1.700000000000000e-03, 3.987727884273939e+02
170, 9.703122091892901e-03, 1.700000000000000e-03, 3.989628528572152e+02
171, 9.653338760610846e-03, 1.700000000000000e-03, 3.991485300138729e+02
172, 9.603555429328784e-03, 1.700000000000000e-03, 3.993292093173206e+02
173, 9.553772098046729e-03, 1.700000000000000e-03, 3.995038274276387e+02
174, 9.503989057175503e-03, 1.699955982134311e-03, 3.996695754884382e+02
175, 9.454275842183182e-03, 1.697704654976501e-03, 3.998215225265345e+02
176, 9.405008701162915e-03, 1.690730360103608e-03, 3.999584937651861e+02
177, 9.356696153012300e-03, 1.678816441340789e-03, 4.000838446557473e+02
178, 9.309776247039193e-03, 1.662250180011833e-03, 4.001991683572816e+02
