"PointID","x","y","Adjoint_Temperature","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
13, 1.751760785428288e-02, 1.682770376439361e-03, 7.080394215336143e-19, -2.987089557716458e-17, -1.182258629592618e-16, -1.219297931525011e-16
14, 1.746896496131752e-02, 1.693254384030838e-03, 8.210021189033805e-19, -2.722870751517875e-17, -1.808859968549206e-16, -1.829101218481115e-16
15, 1.741951315173414e-02, 1.698769316633058e-03, 9.556916196183036e-19, -1.985706502626780e-17, -2.942775568562079e-16, -2.949467228780804e-16
16, 1.736975509079058e-02, 1.699989016979906e-03, 1.129444861275478e-18, -1.126497771542976e-17, -4.882333694334138e-16, -4.883353230758938e-16
17, 1.731997177804789e-02, 1.700000000000000e-03, 1.349303660229982e-18, -6.753593618408993e-18, -7.488480360320775e-16, -7.488487764530633e-16
18, 1.727018844676583e-02, 1.700000000000000e-03, 1.610894815009457e-18, -6.527786223835980e-18, -1.043486416041385e-15, -1.043486416041385e-15
19, 1.722040511548377e-02, 1.700000000000000e-03, 1.910231139274047e-18, -7.447930144168183e-18, -1.355814067481784e-15, -1.355814067481784e-15
20, 1.717062178420171e-02, 1.700000000000000e-03, 2.245844924379015e-18, -8.236153940896122e-18, -1.671446490029643e-15, -1.671446490029643e-15
21, 1.712083845291965e-02, 1.700000000000000e-03, 2.614438925122980e-18, -8.934383098219450e-18, -1.969368695077941e-15, -1.969368695077941e-15
22, 1.707105512163759e-02, 1.700000000000000e-03, 3.010808244009078e-18, -9.542683145695019e-18, -2.233234727238411e-15, -2.233234727238411e-15
23, 1.702127179035554e-02, 1.700000000000000e-03, 3.430089846415886e-18, -1.012123194808487e-17, -2.455238036187453e-15, -2.455238036187453e-15
24, 1.697148845907348e-02, 1.700000000000000e-03, 3.867304735859166e-18, -1.074009773276622e-17, -2.632876038366990e-15, -2.632876038366990e-15
25, 1.692170512779142e-02, 1.700000000000000e-03, 4.318193146445988e-18, -1.140943782786096e-17, -2.769602105887612e-15, -2.769602105887612e-15
26, 1.687192179650936e-02, 1.700000000000000e-03, 4.779380601002248e-18, -1.214028189072919e-17, -2.871623884398808e-15, -2.871623884398808e-15
27, 1.682213846522730e-02, 1.700000000000000e-03, 5.248312523010142e-18, -1.292790400515737e-17, -2.945326953683720e-15, -2.945326953683720e-15
28, 1.677235513394524e-02, 1.700000000000000e-03, 5.722978898597902e-18, -1.375793526375986e-17, -2.996270201127015e-15, -2.996270201127015e-15
29, 1.672257180266318e-02, 1.700000000000000e-03, 6.201809360282933e-18, -1.461224131261208e-17, -3.029284302434951e-15, -3.029284302434951e-15
30, 1.667278847138112e-02, 1.700000000000000e-03, 6.683582660935996e-18, -1.547215390824804e-17, -3.048376402810694e-15, -3.048376402810694e-15
31, 1.662300514009906e-02, 1.700000000000000e-03, 7.167353057064200e-18, -1.631979549452993e-17, -3.056784154850548e-15, -3.056784154850548e-15
32, 1.657322180881701e-02, 1.700000000000000e-03, 7.652393677771278e-18, -1.713830138041847e-17, -3.057079722480976e-15, -3.057079722480976e-15
33, 1.652343847753494e-02, 1.700000000000000e-03, 8.138150567814807e-18, -1.791146715671427e-17, -3.051271920521940e-15, -3.051271920521940e-15
34, 1.647365514625289e-02, 1.700000000000000e-03, 8.624204041877661e-18, -1.862313550535615e-17, -3.040902536330095e-15, -3.040902536330095e-15
35, 1.642387181497083e-02, 1.700000000000000e-03, 9.110236503385222e-18, -1.925648550572841e-17, -3.027137290896385e-15, -3.027137290896386e-15
36, 1.637408848368877e-02, 1.700000000000000e-03, 9.596006669087628e-18, -1.979329394822430e-17, -3.010848801767386e-15, -3.010848801767386e-15
37, 1.632430515240671e-02, 1.700000000000000e-03, 1.008132983231085e-17, -2.021318507866153e-17, -2.992687899904339e-15, -2.992687899904339e-15
38, 1.627452182112465e-02, 1.700000000000000e-03, 1.056606331761527e-17, -2.049285958277268e-17, -2.973141470892446e-15, -2.973141470892446e-15
39, 1.622473848984260e-02, 1.700000000000000e-03, 1.105009606924031e-17, -2.060528323647179e-17, -2.952577356935911e-15, -2.952577356935910e-15
40, 1.617495515856053e-02, 1.700000000000000e-03, 1.153334137501368e-17, -2.051881204047257e-17, -2.931278300609251e-15, -2.931278300609251e-15
41, 1.612517182727848e-02, 1.700000000000000e-03, 1.201573191825789e-17, -2.019622990661652e-17, -2.909467323160611e-15, -2.909467323160611e-15
42, 1.607538849599642e-02, 1.700000000000000e-03, 1.249721656192112e-17, -1.959367486300810e-17, -2.887326732193614e-15, -2.887326732193614e-15
43, 1.602560516471436e-02, 1.700000000000000e-03, 1.297775845055691e-17, -1.865943017758874e-17, -2.865012535839682e-15, -2.865012535839682e-15
