"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Grid_Velx","Grid_Vely","Pressure","Temperature","C<sub>p</sub>","Mach","<greek>m</greek>","C<sub>f</sub>_x","C<sub>f</sub>_y","h","y<sup>+</sup>"
10,5.000000000000000e-03,-1.300000000000000e-03,1.173546571644939e+00,-5.089446601278983e-17,0.000000000000000e+00,7.175964256298882e+00,-4.336808689942018e-17,0.000000000000000e+00,2.870385702519552e+00,8.520601894874401e-03,-3.724290587280000e-01,2.343614901059843e-17,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
11,5.000000000000000e-03,-5.000000000000000e-03,1.173114008899919e+00,-5.087570868095426e-17,5.087570868095426e-17,7.173583036328688e+00,-4.336808689942018e-17,4.336808689942018e-17,2.869433214531475e+00,8.520915242103947e-03,-3.933742207516406e-01,3.314311172178986e-17,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
12,-5.999387069890435e-03,-6.000257248992527e-03,1.184360741916050e+00,2.357499329074756e-01,-2.407323890105643e-01,7.261244179531258e+00,-1.285105341334788e-05,1.934198267379388e-05,2.885326128892067e+00,8.486746903157094e-03,-4.388984879412277e-02,1.540465807605308e-01,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
13,-5.999779796946430e-03,-5.000295229990750e-03,1.188484949600415e+00,1.225488655017926e-01,-2.439933059503774e-01,7.280654183303785e+00,-4.813073915116428e-07,1.297505121248578e-05,2.899716128203852e+00,8.499475825797978e-03,2.725454982947839e-01,1.243048318986338e-01,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
14,-5.999854979004773e-03,5.000045129028058e-03,1.187156445633853e+00,1.300408631664838e-01,2.625588704940541e-01,7.273808204394669e+00,8.165278947772081e-08,1.024904789101791e-05,2.895060522972547e+00,8.495325777916576e-03,1.701689779519233e-01,1.335727084179778e-01,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
15,-5.999722976336322e-03,5.999954200817746e-03,1.182460059941031e+00,2.460378394827538e-01,2.559803716960466e-01,7.250826699206482e+00,9.310141681640599e-06,1.630306275630586e-05,2.879008933025496e+00,8.481777533439970e-03,-1.828046620165110e-01,1.626338217005802e-01,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
16,-4.999859708939713e-03,5.999872764435614e-03,1.168473027086282e+00,2.856186529468588e-01,1.956824895230383e-01,7.152239185388535e+00,1.106590069950217e-05,5.494044351926630e-06,2.840378358164642e+00,8.468136474915382e-03,-1.032289022611817e+00,1.606176104215589e-01,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
17,5.000921147013783e-03,5.998821602704638e-03,1.170770726459504e+00,2.956426608868557e-02,1.025492579501084e-03,7.151376057976842e+00,1.297622420899473e-04,1.081685024707096e-04,2.860400932356260e+00,8.511094278563287e-03,-5.919936426982628e-01,1.366201670281420e-02,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
18,5.999906084488507e-03,5.997144957685041e-03,1.171314893679909e+00,3.374254789684929e-02,5.069034169490783e-03,7.155226133872274e+00,3.197501099666458e-04,6.123159404028411e-05,2.861891659074039e+00,8.511573792445050e-03,-5.592126386040602e-01,1.575057977804942e-02,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
19,5.998934667893454e-03,4.998411919083596e-03,1.171131262385620e+00,2.083900031819066e-03,1.240328492833272e-02,7.154490451824303e+00,1.964421765227910e-04,-1.032799883371113e-04,2.861769166829326e+00,8.512544029802158e-03,-5.619062367851085e-01,5.806271390923108e-03,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
