"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Grid_Velx","Grid_Vely","Pressure","Temperature","C<sub>p</sub>","Mach","<greek>m</greek>","C<sub>f</sub>_x","C<sub>f</sub>_y","h","y<sup>+</sup>"
12,-5.999516116128148e-03,-6.000063144373312e-03,1.184372930377433e+00,2.355266137554243e-01,-2.400102525653950e-01,7.261146212502849e+00,-1.315025031194128e-05,1.977251112466119e-05,2.885363535391380e+00,8.486769589856993e-03,-4.306728179206266e-02,1.537375561592327e-01,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
13,-5.999784672969878e-03,-5.000165017936484e-03,1.188500268168894e+00,1.223880235682661e-01,-2.433270126503509e-01,7.280608017697974e+00,-4.996679978629126e-07,1.326370524445605e-05,2.899759093211451e+00,8.499492210993376e-03,2.734902966090600e-01,1.239992006248301e-01,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
14,-5.999854147401350e-03,5.000147086137006e-03,1.187148455290232e+00,1.301889212982114e-01,2.632038622793791e-01,7.273919544211648e+00,8.582289102478102e-08,1.030966190972669e-05,2.895041339894399e+00,8.495326665828770e-03,1.697471430469539e-01,1.338670711730874e-01,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
15,-5.999630348427423e-03,6.000116331108489e-03,1.182455730734659e+00,2.462363094063780e-01,2.566803072889898e-01,7.250991794987639e+00,9.367393699307239e-06,1.638969943577699e-05,2.878997675826865e+00,8.481775422242007e-03,-1.830522072372495e-01,1.629286632911666e-01,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
16,-4.999749657465732e-03,5.999927392927289e-03,1.168431310721523e+00,2.856667569245088e-01,1.961646373267808e-01,7.152158894169332e+00,1.112547051104230e-05,5.521531744193467e-06,2.840308466436026e+00,8.468230433273395e-03,-1.033825938140718e+00,1.607673801124018e-01,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
17,5.002217074359584e-03,5.999899520442386e-03,1.170820581422260e+00,2.847078710191399e-02,1.243573948731108e-03,7.151840428728354e+00,1.314245511127143e-04,1.091321733047261e-04,2.860597442772824e+00,8.511316555704218e-03,-5.876723887131270e-01,1.316060330593825e-02,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
18,6.003098675196440e-03,5.997752686227330e-03,1.171382741751722e+00,3.283880834783594e-02,5.860805495296799e-03,7.155802439742853e+00,3.237234091620338e-04,6.133989147324125e-05,2.862130989083250e+00,8.511792542561713e-03,-5.539497839719989e-01,1.539706563781422e-02,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
19,6.000894137380745e-03,4.997379003766017e-03,1.171224059593326e+00,1.774994935323397e-03,1.337741231761628e-02,7.155213328873351e+00,1.985333219895174e-04,-1.048644783345227e-04,2.862054234891814e+00,8.512717461608520e-03,-5.556376047064771e-01,6.229295170253391e-03,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
20,5.999974324917120e-03,1.299763200958020e-03,1.171490514434571e+00,-1.648512613706833e-03,1.403455202987408e-03,7.157686353368168e+00,6.716935042326046e-05,-3.567011729745757e-05,2.863073741122205e+00,8.513812915632940e-03,-5.332187149703977e-01,9.991042161216750e-04,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
21,4.499813017785995e-02,1.245147878788559e-03,1.175079904233212e+00,-1.719114158491068e-02,-3.886795050573585e-02,7.185768756834310e+00,9.847155228358273e-04,-3.677944140929670e-02,2.874000076333357e+00,8.520198667728031e-03,-2.929491638718892e-01,1.954556264320869e-02,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
22,4.599238820175051e-02,1.244859845477648e-03,1.175356330280265e+00,-1.832906444293200e-02,-1.392379479062051e-02,7.185742476560325e+00,9.195861883994766e-04,-3.749483463282371e-02,2.874206834702716e+00,8.518807653005025e-03,-2.884025579301998e-01,1.058422597651857e-02,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
23,4.599234277090123e-02,2.503407675062766e-04,1.174947488497255e+00,2.082880712809403e-03,-1.116152734208200e-02,7.182165446513588e+00,1.948133907539451e-04,-3.753524880831328e-02,2.872844234120948e+00,8.517731916904527e-03,-3.183660748625630e-01,5.223091526713654e-03,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
24,4.599175722617218e-02,-3.465678680836446e-04,1.174533775644581e+00,1.628829843192047e-02,-6.200611095929416e-03,7.178786477224664e+00,-2.739929386184198e-04,-3.754042089225869e-02,2.871462867176155e+00,8.516635092267008e-03,-3.487422631556896e-01,8.020736180710499e-03,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
25,4.598963444308687e-02,-1.341079201748330e-03,1.174976988835316e+00,4.713569903684168e-02,-5.732663569330964e-03,7.181883849431745e+00,-1.005263535698575e-03,-3.749421124754369e-02,2.872369764162330e+00,8.516111334212168e-03,-3.287996449264401e-01,2.184436862231296e-02,1.820000000000000e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,
