 VARIABLES = "X",  "Y"
 ZONE N=       11011 , E=       18274 , F=FEPOINT, ET=QUADRILATERAL
       46.7687564905      -40.2040863128
       45.6983534218      -40.5744111180
       46.4901626921      -41.1625254190
       46.3758512646      -42.1673531015
       45.5656186779      -41.5866350991
       45.4743293358      -42.6138833879
       44.7292029349      -42.0316743056
       45.3420242553      -43.5935102246
       44.5172611927      -43.8087402109
       44.6078098672      -43.0024427457
       44.7512158606      -41.0537375332
       44.0367746236      -41.5899029228
       43.6598404934      -43.5438553911
       43.8657857094      -42.4583143471
      -29.0557961060        9.4681345208
      -28.0322134976       10.1320703232
      -27.2539542653        9.8111456877
      -27.0599413227        8.8215476639
      -28.0769909736        9.1082450337
      -29.0443635283        8.4431905944
      -27.9895311686        8.0738768491
      -27.8189389932        7.0386892906
      -28.9725348192        7.3306960992
      -29.3606321311        6.4329036404
      -28.5428634026        6.2904294200
       41.7248696124       -9.7814178934
       42.3672046954       -9.0632736022
      -29.2092343278      -23.4486422367
      -29.4051928788      -21.5499134613
      -29.2891639124      -22.4346114095
      -29.0697305606      -20.6479043688
      -28.0447439312      -20.9716391569
      -28.6666474453      -21.7367358695
      -28.4812262847      -22.7721370791
      -27.4422885898      -24.1310540379
      -27.6171778641      -23.0930121775
       48.3462346108      -14.0365282066
       48.2423013869      -13.1267744774
       47.5103879693      -13.8416564334
       46.6825765610       -8.9512167644
       47.7703017589       -9.2351687372
       48.1784876658      -12.1635965240
       48.0358744580      -10.1914457436
       48.1255618519      -11.1771491124
       46.9438550262       -9.8735618122
       47.2417325557      -11.8332046401
       47.1250149531      -10.8499824820
       46.2891133152      -11.4954402995
       45.3400993245      -11.1530009019
       46.1340334347      -10.5165033697
       45.9264085383       -9.5234747155
       44.0873158400       -9.1052092551
       44.9710077326       -9.2642785512
       45.1724085081      -10.1921190076
       44.2444669545       -9.8915849131
       44.4023654061      -10.8085337854
       47.3498843596      -12.8195140986
      -27.7999848030      -22.0496442619
      -25.4122674217       10.2353155606
       46.5627549530      -13.4884836105
       43.3341327521       -9.4874161987
       46.4210323400      -12.4785820626
       45.6202163415      -13.1073686759
      -29.2518367277        5.5243190241
       45.4853526504      -12.1208883152
      -26.4898951424      -24.3386233486
      -26.6858849611      -23.3775662191
      -26.8932095037      -22.3603216547
      -26.9223864623        7.7624356443
      -26.3056720447        9.8052287560
      -25.2079849144        9.3794517701
       42.5561457646      -10.0496520612
      -24.5343620898       10.1281661363
      -29.1678834211        4.5375031106
       42.9615393697      -42.8094395280
       43.4742469049      -10.4393189094
      -27.1052012946      -21.3522853856
       44.5502338612      -11.7559642175
      -28.3705727759        5.2667620695
      -27.6158561746        6.0033050557
      -23.5430635758       10.0801610420
       43.6165657894      -11.3810177812
       47.9366376087      -14.9122389724
      -26.8275601365        6.6980281163
      -27.3213613779      -20.3823334831
       42.0562578566      -43.2572894771
      -25.7391664816      -23.6425002163
      -25.9516251964      -22.6632324014
      -26.1782273845      -21.6628515841
       46.7613330879      -14.5266245530
      -28.8679769501      -18.8825498243
       43.2134168097      -41.7629310741
       44.6874364605      -12.7202121284
      -24.1737124789        9.2512470756
      -26.0289762431        7.3466812459
       42.6787229147      -10.9876220346
       47.9240991783      -17.2389369604
       41.2735645513       -9.1404167190
       40.3762703497       -9.1687827754
       45.7546481115      -14.1163952403
       47.9743658107      -16.0650860840
      -25.9929924685        8.4668943402
      -24.8038956109        8.4598119725
      -28.2257958142        4.2669378493
      -27.3709537977        4.1306699493
       41.3052260068      -42.5548178223
      -29.3594478578      -17.9628867662
      -27.4781219182        5.0012966929
       41.1696205513      -43.6148896555
      -28.2581722736      -19.8939251632
      -27.3847242074      -19.5608983816
       42.2582828129      -42.1546098714
      -26.3897958886      -20.6975651947
       41.7257128781      -10.5682825380
       43.7555125262      -12.3314468237
      -23.1543931958        9.1591365630
       46.8812624102      -16.6556491597
      -22.5335775401       10.0482852097
       46.8948266103      -15.5718907757
       45.8748144281      -16.1909175718
       44.8108283836      -13.6999519090
       42.8174740251      -11.9390065429
       45.8505074865      -15.1444892827
       40.8240663261      -10.0440509723
      -26.6894289712        5.6676617910
       40.1198383925      -43.8924583624
      -25.8982771888        6.3133830508
      -25.2924768273        7.7490835898
      -24.4005040456        7.5543464908
       40.9040210651      -11.0716955885
      -26.5930563571      -19.7624888413
       43.8863209022      -13.2893546319
      -25.0161446784      -22.9437179728
