"PointID","x","y","Pressure","Velocity_x","Velocity_y","ProgressVariable","EnthalpyTot","Y-CO","Y-NOx_tot","Pressure_Coefficient","Density","Laminar_Viscosity","Heat_Capacity","Thermal_Conductivity","Temperature","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Residual_Pressure","Residual_Velocity_x","Residual_Velocity_y","Residual_ProgressVariable","Residual_EnthalpyTot","Residual_Y-CO","Residual_Y-NOx_tot"
4420, 5.983685704328974e-03, 2.496687500000135e-05, 1.392253582911802e-01, 5.346802647906866e-02, 5.511266563147918e-04, 2.089310740188183e-01, -1.559267610435037e+06, 7.673965993408654e-04, 2.266231265689543e-06, 5.916426920413913e+00, 3.686441043519722e-01, 3.736069950752488e-05, 1.257135273859916e+03, 7.074080742476012e-02, 9.226723932743729e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.742142955199163e-17, 1.795612902611326e-17, 4.648093298057973e-19, -5.445597109769170e-20, 2.831759132737588e-12, 1.113958706591360e-19, 3.973145200336127e-21
4421, 6.023890751828186e-03, 1.736250000000140e-05, 1.361010997536773e-01, 3.662361065789917e-02, 2.483023531031482e-04, 2.089421022458977e-01, -1.569103029823458e+06, 7.601420910569784e-04, 2.241292501630219e-06, 5.783660536872226e+00, 3.717521290538994e-01, 3.713463119955087e-05, 1.254876689989109e+03, 7.020692867911660e-02, 9.149804567989605e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.948721056144686e-17, 1.382995526171297e-17, 3.339427394550079e-19, -7.990993655646296e-20, 2.175461200071283e-12, 1.243530814213467e-19, 4.738362883998608e-21
4422, 6.064120302997314e-03, 1.075000000000154e-05, 1.329396814639433e-01, 2.239285111206956e-02, 9.436218988131422e-05, 2.089525027761326e-01, -1.576987896255221e+06, 7.531681879541008e-04, 2.216912742321193e-06, 5.649315037563458e+00, 3.742347178136284e-01, 3.695400941820629e-05, 1.253072594185755e+03, 6.978035114658233e-02, 9.088341668018729e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.194218335783074e-17, 9.577752259184096e-18, 2.213402970293894e-19, -6.271113425236219e-20, 2.005344675037879e-12, 1.381607033235086e-19, 5.659960948788436e-21
4423, 6.104373151096411e-03, 5.000000000001423e-06, 1.296258729503696e-01, 1.029361358223426e-02, 4.899266201223301e-05, 2.089623077411198e-01, -1.583303606126869e+06, 7.464646561878272e-04, 2.193081395537362e-06, 5.508493666087435e+00, 3.762861315604832e-01, 3.680876056546659e-05, 1.251607757821188e+03, 6.943833500866471e-02, 9.039153344687775e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.467362307598699e-17, 5.049170429618091e-18, 9.619117907256648e-20, -7.426933702950131e-20, 1.218174779799019e-11, 1.529358965231394e-19, 6.767367535624949e-21
4424, 5.783070042285716e-03, 1.015185911902651e-04, 1.611172242690815e-01, 2.344133442924011e-01, 1.507190781714831e-02, 2.088663851823806e-01, -1.434600044789281e+06, 8.076587246635604e-04, 2.402373522334112e-06, 6.846728891257923e+00, 3.334765708129802e-01, 4.013148284608437e-05, 1.283072014432805e+03, 7.737050212973151e-02, 1.019931443252464e+03, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.082846919769898e-17, 4.018319007818480e-17, 2.891770481926181e-18, -4.054819975689335e-20, 6.268985330848409e-12, 4.509556055091826e-20, 1.466612708316689e-21
4425, 5.823134579076544e-03, 8.392920973066529e-05, 1.555010329876012e-01, 1.911884274556571e-01, 9.249731072423517e-03, 2.088806122336445e-01, -1.468307318665771e+06, 7.991173626781600e-04, 2.373054373039706e-06, 6.608067014601442e+00, 3.422476674365704e-01, 3.940502047868290e-05, 1.276641992702581e+03, 7.561565536104578e-02, 9.937925508313900e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.261549695816874e-17, 3.878211817408739e-17, 2.858100922272823e-18, -5.988031216987832e-20, 5.882322406947083e-12, 6.018405870692147e-20, 1.862266753610952e-21
4426, 5.863229605925273e-03, 6.863409541797022e-05, 1.508322190976850e-01, 1.534694901230396e-01, 5.307305530189153e-03, 2.088942353865560e-01, -1.495542810488530e+06, 7.907825535083078e-04, 2.345033983131584e-06, 6.409664248584265e+00, 3.497095375073181e-01, 3.880558964422239e-05, 1.271123997866449e+03, 7.417693671747468e-02, 9.725962319871890e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.286134827110930e-17, 3.385654217646483e-17, 1.848861165619324e-18, -5.934324577013266e-20, 4.912958928571243e-12, 6.880021107416962e-20, 2.153973834358142e-21
4427, 5.903353932334194e-03, 5.533399601562628e-05, 1.463397940792205e-01, 1.215341483657555e-01, 3.342827261789521e-03, 2.089071850439271e-01, -1.517522523920075e+06, 7.827098424465432e-04, 2.318026344268550e-06, 6.218757185076512e+00, 3.559995805515571e-01, 3.831362559544708e-05, 1.266452547700782e+03, 7.300241602109028e-02, 9.554425465054076e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.342049589541554e-17, 2.936653963707799e-17, 1.146882610582323e-18, -5.441880855464434e-20, 4.010833332124264e-12, 7.791603061460096e-20, 2.515833892577192e-21
4428, 5.943506364274988e-03, 4.376869218750145e-05, 1.428046649832143e-01, 9.454693491396320e-02, 1.770930084701748e-03, 2.089194822481891e-01, -1.535172716038930e+06, 7.749041259730178e-04, 2.291813304136807e-06, 6.068530723407029e+00, 3.612154722759476e-01, 3.791451131311028e-05, 1.262592078948195e+03, 7.205300649660450e-02, 9.416462685399559e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.427864615010255e-17, 2.525346014177441e-17, 7.358598729271734e-19, -4.248661835864181e-20, 3.475907062178152e-12, 8.760309349280188e-20, 2.961346282109703e-21
4429, 5.983685704328974e-03, 3.371190625000133e-05, 1.395425731350429e-01, 7.167994460717224e-02, 8.701833993220899e-04, 2.089311289600793e-01, -1.549438247282048e+06, 7.673768145059434e-04, 2.266251157736385e-06, 5.929907068461789e+00, 3.655343181949596e-01, 3.758951044261149e-05, 1.259405525651459e+03, 7.128200919126623e-02, 9.304855320411915e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.551859650576444e-17, 2.137528339682365e-17, 4.874674611448498e-19, -6.271561669886517e-20, 3.069735438065990e-12, 9.802993371961224e-20, 3.505368933048248e-21
