"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"
36	3.048000000000000e-01	1.159482700859748e-04	9.970229049716300e-01	1.724839174501419e-01	-1.393366935240271e-06	4.489266111370322e+01	
37	3.048000000000000e-01	1.363594996290240e-04	9.971065391187686e-01	2.016336493787507e-01	1.194198085222617e-05	4.489812799955590e+01	
38	2.652886066609573e-01	1.159482700859748e-04	9.970591750383632e-01	1.768644588750838e-01	-9.691085529632601e-07	4.489259003296996e+01	
39	2.652886066609573e-01	1.363594996290240e-04	9.971483998569884e-01	2.069097385345061e-01	1.326711010507780e-05	4.489837001233835e+01	
40	3.048000000000000e-01	1.363594996290240e-04	9.971063276608486e-01	2.016334152991568e-01	-3.814107709420764e-07	4.489811018034064e+01	
41	3.048000000000000e-01	1.595014149444074e-04	9.972141611082832e-01	2.341578083037849e-01	1.657435246715589e-05	4.490521425213795e+01	
42	2.652886066609573e-01	1.363594996290240e-04	9.971481747278808e-01	2.069099735195253e-01	1.471576655312849e-07	4.489835086096427e+01	
43	2.652886066609573e-01	1.595014149444074e-04	9.972631946233406e-01	2.404996538006657e-01	1.827816872005525e-05	4.490588273393303e+01	
44	3.048000000000000e-01	1.595014149444074e-04	9.972138911070267e-01	2.341575633222310e-01	1.168420638752232e-06	4.490519166440593e+01	
45	3.048000000000000e-01	1.858374476161995e-04	9.973522331298477e-01	2.704818850852904e-01	2.278580987758477e-05	4.491437703462328e+01	
46	2.652886066609573e-01	1.595014149444074e-04	9.972629059967399e-01	2.405000657736083e-01	1.808374108897861e-06	4.490585836701949e+01	
47	2.652886066609573e-01	1.858374476161995e-04	9.974104739947023e-01	2.780960771864004e-01	2.496813186397403e-05	4.491562748175878e+01	
48	3.048000000000000e-01	1.858374476161995e-04	9.973518920354600e-01	2.704817011132548e-01	3.526899711552116e-06	4.491434873173100e+01	
49	3.048000000000000e-01	2.158949934613186e-04	9.975284568919338e-01	3.110343358038450e-01	3.110497289168093e-05	4.492616191077387e+01	
50	2.652886066609573e-01	1.858374476161995e-04	9.974101079189828e-01	2.780968292720719e-01	4.286762147065203e-06	4.491559685558509e+01	
51	2.652886066609573e-01	2.158949934613186e-04	9.975985025400728e-01	3.201669800719656e-01	3.389286792627115e-05	4.492820385088162e+01	
52	3.048000000000000e-01	2.158949934613186e-04	9.975280318116556e-01	3.110343865962290e-01	7.096039884339737e-06	4.492612698246227e+01	
53	3.048000000000000e-01	2.502759739668181e-04	9.977520874274115e-01	3.562289309426889e-01	4.222743781732219e-05	4.494122777542360e+01	
54	2.652886066609573e-01	2.158949934613186e-04	9.975980449057601e-01	3.201683861693785e-01	7.991381390954165e-06	4.492816600337760e+01	
55	2.652886066609573e-01	2.502759739668181e-04	9.978372336853905e-01	3.671638670128660e-01	4.577972086680673e-05	4.494433893244391e+01	
56	3.048000000000000e-01	2.502759739668181e-04	9.977515675462805e-01	3.562295931082738e-01	1.246746489285024e-05	4.494118559724347e+01	
57	3.048000000000000e-01	2.896688901507627e-04	9.980339781005008e-01	4.064329555617420e-01	5.704916393389845e-05	4.496034870937899e+01	
58	2.652886066609573e-01	2.502759739668181e-04	9.978366735063061e-01	3.671665170065707e-01	1.353372454165744e-05	4.494429332666926e+01	
59	2.652886066609573e-01	2.896688901507626e-04	9.981383434224059e-01	4.194804118174589e-01	6.155683749234440e-05	4.496488705908656e+01	
60	3.048000000000000e-01	2.896688901507627e-04	9.980333598726556e-01	4.064349849332831e-01	2.050165702241026e-05	4.496029945559703e+01	
61	3.048000000000000e-01	3.348626102331998e-04	9.983863945488617e-01	4.619115111686264e-01	7.668157782333189e-05	4.498439471381616e+01	
62	2.652886066609573e-01	2.896688901507626e-04	9.981376798362572e-01	4.194853781464095e-01	2.182016678560888e-05	4.496483427801076e+01	
63	2.652886066609573e-01	3.348626102331998e-04	9.985149649234353e-01	4.773789926541873e-01	8.235792180842516e-05	4.499080048872652e+01	
64	3.048000000000000e-01	3.348626102331998e-04	9.983856919633451e-01	4.619163224821999e-01	3.242840265923127e-05	4.498434032909369e+01	
65	3.048000000000000e-01	3.867621672243971e-04	9.988223701655106e-01	5.227320485609542e-01	1.024140601886654e-04	4.501426905872849e+01	
66	2.652886066609573e-01	3.348626102331998e-04	9.985142207458801e-01	4.773881360260359e-01	3.417368557297454e-05	4.499074351267346e+01	
67	2.652886066609573e-01	3.867621672243971e-04	9.989808199387441e-01	5.408652617374972e-01	1.094638727190720e-04	4.502304081789166e+01	
68	3.048000000000000e-01	3.867621672243971e-04	9.988216332602876e-01	5.227420923653168e-01	4.995485598363725e-05	4.501421491167930e+01	
69	3.048000000000000e-01	4.464068827869205e-04	9.993542171655874e-01	5.886069776014408e-01	1.355627895801767e-04	4.505076428494466e+01	
70	2.652886066609573e-01	3.867621672243971e-04	9.989800650850925e-01	5.408815934869625e-01	5.246900277910431e-05	4.502298708341466e+01	
71	2.652886066609573e-01	4.464068827869205e-04	9.995482418080999e-01	6.094855649349095e-01	1.441176992493203e-04	4.506238177928351e+01	
72	3.048000000000000e-01	4.464068827869205e-04	9.993535608959970e-01	5.886260825769772e-01	7.532808441102092e-05	4.505072150585885e+01	
73	3.048000000000000e-01	5.149911803136286e-04	9.999906090255218e-01	6.586517420356441e-01	1.771199883484466e-04	4.509428184076403e+01	
