"Time_Iter",    "Cur_Time"    ,      "mic1"
       5282,            0.4245,       951.7040798
       5283,             0.426,       951.6644282
       5284,            0.4275,       951.6273082
       5285,             0.429,       951.5792363
       5286,            0.4305,       951.4988785
       5287,             0.432,       951.4064665
       5288,            0.4335,       951.3080533
       5289,             0.435,       951.2117663
       5290,            0.4365,       951.1190895
       5291,             0.438,       951.0471682
       5292,            0.4395,       950.9748153
       5293,             0.441,       950.9052045
       5294,            0.4425,       950.8359774
       5295,             0.444,       950.7613479
       5296,            0.4455,       950.6737815
       5297,             0.447,        950.583288
       5298,            0.4485,       950.4936482
       5299,              0.45,       950.4071186
       5300,            0.4515,       950.3242941
       5301,             0.453,       950.2449645
       5302,            0.4545,       950.1711609
       5303,             0.456,       950.0981504
       5304,            0.4575,       950.0219834
       5305,             0.459,       949.9473786
       5306,            0.4605,       949.8747432
       5307,             0.462,       949.8009733
       5308,            0.4635,       949.7309015
       5309,             0.465,       949.6621049
       5310,            0.4665,       949.5856763
       5311,             0.468,       949.5128184
       5312,            0.4695,        949.448792
       5313,             0.471,        949.389239
       5314,            0.4725,       949.3291492
       5315,             0.474,        949.271389
       5316,            0.4755,       949.2162624
       5317,             0.477,       949.1565702
       5318,            0.4785,       949.0901441
       5319,              0.48,       949.0465068
       5320,            0.4815,       949.0083809
       5321,             0.483,       948.9526563
       5322,            0.4845,       948.8946111
       5323,             0.486,       948.8445533
       5324,            0.4875,       948.7992275
       5325,             0.489,        948.751943
       5326,            0.4905,       948.7026712
       5327,             0.492,       948.6435878
       5328,            0.4935,       948.5846897
       5329,             0.495,       948.5370418
       5330,            0.4965,       948.4995954
       5331,             0.498,       948.4631965
       5332,            0.4995,       948.4231772
       5333,             0.501,       948.3853565
       5334,            0.5025,       948.3500735
       5335,             0.504,       948.3089414
       5336,            0.5055,       948.2655239
       5337,             0.507,       948.2294849
       5338,            0.5085,       948.1926099
       5339,              0.51,       948.1562727
       5340,            0.5115,       948.1208699
       5341,             0.513,       948.0891547
       5342,            0.5145,       948.0612422
       5343,             0.516,       948.0331461
       5344,            0.5175,       948.0055262
       5345,             0.519,       947.9775409
       5346,            0.5205,       947.9502578
       5347,             0.522,       947.9260389
       5348,            0.5235,       947.8979307
       5349,             0.525,       947.8655427
       5350,            0.5265,       947.8350514
       5351,             0.528,       947.8053514
       5352,            0.5295,        947.777805
       5353,             0.531,       947.7522774
       5354,            0.5325,        947.728938
       5355,             0.534,        947.704292
       5356,            0.5355,         947.67942
       5357,             0.537,        947.656212
       5358,            0.5385,       947.6315303
       5359,              0.54,       947.6028619
       5360,            0.5415,           947.574
       5361,             0.543,       947.5451847
       5362,            0.5445,       947.5142275
       5363,             0.546,       947.4833559
       5364,            0.5475,        947.452693
       5365,             0.549,       947.4213902
       5366,            0.5505,       947.3898069
       5367,             0.552,       947.3602843
       5368,            0.5535,       947.3348475
       5369,             0.555,       947.3097404
       5370,            0.5565,       947.2801315
       5371,             0.558,       947.2460902
       5372,            0.5595,       947.2114543
       5373,             0.561,       947.1766923
       5374,            0.5625,       947.1373748
       5375,             0.564,       947.0928276
       5376,            0.5655,       947.0504753
       5377,             0.567,       947.0116015
       5378,            0.5685,       946.9719175
       5379,              0.57,        946.929687
       5380,            0.5715,       946.8873991
       5381,             0.573,       946.8471086
       5382,            0.5745,       946.8060821
       5383,             0.576,       946.7608381
       5384,            0.5775,       946.7093271
       5385,             0.579,       946.6542358
       5386,            0.5805,       946.6001831
       5387,             0.582,       946.5476844
       5388,            0.5835,       946.4956323
       5389,             0.585,       946.4447863
       5390,            0.5865,       946.3951133
       5391,             0.588,       946.3472946
       5392,            0.5895,       946.3004909
       5393,             0.591,        946.252433
       5394,            0.5925,       946.2046767
       5395,             0.594,       946.1615161
       5396,            0.5955,       946.1245917
       5397,             0.597,       946.0894811
       5398,            0.5985,       946.0522665
       5399,               0.6,       946.0133981
       5400,            0.6015,       945.9763389
       5401,             0.603,       945.9430111
       5402,            0.6045,       945.9123245
       5403,             0.606,       945.8840232
       5404,            0.6075,       945.8611388
       5405,             0.609,       945.8448068
       5406,            0.6105,       945.8328916
       5407,             0.612,       945.8240546
       5408,            0.6135,       945.8154717
       5409,             0.615,       945.8062859
       5410,            0.6165,       945.7992498
       5411,             0.618,       945.7989216
       5412,            0.6195,       945.8076912
       5413,             0.621,       945.8232372
       5414,            0.6225,       945.8433172
       5415,             0.624,       945.8687656
       5416,            0.6255,       945.9000961
       5417,             0.627,       945.9335173
       5418,            0.6285,       945.9663867
       5419,              0.63,       946.0012275
       5420,            0.6315,        946.040649
       5421,             0.633,       946.0873523
       5422,            0.6345,       946.1423994
       5423,             0.636,       946.2052991
       5424,            0.6375,       946.2733566
       5425,             0.639,        946.344011
       5426,            0.6405,       946.4175834
       5427,             0.642,       946.4920302
       5428,            0.6435,       946.5673791
       5429,             0.645,       946.6454498
       5430,            0.6465,       946.7280909
       5431,             0.648,        946.815467
       5432,            0.6495,       946.9075256
       5433,             0.651,       947.0063118
       5434,            0.6525,       947.1112347
       5435,             0.654,       947.2227259
       5436,            0.6555,       947.3384397
       5437,             0.657,       947.4543161
       5438,            0.6585,       947.5681761
       5439,              0.66,       947.6806926
       5440,            0.6615,       947.7953533
       5441,             0.663,       947.9160991
       5442,            0.6645,       948.0442444
       5443,             0.666,       948.1769617
       5444,            0.6675,       948.3102648
       5445,             0.669,         948.44356
       5446,            0.6705,       948.5794273
       5447,             0.672,       948.7194875
       5448,            0.6735,         948.86048
       5449,             0.675,       948.9995073
       5450,            0.6765,       949.1391152
       5451,             0.678,       949.2838872
       5452,            0.6795,       949.4374866
       5453,             0.681,       949.5967506
       5454,            0.6825,       949.7573678
       5455,             0.684,       949.9158571
       5456,            0.6855,       950.0746919
       5457,             0.687,       950.2242593
       5458,            0.6885,       950.3861344
       5459,              0.69,       950.5625436
       5460,            0.6915,       950.7397494
       5461,             0.693,       950.8962137
       5462,            0.6945,       951.0434405
       5463,             0.696,       951.1915383
       5464,            0.6975,       951.3401164
       5465,             0.699,       951.4885829
       5466,            0.7005,       951.6332805
       5467,             0.702,       951.7707402
       5468,            0.7035,       951.9016019
       5469,             0.705,       952.0321427
       5470,            0.7065,       952.1620481
       5471,             0.708,       952.2913085
       5472,            0.7095,       952.4199971
       5473,             0.711,        952.544656
       5474,            0.7125,       952.6627547
       5475,             0.714,       952.7719569
       5476,            0.7155,       952.8739715
       5477,             0.717,       952.9728119
       5478,            0.7185,        953.071647
       5479,              0.72,       953.1695545
       5480,            0.7215,       953.2627474
       5481,             0.723,        953.348467
       5482,            0.7245,       953.4238095
       5483,             0.726,        953.492004
       5484,            0.7275,       953.5531214
       5485,             0.729,        953.606423
       5486,            0.7305,       953.6581473
       5487,             0.732,       953.7078414
       5488,            0.7335,       953.7542396
       5489,             0.735,       953.7972388
       5490,            0.7365,       953.8361198
       5491,             0.738,        953.866402
       5492,            0.7395,       953.8900323
       5493,             0.741,       953.9126808
       5494,            0.7425,       953.9343292
       5495,             0.744,       953.9517461
       5496,            0.7455,       953.9593171
       5497,             0.747,       953.9750239
       5498,            0.7485,       953.9863163
       5499,              0.75,       953.9909434
       5500,            0.7515,       953.9945259
       5501,             0.753,        953.996159
       5502,            0.7545,       953.9959376
       5503,             0.756,       953.9910741
       5504,            0.7575,       953.9811087
       5505,             0.759,       953.9694061
       5506,            0.7605,       953.9583879
       5507,             0.762,       953.9453476
       5508,            0.7635,       953.9306594
       5509,             0.765,       953.9153058
       5510,            0.7665,       953.8984973
       5511,             0.768,       953.8806886
       5512,            0.7695,       953.8617623
       5513,             0.771,       953.8430881
       5514,            0.7725,        953.824773
       5515,             0.774,       953.8074472
       5516,            0.7755,       953.7897797
       5517,             0.777,       953.7721701
       5518,            0.7785,       953.7516756
       5519,              0.78,       953.7275554
       5520,            0.7815,       953.7036725
       5521,             0.783,       953.6833948
       5522,            0.7845,       953.6663544
       5523,             0.786,       953.6517846
       5524,            0.7875,       953.6396712
       5525,             0.789,       953.6280616
       5526,            0.7905,       953.6148627
       5527,             0.792,       953.5997961
       5528,            0.7935,       953.5862957
       5529,             0.795,       953.5760256
       5530,            0.7965,       953.5664017
       5531,             0.798,       953.5562003
       5532,            0.7995,       953.5455898
       5533,             0.801,       953.5375117
       5534,            0.8025,       953.5339877
       5535,             0.804,       953.5311418
       5536,            0.8055,       953.5259102
       5537,             0.807,       953.5185956
       5538,            0.8085,       953.5110203
       5539,              0.81,        953.505058
       5540,            0.8115,        953.499228
       5541,             0.813,       953.4930078
       5542,            0.8145,       953.4869086
       5543,             0.816,       953.4801772
       5544,            0.8175,        953.473116
       5545,             0.819,       953.4650947
       5546,            0.8205,       953.4573985
       5547,             0.822,       953.4500897
       5548,            0.8235,       953.4417946
       5549,             0.825,       953.4312313
       5550,            0.8265,       953.4194686
       5551,             0.828,       953.4081457
       5552,            0.8295,        953.398018
       5553,             0.831,       953.3888916
       5554,            0.8325,       953.3789701
       5555,             0.834,        953.366898
       5556,            0.8355,       953.3528085
       5557,             0.837,       953.3384132
       5558,            0.8385,       953.3248665
       5559,              0.84,       953.3117794
       5560,            0.8415,       953.2983853
       5561,             0.843,       953.2820554
       5562,            0.8445,       953.2660464
       5563,             0.846,       953.2509192
       5564,            0.8475,        953.236026
       5565,             0.849,       953.2208254
       5566,            0.8505,       953.2055905
       5567,             0.852,       953.1890297
       5568,            0.8535,       953.1701434
       5569,             0.855,       953.1495828
       5570,            0.8565,       953.1302514
       5571,             0.858,       953.1140229
       5572,            0.8595,        953.097173
       5573,             0.861,       953.0778618
       5574,            0.8625,       953.0566375
       5575,             0.864,       953.0357285
       5576,            0.8655,       953.0157833
       5577,             0.867,       952.9964945
       5578,            0.8685,       952.9754483
       5579,              0.87,       952.9518994
       5580,            0.8715,        952.926312
       5581,             0.873,       952.8971933
       5582,            0.8745,       952.8670901
       5583,             0.876,       952.8389454
       5584,            0.8775,       952.8092072
       5585,             0.879,       952.7730439
       5586,            0.8805,       952.7332784
       5587,             0.882,       952.6945097
       5588,            0.8835,       952.6558383
       5589,             0.885,       952.6156627
       5590,            0.8865,       952.5759431
       5591,             0.888,       952.5365378
       5592,            0.8895,        952.496264
       5593,             0.891,       952.4552325
       5594,            0.8925,       952.4126723
       5595,             0.894,       952.3620089
       5596,            0.8955,       952.3067112
       5597,             0.897,       952.2533359
       5598,            0.8985,       952.1985927
       5599,               0.9,       952.1430774
       5600,            0.9015,       952.0874669
       5601,             0.903,       952.0255931
       5602,            0.9045,       951.9607872
       5603,             0.906,       951.8939201
       5604,            0.9075,       951.8269786
       5605,             0.909,       951.7707338
       5606,            0.9105,       951.7302419
       5607,             0.912,       951.6897176
       5608,            0.9135,       951.6389478
       5609,             0.915,       951.5638195
       5610,            0.9165,       951.4619447
       5611,             0.918,       951.3545929
       5612,            0.9195,       951.2471236
       5613,             0.921,       951.1379884
       5614,            0.9225,       951.0404174
       5615,             0.924,       950.9723992
       5616,            0.9255,       950.9050632
       5617,             0.927,       950.8277026
       5618,            0.9285,       950.7497413
       5619,              0.93,       950.6653315
       5620,            0.9315,       950.5766214
       5621,             0.933,       950.4845392
       5622,            0.9345,       950.3892692
       5623,             0.936,        950.297375
       5624,            0.9375,       950.2094876
       5625,             0.939,       950.1258433
       5626,            0.9405,       950.0447002
       5627,             0.942,       949.9597949
       5628,            0.9435,       949.8738378
       5629,             0.945,       949.7908584
       5630,            0.9465,       949.7093727
       5631,             0.948,       949.6321647
       5632,            0.9495,       949.5605923
       5633,             0.951,       949.4886432
       5634,            0.9525,       949.4146478
       5635,             0.954,       949.3442255
       5636,            0.9555,       949.2696698
       5637,             0.957,       949.2032109
       5638,            0.9585,       949.1445094
       5639,              0.96,       949.0857819
       5640,            0.9615,       949.0222424
       5641,             0.963,       948.9513884
       5642,            0.9645,       948.8779601
       5643,             0.966,       948.8110367
       5644,            0.9675,       948.7800513
       5645,             0.969,       948.7533355
       5646,            0.9705,       948.6924492
       5647,             0.972,       948.6363401
       5648,            0.9735,       948.5836614
       5649,             0.975,       948.5297179
       5650,            0.9765,       948.4731823
       5651,             0.978,       948.4109102
       5652,            0.9795,       948.3475609
       5653,             0.981,       948.2982576
       5654,            0.9825,       948.2620221
       5655,             0.984,       948.2287229
       5656,            0.9855,       948.1898468
       5657,             0.987,       948.1515838
       5658,            0.9885,       948.1152074
       5659,              0.99,       948.0755148
       5660,            0.9915,       948.0379561
       5661,             0.993,       948.0035098
       5662,            0.9945,       947.9684504
       5663,             0.996,        947.938554
       5664,            0.9975,       947.9135866
       5665,             0.999,       947.8926632
       5666,            1.0005,       947.8708066
       5667,             1.002,        947.847764
       5668,            1.0035,       947.8283872
       5669,             1.005,       947.8119805
       5670,            1.0065,       947.7977839
       5671,             1.008,       947.7796048
       5672,            1.0095,       947.7585015
       5673,             1.011,       947.7363784
       5674,            1.0125,       947.7151187
       5675,             1.014,       947.6958441
       5676,            1.0155,       947.6793366
       5677,             1.017,       947.6630263
       5678,            1.0185,       947.6455768
       5679,              1.02,       947.6323438
       5680,            1.0215,       947.6216297
       5681,             1.023,       947.6101753
       5682,            1.0245,       947.5965261
       5683,             1.026,       947.5824101
       5684,            1.0275,       947.5659627
       5685,             1.029,       947.5466712
       5686,            1.0305,       947.5253458
       5687,             1.032,       947.5041225
       5688,            1.0335,       947.4840978
       5689,             1.035,       947.4620315
       5690,            1.0365,       947.4406262
       5691,             1.038,       947.4264394
       5692,            1.0395,       947.4125442
       5693,             1.041,       947.3897788
       5694,            1.0425,       947.3596302
       5695,             1.044,        947.326453
       5696,            1.0455,        947.292106
       5697,             1.047,       947.2546342
       5698,            1.0485,       947.2129605
       5699,              1.05,       947.1695209
       5700,            1.0515,       947.1249279
       5701,             1.053,       947.0801864
       5702,            1.0545,       947.0390476
       5703,             1.056,       946.9998742
       5704,            1.0575,       946.9577351
       5705,             1.059,       946.9128941
       5706,            1.0605,       946.8637559
       5707,             1.062,         946.80904
       5708,            1.0635,       946.7530251
       5709,             1.065,       946.6999672
       5710,            1.0665,        946.650575
       5711,             1.068,       946.6010347
       5712,            1.0695,       946.5506773
       5713,             1.071,        946.501974
       5714,            1.0725,       946.4529959
       5715,             1.074,       946.4016904
       5716,            1.0755,        946.350606
       5717,             1.077,       946.3025497
       5718,            1.0785,       946.2583007
       5719,              1.08,       946.2177457
       5720,            1.0815,       946.1800043
