"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"
25	3.261682752150479e-01	1.325505405038317e-01	9.821932202517001e-01	4.121948538601981e-01	2.712072899572031e-03	2.524395215229223e+00	
26	3.319850597196111e-01	1.443463850015900e-01	9.829011151786855e-01	4.101405353695652e-01	2.731505942117967e-03	2.525933866193083e+00	
27	3.140750107444747e-01	1.314891162080034e-01	9.818024096885726e-01	4.133061672840647e-01	4.595825357354962e-03	2.523545917640829e+00	
28	3.198917952490380e-01	1.432849607057617e-01	9.825369763427440e-01	4.111837591789971e-01	4.535352941860115e-03	2.525142653062681e+00	
29	3.077985307784648e-01	1.422235364099334e-01	9.821781750960186e-01	4.121979474281822e-01	6.440196445056855e-03	2.524362949228050e+00	
30	2.587700368888343e-01	-9.254213725453639e-02	9.917809888438316e-01	3.828476065071029e-01	-7.682953006475307e-03	2.545204049000433e+00	
31	2.492383072229241e-01	-9.177553882002967e-02	9.917911361197612e-01	3.827738345813236e-01	-9.508396005247615e-03	2.545226036920786e+00	
32	2.397065775570140e-01	-9.100894038552296e-02	9.918207746956016e-01	3.826261010284130e-01	-1.141115975454763e-02	2.545290283851993e+00	
33	2.301748478911038e-01	-9.024234195101624e-02	9.918722013519540e-01	3.823955458925405e-01	-1.339435842610257e-02	2.545401744082671e+00	
34	2.206431182251936e-01	-8.947574351650953e-02	9.919480326026499e-01	3.820721695951596e-01	-1.546106686707587e-02	2.545566097763320e+00	
35	2.532665470789375e-01	-1.013303176001861e-01	9.922604044331252e-01	3.812766132213547e-01	-8.499771525763361e-03	2.546242694499685e+00	
36	2.437348174130273e-01	-1.005637191656794e-01	9.923000558691344e-01	3.811037188410245e-01	-1.029178465589546e-02	2.546328667046207e+00	
37	2.342030877471172e-01	-9.979712073117269e-02	9.923611327868197e-01	3.808503692731037e-01	-1.215426867843505e-02	2.546461071077454e+00	
38	2.246713580812070e-01	-9.903052229666599e-02	9.924460665309666e-01	3.805073441493223e-01	-1.408923819837278e-02	2.546645180139827e+00	
39	2.477630572690407e-01	-1.101184979458359e-01	9.927432354359637e-01	3.796864951778975e-01	-9.207388610968550e-03	2.547288753573639e+00	
40	2.382313276031305e-01	-1.093518995113292e-01	9.928114491102681e-01	3.794170608684007e-01	-1.095683119590478e-02	2.547436580142813e+00	
41	2.286995979372203e-01	-1.085853010768225e-01	9.929027790122587e-01	3.790615120248140e-01	-1.276901226893910e-02	2.547634494799096e+00	
42	2.422595674591438e-01	-1.189066782914856e-01	9.932268672058993e-01	3.780875362151138e-01	-9.804337385604397e-03	2.548337079688372e+00	
43	2.327278377932336e-01	-1.181400798569789e-01	9.933223588854104e-01	3.777255161545734e-01	-1.150245376934006e-02	2.548543960533748e+00	
44	2.367560776492470e-01	-1.276948586371354e-01	9.937086202467981e-01	3.764870714157472e-01	-1.029039252125355e-02	2.549381154934803e+00	
45	2.587700368888343e-01	-9.254213725453639e-02	9.917809913287922e-01	3.828476462633260e-01	-7.682927195494761e-03	2.545204070975274e+00	
46	2.532665470789375e-01	-1.013303176001861e-01	9.922604023720628e-01	3.812765951882798e-01	-8.499799295027356e-03	2.546242680474125e+00	
47	2.477630572690407e-01	-1.101184979458359e-01	9.927432391551189e-01	3.796865053777462e-01	-9.207373746590331e-03	2.547288769802843e+00	
48	2.422595674591438e-01	-1.189066782914856e-01	9.932268692859774e-01	3.780875257663290e-01	-9.804349702949439e-03	2.548337082598580e+00	
49	2.367560776492470e-01	-1.276948586371354e-01	9.937086186497744e-01	3.764871117361209e-01	-1.029034632669875e-02	2.549381164127308e+00	
