"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4"
22,3.382615396856211e-01,1.336119647996599e-01,9.825868226572434e-01,4.110614634303363e-01,9.310623967499404e-04,2.525250315984843e+00,
23,3.440783241901843e-01,1.454078092974182e-01,9.832691701508587e-01,4.090729216335532e-01,1.023131455831740e-03,2.526733257228037e+00,
24,3.203514907104847e-01,1.207546960060733e-01,9.814453428416736e-01,4.143492860979456e-01,2.669661989500554e-03,2.522769784021937e+00,
25,3.261682752150479e-01,1.325505405038317e-01,9.821930539225328e-01,4.121948932086420e-01,2.712111278967896e-03,2.524394668617844e+00,
26,3.319850597196111e-01,1.443463850015900e-01,9.829009506536349e-01,4.101404638083508e-01,2.731542984324349e-03,2.525933278702466e+00,
27,3.140750107444747e-01,1.314891162080034e-01,9.818022455771840e-01,4.133061982989369e-01,4.595868591134168e-03,2.523545375370007e+00,
28,3.198917952490380e-01,1.432849607057617e-01,9.825368142354369e-01,4.111836911684369e-01,4.535389737706673e-03,2.525142075435034e+00,
29,3.077985307784648e-01,1.422235364099334e-01,9.821780093584647e-01,4.121979049143196e-01,6.440246103081099e-03,2.524362370107524e+00,
30,2.587700368888343e-01,-9.254213725453639e-02,9.917809847585275e-01,3.828476019050376e-01,-7.682986017880779e-03,2.545204033545002e+00,
31,2.492383072229241e-01,-9.177553882002967e-02,9.917911280187017e-01,3.827738328680995e-01,-9.508422584360467e-03,2.545226008845979e+00,
32,2.397065775570140e-01,-9.100894038552296e-02,9.918207680753754e-01,3.826260991287587e-01,-1.141118857215948e-02,2.545290260841496e+00,
33,2.301748478911038e-01,-9.024234195101624e-02,9.918721949683927e-01,3.823955449964310e-01,-1.339438692034195e-02,2.545401722314157e+00,
34,2.206431182251936e-01,-8.947574351650953e-02,9.919480258511071e-01,3.820721765258605e-01,-1.546109732985380e-02,2.545566077842336e+00,
35,2.532665470789375e-01,-1.013303176001861e-01,9.922603967578245e-01,3.812766489870328e-01,-8.499803753095997e-03,2.546242682345372e+00,
36,2.437348174130273e-01,-1.005637191656794e-01,9.923000484925146e-01,3.811037543924739e-01,-1.029182001639637e-02,2.546328655908270e+00,
37,2.342030877471172e-01,-9.979712073117269e-02,9.923611253765745e-01,3.808504049376882e-01,-1.215430436648252e-02,2.546461059908113e+00,
