"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega","Species_0"
2098, -5.635685073053065e-02, 4.560832529352236e-03, -1.983642627357478e+00, 1.236566432144154e+00, 6.861795958730661e-05, 1.112601774222274e-04, 4.017854030955978e+05, 1.630218651901654e-25
2099, -5.635685073053739e-02, 4.580130223967874e-03, -1.981988382022840e+00, 1.618381589928497e+00, 1.180184221607214e-04, 2.849612106096397e-04, 2.291947293365540e+05, 1.556502414829995e-25
2100, -5.635685073054533e-02, 4.602833453345129e-03, -1.979726999578583e+00, 2.058348121328983e+00, 1.918011652732363e-04, 6.551786633128545e-04, 1.417687265532119e+05, 1.461117635360743e-25
2101, -5.635685073055467e-02, 4.629543120463008e-03, -1.976733873077029e+00, 2.560833227319848e+00, 2.983347054436656e-04, 1.374724246676292e-03, 9.501173790626579e+04, 1.342500829979562e-25
2102, -5.635685073056568e-02, 4.660966262657510e-03, -1.972925625669702e+00, 3.127637919313200e+00, 4.472813773110210e-04, 2.626447069735130e-03, 6.910052257524926e+04, 1.200828949056108e-25
2103, -5.635685073057861e-02, 4.697934631274105e-03, -1.968317972683234e+00, 3.756239323540520e+00, 6.487041801713890e-04, 4.492602927617988e-03, 5.409600074417739e+04, 1.038885017383818e-25
2104, -5.635685073059384e-02, 4.741426799791252e-03, -1.963174230843109e+00, 4.438262987908956e+00, 9.108741844667499e-04, 6.708486110742567e-03, 4.456973091592293e+04, 8.626397083270663e-26
2105, -5.635685073061174e-02, 4.792594101313353e-03, -1.958195098937666e+00, 5.158139300225824e+00, 1.235955941437409e-03, 8.853143962259658e-03, 3.749579282612781e+04, 6.813041465654809e-26
2106, -5.635685073063280e-02, 4.852790889248668e-03, -1.954585272030521e+00, 5.892388503278670e+00, 1.614066301905908e-03, 1.043454561975496e-02, 3.131901764252313e+04, 5.065368117159164e-26
2107, -5.635685073065758e-02, 4.923610583074943e-03, -1.953907277118481e+00, 6.610989547921599e+00, 2.017816146726581e-03, 1.103980637934051e-02, 2.541717919810976e+04, 3.504364376772926e-26
2108, -5.635685073068673e-02, 5.006927853528479e-03, -1.957712829004150e+00, 7.281039705482407e+00, 2.400072842132532e-03, 1.051505728878939e-02, 1.967259456422132e+04, 2.227537187508155e-26
2109, -5.635685073072105e-02, 5.104948107567229e-03, -1.966965360700030e+00, 7.872206084672990e+00, 2.697660949116176e-03, 9.015579784837210e-03, 1.401801413185729e+04, 1.283148856110701e-26
2110, -5.635685073076138e-02, 5.220266128524395e-03, -1.981559393193314e+00, 8.362280133790955e+00, 2.841724144044254e-03, 6.916877333165651e-03, 9.437909205759588e+03, 6.598335842874321e-27
2111, -5.635685073080886e-02, 5.355934527306082e-03, -1.999872844431028e+00, 8.740597816762715e+00, 2.773926411507301e-03, 4.830907305895277e-03, 6.154617491040924e+03, 2.980418418516197e-27
2112, -5.635685073086472e-02, 5.515544337291022e-03, -2.019261400169380e+00, 9.009291860158093e+00, 2.462375385841162e-03, 3.258944255611752e-03, 3.835499012340600e+03, 1.163429649829355e-27
2113, -5.635685073093043e-02, 5.703320534574831e-03, -2.036942465649667e+00, 9.181952941964179e+00, 1.908917892716491e-03, 2.302245406484216e-03, 2.269221778927355e+03, 3.868281529509357e-28
2114, -5.635685073100773e-02, 5.924233669037682e-03, -2.051146521097225e+00, 9.279908180869334e+00, 1.143667357924905e-03, 1.830426035137308e-03, 1.265943604989429e+03, 1.081299730672548e-28
2115, -5.635685073109867e-02, 6.184131648865342e-03, -2.061225760735029e+00, 9.326474646934949e+00, 2.116281981144718e-04, 1.677539326949602e-03, 6.595781469416804e+02, 2.531932808222007e-29
2116, -5.635685073120567e-02, 6.489893833496023e-03, -2.067438321985295e+00, 9.342426572704001e+00, -8.400576787440405e-04, 1.673008231600985e-03, 3.334834823316901e+02, 5.099196892247062e-30
2117, -5.635685073133155e-02, 6.849614148937059e-03, -2.070581776001753e+00, 9.343060886785306e+00, -1.971308434836471e-03, 1.713645149889599e-03, 1.902029052182471e+02, 9.367993088111983e-31
2118, -5.635685073147963e-02, 7.272814591673994e-03, -2.071326261305833e+00, 9.337069282316673e+00, -3.151931520169422e-03, 1.751920273419989e-03, 1.375839578752613e+02, 1.540341271713323e-31
2119, -5.635685073165387e-02, 7.770697466276467e-03, -2.069831504362386e+00, 9.328283777751281e+00, -4.357788755179340e-03, 1.773382704463724e-03, 1.217354297729884e+02, 2.175553408789987e-32
2120, -5.635685073185883e-02, 8.356442069740257e-03, -2.066016914582967e+00, 9.318351960910222e+00, -5.566080846988342e-03, 1.781799637941001e-03, 1.181157577041932e+02, 2.481088278169955e-33
2121, -5.635685073209998e-02, 9.045553403590813e-03, -2.059786914917738e+00, 9.308046008055067e+00, -6.753788183449380e-03, 1.784595756519622e-03, 1.176302974120672e+02, 2.195338576540013e-34
2122, -5.635685073238366e-02, 9.856272506940647e-03, -2.050964999796311e+00, 9.297703847718756e+00, -7.897230956204098e-03, 1.786016502105077e-03, 1.177233592949735e+02, 1.477566997654773e-35
2123, -5.635685073271741e-02, 1.081005984444832e-02, -2.039302360449488e+00, 9.287434417684796e+00, -8.971272286103020e-03, 1.787377620804973e-03, 1.178697286721135e+02, 7.483330834493414e-37
