"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Grid_Velocity_x","Grid_Velocity_y"
20, 8.940600156780000e-01, 4.720753985503058e-01, 1.460283916912729e-04, 0.000000000000000e+00, -1.379281203366223e-02, 4.128186565655364e+01, 0.000000000000000e+00, -9.444057655626068e+01
21, 8.841500282290000e-01, 4.708253997423054e-01, 1.471613037676667e-04, 0.000000000000000e+00, -1.389963330519366e-02, 4.162496300352461e+01, 0.000000000000000e+00, -9.444057655626068e+01
22, 8.738499879840000e-01, 4.695353987673058e-01, 1.472102460058100e-04, 0.000000000000000e+00, -1.390421589648172e-02, 4.172098470687548e+01, 0.000000000000000e+00, -9.444057655626068e+01
23, 8.631799817090000e-01, 4.682153980293057e-01, 1.491359608029736e-04, 0.000000000000000e+00, -1.408887107231228e-02, 4.229048648528266e+01, 0.000000000000000e+00, -9.444057655626068e+01
24, 8.521599769590000e-01, 4.668753980703054e-01, 1.490124999370233e-04, 0.000000000000000e+00, -1.407717939793417e-02, 4.235911676329771e+01, 0.000000000000000e+00, -9.444057655626068e+01
25, 8.407700061800000e-01, 4.655153988903055e-01, 1.498435876244439e-04, 0.000000000000000e+00, -1.415570582223009e-02, 4.261295380516395e+01, 0.000000000000000e+00, -9.444057655626068e+01
26, 8.290500044819999e-01, 4.641253980853056e-01, 1.496660338349415e-04, 0.000000000000000e+00, -1.413891117822479e-02, 4.263476091349067e+01, 0.000000000000000e+00, -9.444057655626068e+01
27, 8.170099854470000e-01, 4.627153980583055e-01, 1.509122292854698e-04, 0.000000000000000e+00, -1.425748549004961e-02, 4.303562303661182e+01, 0.000000000000000e+00, -9.444057655626068e+01
28, 8.046399950980000e-01, 4.612953993533057e-01, 1.507555702690290e-04, 0.000000000000000e+00, -1.424266978851959e-02, 4.309641662230857e+01, 0.000000000000000e+00, -9.444057655626068e+01
29, 7.919700145720000e-01, 4.598653982433055e-01, 1.504453827699084e-04, 0.000000000000000e+00, -1.421242207426071e-02, 4.309970984160219e+01, 0.000000000000000e+00, -9.444057655626068e+01
30, 7.790099978450000e-01, 4.584253984543055e-01, 1.505901182523717e-04, 0.000000000000000e+00, -1.422597585977426e-02, 4.311186128943498e+01, 0.000000000000000e+00, -9.444057655626068e+01
31, 7.657799720760000e-01, 4.569753981233057e-01, 1.536057723348025e-04, 0.000000000000000e+00, -1.451472064400555e-02, 4.426395978716440e+01, 0.000000000000000e+00, -9.444057655626068e+01
32, 7.522799968720000e-01, 4.555253996553058e-01, 1.535240659608991e-04, 0.000000000000000e+00, -1.450697636756972e-02, 4.421705144603183e+01, 0.000000000000000e+00, -9.444057655626068e+01
33, 7.385200262070000e-01, 4.540753993243055e-01, 1.537494000488944e-04, 0.000000000000000e+00, -1.452844391232644e-02, 4.435115905357016e+01, 0.000000000000000e+00, -9.444057655626068e+01
34, 7.245299816130000e-01, 4.526253971313058e-01, 1.541289500993642e-04, 0.000000000000000e+00, -1.456420917211187e-02, 4.444608604044926e+01, 0.000000000000000e+00, -9.444057655626068e+01
35, 7.103199958800001e-01, 4.511753986633055e-01, 1.551653981897843e-04, 0.000000000000000e+00, -1.466325093298034e-02, 4.489170512466232e+01, 0.000000000000000e+00, -9.444057655626068e+01
