"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Grid_Velocity_x","Grid_Velocity_y"
103, 4.356957325375801e-02, 1.977637093579194e-02, 6.852740168884158e-01, -2.062023541988472e-02, -2.131535426889586e-01, 1.579851852693160e+05, 0.000000000000000e+00, -3.009074058460388e-02, -3.110511508301005e-01
104, 3.960596759312193e-02, 1.882350527277792e-02, 6.916929114553543e-01, -1.981054509562447e-02, -2.193214981391310e-01, 1.594894172076843e+05, 0.000000000000000e+00, -2.864090767184034e-02, -3.170819757019183e-01
105, 3.590232452751133e-02, 1.781537537271012e-02, 6.995294958837239e-01, -1.896196857585957e-02, -2.257482300082677e-01, 1.613536924132110e+05, 0.000000000000000e+00, -2.710698744972209e-02, -3.227172544427492e-01
106, 3.241686992637394e-02, 1.686663627002439e-02, 6.985736189271587e-01, -1.792764643422673e-02, -2.291445710495712e-01, 1.611292604751149e+05, 0.000000000000000e+00, -2.566343330553286e-02, -3.280205484880901e-01
107, 2.914791454775911e-02, 1.594196242500664e-02, 7.103996249605520e-01, -1.723166022980432e-02, -2.365571236814369e-01, 1.638713693311477e+05, 0.000000000000000e+00, -2.425649565827017e-02, -3.329944281043205e-01
108, 2.610873269539721e-02, 1.495722896757051e-02, 7.231757807551805e-01, -1.645801255069608e-02, -2.441554695797495e-01, 1.669262854634797e+05, 0.000000000000000e+00, -2.275817429744542e-02, -3.376186957723255e-01
109, 2.325242730396415e-02, 1.403174980237562e-02, 7.143763699010837e-01, -1.525179792889682e-02, -2.442891736274866e-01, 1.648726822892991e+05, 0.000000000000000e+00, -2.135001131512927e-02, -3.419647077298816e-01
110, 2.056905306452000e-02, 1.316230252321745e-02, 7.186074406274234e-01, -1.439149079636308e-02, -2.486700464342478e-01, 1.658414976086908e+05, 0.000000000000000e+00, -2.002710365860931e-02, -3.460475962635098e-01
111, 1.810776749793763e-02, 1.218870113320849e-02, 7.486914861007322e-01, -1.388490565165959e-02, -2.618845046289416e-01, 1.728276428492700e+05, 0.000000000000000e+00, -1.854572029688504e-02, -3.497925657389064e-01
112, 1.581899764586356e-02, 1.121624827159440e-02, 7.739796013594619e-01, -1.320869938781915e-02, -2.734255688174392e-01, 1.788324690793642e+05, 0.000000000000000e+00, -1.706608447873672e-02, -3.532750438993447e-01
113, 1.367104519525655e-02, 1.030362592762591e-02, 7.830756494241731e-01, -1.227656034232411e-02, -2.791981748775516e-01, 1.810369041749358e+05, 0.000000000000000e+00, -1.567748379495968e-02, -3.565432613184620e-01
114, 1.165586441722577e-02, 9.447415630863217e-03, 7.679235635792249e-01, -1.103858404792899e-02, -2.761500823931888e-01, 1.774863645275642e+05, 0.000000000000000e+00, -1.437471687127075e-02, -3.596094599764301e-01
115, 9.770787955704185e-03, 8.633822800957930e-03, 7.665564624487753e-01, -1.006999644768377e-02, -2.778569093118746e-01, 1.770953723550375e+05, 0.000000000000000e+00, -1.313679456157812e-02, -3.624776983893296e-01
116, 8.082798097231475e-03, 7.707588734145952e-03, 7.898875248690249e-01, -9.263303383925637e-03, -2.883425549682165e-01, 1.824169270310949e+05, 0.000000000000000e+00, -1.172748295857719e-02, -3.650460596476037e-01
117, 6.543583288894761e-03, 6.765070310573340e-03, 8.116972889479014e-01, -8.355043117938362e-03, -2.982051449740519e-01, 1.875277856493595e+05, 0.000000000000000e+00, -1.029339388975798e-02, -3.673880522028615e-01
118, 5.155204302464689e-03, 5.799070177681877e-03, 8.396054800247837e-01, -7.408258119736808e-03, -3.102319638216981e-01, 1.941169823349558e+05, 0.000000000000000e+00, -8.823576222102772e-03, -3.695005404874624e-01
119, 3.922122764722535e-03, 4.803665491059207e-03, 8.737287746634619e-01, -6.386047690078763e-03, -3.244799137281269e-01, 2.021898837711938e+05, 0.000000000000000e+00, -7.309018050681506e-03, -3.713767359124132e-01
120, 2.853215301827777e-03, 3.773745796010042e-03, 9.141360420498269e-01, -5.248879096267726e-03, -3.409731082257710e-01, 2.117720349150143e+05, 0.000000000000000e+00, -5.741943562277261e-03, -3.730031322456606e-01
121, 1.948097285014161e-03, 2.718598164461791e-03, 9.584805237206697e-01, -3.964713286326541e-03, -3.588339242527067e-01, 2.223128550275816e+05, 0.000000000000000e+00, -4.136483502771849e-03, -3.743803147191699e-01
122, 1.216388579880240e-03, 1.641925966405025e-03, 1.006123492251657e+00, -2.513556981907175e-03, -3.777908883818057e-01, 2.336446183688242e+05, 0.000000000000000e+00, -2.498272735408730e-03, -3.754936462247917e-01
