"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
10	9.701499938960000e-01	-4.256268552403566e-03	1.323735461703903e+00	3.080096051924615e+02	4.306253969601013e+01	3.192152378455169e+05	1.130722539268542e+05	2.975672909540600e+02	2.587865674203897e-01	6.793993886975683e-01	
11	9.645400047300000e-01	-5.038225493362627e-03	1.316388463637209e+00	3.100092366310166e+02	4.304017414453340e+01	3.176936271134928e+05	1.121945821340933e+05	2.969054455363596e+02	2.394518640093161e-01	6.883009468200354e-01	
12	9.584699869160000e-01	-5.878077433056352e-03	1.309340225289962e+00	3.118668153961495e+02	4.297071587164923e+01	3.162321540932221e+05	1.113543375083276e+05	2.962681553021982e+02	2.209416637659847e-01	6.968016714909877e-01	
13	9.519400000570000e-01	-6.774428848839826e-03	1.302545784042852e+00	3.135968651468719e+02	4.285870751692073e+01	3.148212994958435e+05	1.105463560591055e+05	2.956526521967165e+02	2.031422063706234e-01	7.049486506416571e-01	
14	9.449599981310000e-01	-7.724467125531491e-03	1.295977790556819e+00	3.152193479905166e+02	4.270763061200227e+01	3.134559591045674e+05	1.097668106285607e+05	2.950555797188822e+02	1.859691813066305e-01	7.127946382033270e-01	
15	9.375399947170000e-01	-8.725349486403867e-03	1.289612224808913e+00	3.167442248576440e+02	4.252057632949030e+01	3.121311572532321e+05	1.090128327508892e+05	2.944752702990188e+02	1.693593975998649e-01	7.203684605834494e-01	
16	9.296900033950000e-01	-9.774221272349531e-03	1.283422817842692e+00	3.181836849589585e+02	4.230006554034993e+01	3.108416182107371e+05	1.082811195990440e+05	2.939092987835152e+02	1.532400954990138e-01	7.277075946354427e-01	
17	9.214000105860000e-01	-1.087086069705918e-02	1.277387578558571e+00	3.195466682031854e+02	4.204996528989968e+01	3.095828615340526e+05	1.075689700617036e+05	2.933557917812531e+02	1.375517707717303e-01	7.348411910894839e-01	
18	9.126999974250000e-01	-1.200973104171110e-02	1.271496005850604e+00	3.208402801333311e+02	4.177057954452199e+01	3.083528567352300e+05	1.068749853188687e+05	2.928137139793752e+02	1.222636080607983e-01	7.417867664779535e-01	
19	9.035800099370001e-01	-1.319055953446835e-02	1.265726566293106e+00	3.220668329368957e+02	4.146456617650677e+01	3.071468055079543e+05	1.061969315867414e+05	2.922822341183582e+02	1.073263981429411e-01	7.485586552779817e-01	
