"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
2066, 2.820507192225705e-02, 1.947366061184491e-01, 1.187684011920112e+00, 3.324969563646842e+02, 6.317150469663315e+01, 2.908188840455047e+05, 9.703877582077535e+04, 2.846261145052804e+02, 8.425597039795378e-01, -9.442353501869540e-02, 2.799540559842522e+02, 5.318881458588019e+01
2067, -7.763977623282943e-03, 1.542281681403948e-01, 1.249770104335460e+00, 3.222442588005332e+02, 6.863290741274760e+01, 3.039317013038014e+05, 1.042011914879351e+05, 2.904510150142465e+02, 7.716194479823154e-01, 6.336116738780664e-02, 2.578428285991687e+02, 5.491642596879189e+01
2068, 4.041296801426644e-03, 1.694905863594467e-01, 1.227460218170993e+00, 3.262941570505931e+02, 6.696932143548204e+01, 2.992326163295292e+05, 1.016146167307687e+05, 2.883892736098354e+02, 7.971191563595710e-01, 6.380122545219695e-03, 2.658287024053582e+02, 5.455926020581856e+01
2069, 4.966969059517064e-01, 3.421419111489849e-01, 8.618335633335896e-01, 3.336661237824002e+02, -7.493883646971602e+00, 2.194965831603400e+05, 6.194927088348550e+04, 2.504050835054299e+02, 1.220753005397125e+00, -8.674290894865028e-01, 3.871584235960513e+02, -8.695279420292136e+00
2070, 4.621707744082379e-01, 3.420964859742014e-01, 8.781174299938418e-01, 3.355933178518166e+02, -4.772150559695751e+00, 2.231569905102531e+05, 6.360662663950329e+04, 2.523365210266209e+02, 1.200233408530939e+00, -8.309183091999031e-01, 3.821736209633945e+02, -5.434524354822587e+00
2071, 4.268791843949796e-01, 3.410042206586101e-01, 8.936950483421316e-01, 3.374455831497709e+02, -1.487546922506886e+00, 2.266672122368788e+05, 6.518353135164397e+04, 2.540849130963094e+02, 1.181626797640100e+00, -7.961798281774533e-01, 3.775847071948722e+02, -1.664490505196815e+00
2072, 1.010686262069764e+00, 8.474097182558325e-02, 1.296942196875717e+00, 3.014393447539762e+02, -1.591584027847974e+01, 3.125636249425607e+05, 1.109740924443634e+05, 2.980789630736871e+02, 6.724644427753143e-01, 2.125650409829451e-01, 2.324231145228613e+02, -1.227181929682015e+01
2073, 1.008002343401187e+00, 9.876333622883478e-02, 1.291287153786781e+00, 3.025413672107999e+02, -1.672689720317111e+01, 3.113650390708175e+05, 1.103259302360757e+05, 2.976357624927854e+02, 6.784741217455477e-01, 1.982863275015802e-01, 2.342944141615428e+02, -1.295366189783459e+01
2074, 1.000917270904850e+00, 1.141598392177128e-01, 1.285533588658881e+00, 3.040084055805678e+02, -1.764699470838756e+01, 3.101708102585064e+05, 1.096412367205487e+05, 2.971124444516710e+02, 6.855250871589155e-01, 1.832028462282939e-01, 2.364842181196691e+02, -1.372736960284141e+01
2075, 5.687653784399563e-01, -3.382646413803023e-01, 1.164532803962094e+00, 3.404522514683207e+02, 1.836307206196261e+01, 2.859010856536757e+05, 9.439621555506697e+04, 2.823795240241108e+02, 8.691002044940868e-01, -1.526379147045626e-01, 2.923509327603299e+02, 1.576861725104339e+01
2076, 6.063075681384101e-01, -3.338983079883783e-01, 1.172932611590269e+00, 3.395243408991920e+02, 1.978327561820463e+01, 2.876880676785613e+05, 9.535232825963460e+04, 2.831969591889140e+02, 8.594897596723630e-01, -1.315751943085678e-01, 2.894661957082624e+02, 1.686650658590041e+01
2077, 6.438970293703471e-01, -3.273502652533871e-01, 1.181739977364993e+00, 3.385138239223128e+02, 2.103795577196105e+01, 2.895608574429103e+05, 9.635572775335332e+04, 2.840442182283432e+02, 8.494733279739211e-01, -1.094707678317358e-01, 2.864537295904302e+02, 1.780252523814150e+01
2078, 1.742075304641354e-01, -2.890441917281285e-01, 1.133569125212166e+00, 3.429819834096447e+02, -1.925358472849182e+01, 2.792900641288069e+05, 9.089553242462331e+04, 2.793346908947767e+02, 9.044721985095010e-01, -2.297563439642746e-01, 3.025682120139344e+02, -1.698492337191012e+01
2079, 2.088085981236372e-01, -3.021064382549232e-01, 1.115755482664167e+00, 3.443001711482037e+02, -1.426195323118092e+01, 2.754668368238214e+05, 8.890142392305817e+04, 2.775684069042225e+02, 9.247122775064474e-01, -2.736856313872844e-01, 3.085803085870518e+02, -1.278232861300996e+01
2080, 2.438335491927338e-01, -3.124538319625967e-01, 1.101528785075321e+00, 3.451186840358509e+02, -9.234609489050062e+00, 2.724025210508156e+05, 8.731977930348519e+04, 2.761513203868137e+02, 9.408180287211093e-01, -3.085285303768551e-01, 3.133088201705526e+02, -8.383448180538119e+00
2081, 2.779466952786664e-01, -3.206746349664696e-01, 1.092927234685992e+00, 3.455219548511669e+02, -4.206922452052985e+00, 2.705453384101893e+05, 8.636798547463771e+04, 2.752909197961578e+02, 9.505430694192113e-01, -3.294961079394958e-01, 3.161436039705228e+02, -3.849224649673655e+00
2082, 3.134989116482557e-01, -3.281605945018335e-01, 1.092145721576942e+00, 3.455655359868969e+02, 9.420948244275460e-01, 2.703759508893669e+05, 8.628215803974571e+04, 2.752141476141397e+02, 9.514089335800924e-01, -3.313868466095284e-01, 3.164097328403549e+02, 8.626090876108193e-01
2083, 3.487520414422414e-01, -3.340110250269663e-01, 1.100023095900238e+00, 3.451747806904445e+02, 5.529832235687062e+00, 2.720703871954771e+05, 8.716020832081065e+04, 2.760239720946800e+02, 9.422599505303382e-01, -3.120438052762803e-01, 3.137886667806370e+02, 5.027014665688952e+00
2084, 1.012878893982283e+00, -4.005853938396572e-02, 1.330344217437372e+00, 3.097930760220761e+02, 1.764857507260379e+01, 3.206575993868145e+05, 1.137881059907737e+05, 2.979635827942460e+02, 6.740325078225982e-01, 2.745564570946936e-01, 2.328668565334371e+02, 1.326617189842796e+01
