"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"Pressure"	"Temperature"	"Mach"	"C<sub>p</sub>"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"
13	1.800000000000000e+01	-2.000000000000000e+00	5.258046573262446e-05	1.789297625024985e-03	-9.964276435013000e-13	1.090352794850872e+01	4.349233326102604e+00	2.881499999938623e+02	9.999999994989178e-02	-1.058349757566576e-08	1.789297626005460e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
14	1.184579659002250e-01	3.231496189306219e-01	5.282280774210720e-05	0.000000000000000e+00	0.000000000000000e+00	1.097698218829352e+01	4.390792875317407e+00	2.895688318713089e+02	0.000000000000000e+00	1.365086204309918e+00	1.796135244838290e-05	2.975604131293189e-01	3.513289159017552e-01	-1.166447668279206e-01	1.585953386598824e+00	
15	9.307564136505508e-02	2.905384077011828e-01	5.308349838291283e-05	0.000000000000000e+00	0.000000000000000e+00	1.103762729713394e+01	4.415050918853576e+00	2.897387121147561e+02	0.000000000000000e+00	2.161878312433022e+00	1.796952847929667e-05	2.501191562174790e-01	3.503136746409032e-01	-1.040462881935648e-01	1.441538217118894e+00	
16	7.047302281520773e-02	2.559425245450528e-01	5.323640796441976e-05	0.000000000000000e+00	0.000000000000000e+00	1.107436424098719e+01	4.429745696394876e+00	2.898680811933420e+02	0.000000000000000e+00	2.644550493232523e+00	1.797575323232696e-05	2.007675755236749e-01	3.369314653150127e-01	-8.745771498201130e-02	1.293969204753501e+00	
17	5.080450905418732e-02	2.195982944240468e-01	5.330938916972647e-05	0.000000000000000e+00	0.000000000000000e+00	1.109315915952125e+01	4.437263663808498e+00	2.899625259777909e+02	0.000000000000000e+00	2.891489497005403e+00	1.798029671486024e-05	1.517831337116076e-01	3.104773625118485e-01	-6.739957689284209e-02	1.144437360436371e+00	
18	3.420445597454874e-02	1.817539852823973e-01	5.332863884226408e-05	0.000000000000000e+00	0.000000000000000e+00	1.109972435737969e+01	4.439889742951875e+00	2.900294050351459e+02	0.000000000000000e+00	2.977747036020451e+00	1.798351365389310e-05	1.058309237164583e-01	2.712214128929840e-01	-4.652401536658138e-02	9.936555697431833e-01	
19	2.078625877105689e-02	1.426681121251681e-01	5.333140062251476e-05	0.000000000000000e+00	0.000000000000000e+00	1.110217939619189e+01	4.440871758476754e+00	2.900785312163944e+02	0.000000000000000e+00	3.010002820338386e+00	1.798587643697504e-05	6.604016673720198e-02	2.218250098224394e-01	-2.909863962106833e-02	8.435542082573514e-01	
20	1.064157733648619e-02	1.026076710985966e-01	5.335208180582333e-05	0.000000000000000e+00	0.000000000000000e+00	1.110801398510288e+01	4.443205594041151e+00	2.901184738175112e+02	0.000000000000000e+00	3.086661177249824e+00	1.798779738258509e-05	3.466932651546659e-02	1.653455999612264e-01	-1.381687808115422e-02	6.925996099132091e-01	
21	3.839710131585572e-03	6.184631563554055e-02	5.338320113028493e-05	0.000000000000000e+00	0.000000000000000e+00	1.111547647830368e+01	4.446190591321470e+00	2.901441428479071e+02	0.000000000000000e+00	3.184707925009197e+00	1.798903180707620e-05	1.285589658411711e-02	1.031360608978149e-01	-2.168185639002224e-03	5.281916946146414e-01	
22	4.271208063898468e-04	2.066248712538188e-02	5.340539284247142e-05	0.000000000000000e+00	0.000000000000000e+00	1.112049550604150e+01	4.448198202416600e+00	2.901545341567146e+02	0.000000000000000e+00	3.250650946110446e+00	1.798953151048723e-05	1.461021997357954e-03	3.532425507921799e-02	1.538897425239834e-03	3.036056956058214e-01	
23	4.271208063113541e-04	-2.066248712348362e-02	5.340539475741166e-05	0.000000000000000e+00	0.000000000000000e+00	1.112049603769786e+01	4.448198415079143e+00	2.901545376246445e+02	0.000000000000000e+00	3.250657931333119e+00	1.798953167725366e-05	1.460823347826296e-03	-3.531945217939107e-02	1.538998004360095e-03	3.035850574972418e-01	
24	3.839710131382179e-03	-6.184631563390902e-02	5.338320812316832e-05	0.000000000000000e+00	0.000000000000000e+00	1.111547833537144e+01	4.446191334148574e+00	2.901441533152556e+02	0.000000000000000e+00	3.184732324288301e+00	1.798903231044058e-05	1.285535144162464e-02	-1.031316875106333e-01	-2.168804522951704e-03	5.281805155753324e-01	
