"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
10, -2.400000000000000e+01, 1.000000000000000e+01, 5.258053072712147e-05, 1.789280757725279e-03, 5.128905277318117e-09, 1.090354615338253e+01, 4.349240852699316e+00, 2.881501424726935e+02, 9.999890894213286e-02, 2.472118625695468e-04, 3.402934000440496e+01, 9.754380958868080e-05, 1.789298313449873e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
11, -2.400000000000000e+01, -1.000000000000000e+01, 5.258057964044264e-05, 1.789264350407304e-03, -6.471576279125571e-09, 1.090355972771350e+01, 4.349246517090770e+00, 2.881502497021573e+02, 9.999788034427305e-02, 4.332673621228129e-04, 3.402899630705254e+01, -1.230792114385122e-04, 1.789298830819926e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
12, 1.800000000000000e+01, 2.000000000000000e+00, 5.258046432646620e-05, 1.789297471005468e-03, 3.551194697074247e-10, 1.090352753706758e+01, 4.349233163296971e+00, 2.881499969134805e+02, 9.999999455088159e-02, -5.358180666095517e-06, 3.402970083900212e+01, 6.753829093302178e-06, 1.789297611142960e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
13, 1.800000000000000e+01, -2.000000000000000e+00, 5.258046432994425e-05, 1.789297536870309e-03, -3.401958687321490e-10, 1.090352754039482e+01, 4.349233163732129e+00, 2.881499969232508e+02, 9.999999822361590e-02, -5.343887224891390e-06, 3.402970208939967e+01, -6.470005030716505e-06, 1.789297611190102e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
14, 1.184579659002250e-01, 3.231496189306219e-01, 5.247464461678348e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.088045358487776e+01, 4.352181433951102e+00, 2.889268024309788e+02, 0.000000000000000e+00, 9.683504802606911e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.793043185095310e-05, 2.482497181653581e-01, 2.931078883737372e-01, -1.213290008546371e-01, 1.446303781056233e+00
15, 9.307564136505508e-02, 2.905384077011828e-01, 5.266650913749063e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.092206444404587e+01, 4.368825777618346e+00, 2.889751767899324e+02, 0.000000000000000e+00, 6.435436751737783e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.793276274587142e-05, 2.118380961245250e-01, 2.966977140199118e-01, -9.931020523663923e-02, 1.324133253779439e+00
16, 7.047302281520773e-02, 2.559425245450528e-01, 5.278414660859099e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.094795588053404e+01, 4.379182352213615e+00, 2.890146588276467e+02, 0.000000000000000e+00, 9.837210226335867e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.793466502947280e-05, 1.721358456605686e-01, 2.888812227789991e-01, -7.889768333583301e-02, 1.195787529581499e+00
17, 5.080450905418732e-02, 2.195982944240468e-01, 5.284741561363391e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.096214762264857e+01, 4.384859049059426e+00, 2.890428487621018e+02, 0.000000000000000e+00, 1.170180711363466e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.793602317186298e-05, 1.314383809641707e-01, 2.688615056012803e-01, -6.049208834358421e-02, 1.062972653274145e+00
18, 3.420445597454874e-02, 1.817539852823973e-01, 5.287186549807008e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.096789972609411e+01, 4.387159890437643e+00, 2.890607823993764e+02, 0.000000000000000e+00, 1.245755324356175e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.793688715038293e-05, 9.226213178352700e-02, 2.364475794040090e-01, -4.367287827020404e-02, 9.261916496331394e-01
19, 2.078625877105689e-02, 1.426681121251681e-01, 5.288335171046650e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.097057536360168e+01, 4.388230145440669e+00, 2.890685002252592e+02, 0.000000000000000e+00, 1.280909467715635e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.793725895969887e-05, 5.777995837955414e-02, 1.940794590372317e-01, -3.037616419437884e-02, 7.878454787986213e-01
20, 1.064157733648619e-02, 1.026076710985966e-01, 5.290251358597388e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.097472446521388e+01, 4.389889786085550e+00, 2.890730833157205e+02, 0.000000000000000e+00, 1.335422873390305e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.793747974963472e-05, 3.036721212193327e-02, 1.448278755923017e-01, -1.879426736122596e-02, 6.472782787719560e-01
21, 3.839710131585572e-03, 6.184631563554055e-02, 5.292519239034317e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.097955511934085e+01, 4.391822047736340e+00, 2.890763979331149e+02, 0.000000000000000e+00, 1.398890928094832e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.793763942995464e-05, 1.123944965449544e-02, 9.016816185781215e-02, -1.010832327972161e-02, 4.931560009421223e-01
