"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"
1707	8.451697910565743e+00	1.789473684210384e+00	5.257931163605235e-05	1.788849982890782e-03	-1.308914441245748e-07	1.090317865659973e+01	4.349099434597488e+00	2.881474538643694e+02	-4.397879457906467e-03	9.997761858289179e-02	1.789285341188087e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1708	8.182600871446288e+00	1.789473684210364e+00	5.257857439405273e-05	1.788569446043120e-03	-2.074027543016540e-07	1.090295577804516e+01	4.349013929921302e+00	2.881458290371258e+02	-7.206409795101342e-03	9.996362345203046e-02	1.789277501533641e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1709	7.921353948524514e+00	1.789473684210344e+00	5.257746219798384e-05	1.788147487336818e-03	-3.267651106449987e-07	1.090261968006077e+01	4.348884974046447e+00	2.881433801140258e+02	-1.144216043291901e-02	9.994257984534220e-02	1.789265685646019e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1710	7.667728130774744e+00	1.789473684210325e+00	5.257582905251754e-05	1.787530622098179e-03	-5.052100699576641e-07	1.090212630251000e+01	4.348695635240868e+00	2.881397852350584e+02	-1.766127970450408e-02	9.991183119310723e-02	1.789248340511724e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1711	7.421501086109255e+00	1.789473684210307e+00	5.257349941090315e-05	1.786652763786849e-03	-7.689112523356549e-07	1.090142270890392e+01	4.348425594064614e+00	2.881346598871223e+02	-2.653119032967940e-02	9.986808298355437e-02	1.789223610751479e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1712	7.182456964306322e+00	1.789473684210289e+00	5.257025867844567e-05	1.785436297367666e-03	-1.148514259074081e-06	1.090044422692578e+01	4.348049981410761e+00	2.881275318431890e+02	-3.886875571721798e-02	9.980748467678491e-02	1.789189217648496e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1713	6.950386217207460e+00	1.789473684210272e+00	5.256587290475234e-05	1.783790774490159e-03	-1.689399781724871e-06	1.089912030673180e+01	4.347541741858927e+00	2.881178896640083e+02	-5.556265204623598e-02	9.972551088783466e-02	1.789142693089411e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1714	6.725085409830275e+00	1.789473684210255e+00	5.256007100243424e-05	1.781619623855403e-03	-2.434336927524566e-06	1.089736936994906e+01	4.346869475064217e+00	2.881051368676694e+02	-7.764427110917503e-02	9.961737734354982e-02	1.789081158315907e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1715	6.506357042479605e+00	1.789473684210239e+00	5.255259159488337e-05	1.778823602865246e-03	-3.447707179083525e-06	1.089511283892867e+01	4.346003007102569e+00	2.880887040644512e+02	-1.061047210524499e-01	9.947812733417084e-02	1.789001864848102e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1716	6.294009375958797e+00	1.789473684210223e+00	5.254316389793001e-05	1.775310613878470e-03	-4.784548031037737e-06	1.089226948610959e+01	4.344910988641381e+00	2.880679942231044e+02	-1.419737180926272e-01	9.930322587940771e-02	1.788901930223102e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1717	6.087856264198539e+00	1.789473684210207e+00	5.253157414992499e-05	1.771003248754217e-03	-6.521169036288108e-06	1.088877547952365e+01	4.343568820992008e+00	2.880425435870188e+02	-1.860592433413489e-01	9.908883518773451e-02	1.788779114326536e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1718	5.887716995201712e+00	1.789473684210193e+00	5.251764578523202e-05	1.765850867752987e-03	-8.717796724063652e-06	1.088457839268793e+01	4.341956090236763e+00	2.880119600767781e+02	-2.390318227825128e-01	9.883254054090823e-02	1.788631522068250e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1719	5.693416125833945e+00	1.789473684210178e+00	5.250131802011149e-05	1.759835794732972e-03	-1.146369268083938e-05	1.087966103901106e+01	4.340066032030558e+00	2.879761200924675e+02	-3.011136415553982e-01	9.853353670907571e-02	1.788458553125566e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1720	5.504783332245491e+00	1.789473684210164e+00	5.248262345577868e-05	1.752979141389546e-03	-1.482961106601185e-05	1.087403400518329e+01	4.337902465757498e+00	2.879350884703111e+02	-3.721792462157692e-01	9.819301855146920e-02	1.788260515884317e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1721	5.321653258659609e+00	1.789473684210150e+00	5.246175098047769e-05	1.745347341432791e-03	-1.887067513398775e-05	1.086775509553675e+01	4.335487506150147e+00	2.878892860487042e+02	-4.515022449441776e-01	9.781441760811017e-02	1.788039436576606e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1722	5.143865374963003e+00	1.789473684210137e+00	5.243899787904691e-05	1.737069466482338e-03	-2.360738405547983e-05	1.086091506088904e+01	4.332855630328147e+00	2.878393599983556e+02	-5.379501846307710e-01	9.740448856688533e-02	1.787798434064815e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1723	4.971263835689424e+00	1.789473684210124e+00	5.241487469884889e-05	1.728324666627366e-03	-2.906376889380600e-05	1.085366758588487e+01	4.330065878200841e+00	2.877864203328219e+02	-6.295838102091438e-01	9.697240784810698e-02	1.787542862315193e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1724	4.803697341167043e+00	1.789473684210112e+00	5.238997729156072e-05	1.719352753952004e-03	-3.517618393211359e-05	1.084619254093037e+01	4.327187027678393e+00	2.877317595797942e+02	-7.241440072560515e-01	9.653057754463472e-02	1.787278958129048e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1725	4.641019005991788e+00	1.789473684210100e+00	5.236505277676553e-05	1.710477047775437e-03	-4.193565989298817e-05	1.083871741523419e+01	4.324305881857906e+00	2.876770430729542e+02	-8.187795968366171e-01	9.609587394140756e-02	1.787014760632661e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1726	4.483086228607315e+00	1.789473684210088e+00	5.234098556594357e-05	1.702038210159647e-03	-4.922485685648795e-05	1.083151113884342e+01	4.321525729663080e+00	2.876242851791725e+02	-9.100978981215353e-01	9.568576669906532e-02	1.786759997392740e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1727	4.329760567927137e+00	1.789473684210077e+00	5.231872081637952e-05	1.694366307813617e-03	-5.693266835737338e-05	1.082485259383251e+01	4.318954077343868e+00	2.875754543234935e+02	-9.945677058259003e-01	9.531702231538887e-02	1.786524177466705e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1728	4.180907620790451e+00	1.789473684210066e+00	5.229918717686895e-05	1.687789921470036e-03	-6.497057552180989e-05	1.081901845612161e+01	4.316697629740434e+00	2.875325625868751e+02	-1.068684138180734e+00	9.500634774593530e-02	1.786317023587851e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1729	4.036396906563180e+00	1.789473684210056e+00	5.228319532843102e-05	1.682651205553492e-03	-7.310968827372429e-05	1.081425442102064e+01	4.314850633207927e+00	2.874974451745296e+02	-1.129351531189512e+00	9.477104915127679e-02	1.786147406247472e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1730	3.896101751388101e+00	1.789473684210045e+00	5.227152559031747e-05	1.679230971381239e-03	-8.124608756644041e-05	1.081079799804588e+01	4.313504831165872e+00	2.874719391583956e+02	-1.173556433559577e+00	9.462511340480889e-02	1.786024205776232e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1731	3.759899176154609e+00	1.789473684210035e+00	5.226474990141760e-05	1.677712608812424e-03	-8.916749827181753e-05	1.080881968273369e+01	4.312726442125795e+00	2.874573253217721e+02	-1.199123798184763e+00	9.457703086953302e-02	1.785953614904529e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1732	3.627669790366152e+00	1.789473684210026e+00	5.226320445909809e-05	1.678236180336053e-03	-9.666359343082402e-05	1.080841815279287e+01	4.312553456045184e+00	2.874542951122853e+02	-1.204805787486187e+00	9.463308693492420e-02	1.785938977524341e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
