"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
50, 8.815420340998026e-01, -3.231496189305894e-01, 5.026773937272850e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.028083154134796e+01, 4.112332616539183e+00, 2.849897398696486e+02, 0.000000000000000e+00, -7.781361912562705e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.774009353266639e-05, 2.889887367780300e-01, 3.412083567579016e-01, -9.136791003882075e-02, 1.543690979864502e+00
51, 9.069243586349860e-01, -2.905384077011254e-01, 5.013403062040374e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.024918714467085e+01, 4.099674857868339e+00, 2.848702770019835e+02, 0.000000000000000e+00, -8.197125129427951e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.773429841446492e-05, 2.378655396687240e-01, 3.331514168365125e-01, -9.643973601942789e-02, 1.384291842422052e+00
52, 9.295269771848110e-01, -2.559425245450214e-01, 5.008905101343686e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.023852972420823e+01, 4.095411889683291e+00, 2.848296055700031e+02, 0.000000000000000e+00, -8.337148763319195e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.773232518636760e-05, 1.878647891643986e-01, 3.152777958750048e-01, -1.359326776671338e-01, 1.230802268936711e+00
53, 9.491954909458298e-01, -2.195982944240120e-01, 5.010298222514919e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.024148901150320e+01, 4.096595604601278e+00, 2.848327109209492e+02, 0.000000000000000e+00, -8.298267857548147e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.773247585131792e-05, 1.403451695052886e-01, 2.870806327670000e-01, -1.880992013094851e-01, 1.081773694703563e+00
54, 9.657955440254581e-01, -1.817539852823799e-01, 5.014871593036757e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.025160238329320e+01, 4.100640953317278e+00, 2.848539674673131e+02, 0.000000000000000e+00, -8.165392264068874e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.773350715211393e-05, 9.701697371922233e-02, 2.486331949368058e-01, -2.363224049783776e-01, 9.355844895556095e-01
55, 9.792137412289592e-01, -1.426681121251142e-01, 5.018790304931043e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.026027889341545e+01, 4.104111557366181e+00, 2.848724509533151e+02, 0.000000000000000e+00, -8.051395027957760e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.773440388277813e-05, 6.045967077455872e-02, 2.030804543059759e-01, -2.722301131717166e-01, 7.940810750516415e-01
56, 9.893584226635332e-01, -1.026076710985044e-01, 5.021372163088667e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.026577873917295e+01, 4.106311495669180e+00, 2.848785994493937e+02, 0.000000000000000e+00, -7.979134728994503e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.773470217233203e-05, 3.195727799946909e-02, 1.524112474926563e-01, -3.007531339548791e-01, 6.543107233914865e-01
57, 9.961602898684198e-01, -6.184631563549919e-02, 5.021755118919971e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.026644527616863e+01, 4.106578110467453e+00, 2.848753699911507e+02, 0.000000000000000e+00, -7.970377362933398e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.773454549803602e-05, 1.190874996368066e-02, 9.553760435424384e-02, -3.164484717710598e-01, 5.001343197229439e-01
58, 9.995728791936123e-01, -2.066248712533456e-02, 5.021524341135371e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.026594204605467e+01, 4.106376818421867e+00, 2.848744978409639e+02, 0.000000000000000e+00, -7.976989104441382e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.773450318629906e-05, 1.353368211871826e-03, 3.272142652114868e-02, -3.164598922968483e-01, 2.874190693594433e-01
59, 9.995728791936881e-01, 2.066248712349941e-02, 5.021524346666277e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.026594205846234e+01, 4.106376823384934e+00, 2.848744978714981e+02, 0.000000000000000e+00, -7.976988941421935e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.773450318778041e-05, 1.353371429681585e-03, -3.272150432340012e-02, -3.164598688328474e-01, 2.874194111938230e-01
60, 9.961602898686271e-01, 6.184631563383436e-02, 5.021755134152274e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.026644530895097e+01, 4.106578123580388e+00, 2.848753700366997e+02, 0.000000000000000e+00, -7.970376932219206e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.773454550024581e-05, 1.190875785838902e-02, -9.553766769183236e-02, -3.164484063885472e-01, 5.001344862030238e-01
61, 9.893584226638203e-01, 1.026076710971345e-01, 5.021372184875048e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.026577878355979e+01, 4.106311513423915e+00, 2.848785994451309e+02, 0.000000000000000e+00, -7.979134145813408e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.773470217212523e-05, 3.195728833280904e-02, -1.524112967767910e-01, -3.007529997342041e-01, 6.543108306073894e-01
62, 9.792137412292992e-01, 1.426681121239725e-01, 5.018790335130795e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.026027895183520e+01, 4.104111580734078e+00, 2.848724508611420e+02, 0.000000000000000e+00, -8.051394260403862e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.773440387830640e-05, 6.045968286943849e-02, -2.030804949337210e-01, -2.722299131416044e-01, 7.940811570704824e-01
63, 9.657955440258099e-01, 1.817539852814782e-01, 5.014871625468583e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.025160244582755e+01, 4.100640978331020e+00, 2.848539673627230e+02, 0.000000000000000e+00, -8.165391442454700e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.773350714703964e-05, 9.701698902379746e-02, -2.486332341604544e-01, -2.363221482592528e-01, 9.355845666445013e-01
64, 9.491954909461356e-01, 2.195982944233861e-01, 5.010298249260191e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.024148907131646e+01, 4.096595628526583e+00, 2.848327110640006e+02, 0.000000000000000e+00, -8.298267071685357e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.773247585825845e-05, 1.403451923666771e-01, -2.870806795317537e-01, -1.880989666485515e-01, 1.081773785274961e+00
65, 9.295269771850452e-01, 2.559425245446283e-01, 5.008905118623754e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.023852978136679e+01, 4.095411912546714e+00, 2.848296061774941e+02, 0.000000000000000e+00, -8.337148012335501e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.773232521584184e-05, 1.878648241333099e-01, -3.152778545611070e-01, -1.359325705834099e-01, 1.230802383563807e+00
