"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Pressure","Temperature","Pressure_Coefficient","Mach"
14,9.449599981310000e-01,-7.724467125531491e-03,1.058064849784495e+00,8.955406071333981e-01,1.213332322856142e-01,3.094057533770953e+00,1.083244057918262e+00,1.023797414817151e+00,1.858126292818355e-01,7.134308349033263e-01,
15,9.375399947170000e-01,-8.725349486403867e-03,1.052894719961670e+00,8.998355664039213e-01,1.207967692092790e-01,3.081047641969966e+00,1.075841976403943e+00,1.021794445358324e+00,1.692901259016587e-01,7.209594472313767e-01,
16,9.296900033950000e-01,-9.774221272349531e-03,1.047868598789621e+00,9.038899131008463e-01,1.201656459483763e-01,3.068386464939701e+00,1.068659734649664e+00,1.019841357861146e+00,1.532583362715720e-01,7.282536661720752e-01,
17,9.214000105860000e-01,-1.087086069705918e-02,1.042968627923198e+00,9.077289265839459e-01,1.194507991945495e-01,3.056030042128403e+00,1.061670787413885e+00,1.017931660636743e+00,1.376580076202797e-01,7.353425442226939e-01,
18,9.126999974250000e-01,-1.200973104171110e-02,1.038186276228994e+00,9.113725186763468e-01,1.186530966288254e-01,3.043958404927694e+00,1.054861421895698e+00,1.016061805138933e+00,1.224585310171835e-01,7.422433857926758e-01,
19,9.035800099370001e-01,-1.319055953446835e-02,1.033503935335268e+00,9.148271234041826e-01,1.177800049521891e-01,3.032124101015756e+00,1.048209571569696e+00,1.014228911697040e+00,1.076106508252147e-01,7.489704672018740e-01,
20,8.940600156780000e-01,-1.440916392228702e-02,1.028919606385458e+00,9.181267455507549e-01,1.168352689481612e-01,3.020529016507768e+00,1.041705458668959e+00,1.012426483278337e+00,9.309254167178430e-02,7.555507677127252e-01,
21,8.841500282290000e-01,-1.566269158090452e-02,1.024425768049730e+00,9.212740555989765e-01,1.158254060168705e-01,3.009152467417034e+00,1.035340072540751e+00,1.010654070632955e+00,7.888409049274801e-02,7.619886692845705e-01,
22,8.738499879840000e-01,-1.694956337677533e-02,1.020000499318956e+00,9.242683253763084e-01,1.147516820608609e-01,2.997933921722185e+00,1.029087399827407e+00,1.008908721627605e+00,6.492723175760501e-02,7.682973821860796e-01,
23,8.631799817090000e-01,-1.826569132102762e-02,1.015650687342895e+00,9.271510212952206e-01,1.136200269096073e-01,2.986901927266918e+00,1.022946083499553e+00,1.007182977619740e+00,5.121893638293022e-02,7.745059447010547e-01,
24,8.521599769590000e-01,-1.960709133914372e-02,1.011353775899055e+00,9.299067934932488e-01,1.124330592046848e-01,2.975990857392973e+00,1.016892696993723e+00,1.005476739422607e+00,3.770691293241810e-02,7.806164928917307e-01,
25,8.407700061800000e-01,-2.097463226217677e-02,1.007106703258326e+00,9.325585020248444e-01,1.111968370977745e-01,2.965197903609859e+00,1.010917960862971e+00,1.003784363257949e+00,2.437044835484556e-02,7.866507926711633e-01,
26,8.290500044819999e-01,-2.236196298315981e-02,1.002896425072789e+00,9.351029622980934e-01,1.099052387709637e-01,2.954486237446207e+00,1.005007203799609e+00,1.002104682671162e+00,1.117679419555569e-02,7.926143259720780e-01,
