"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Pressure_Coefficient"	"Mach"	"Sharp_Edge_Dist"
1930	6.185618012137634e-01	-2.890630640536518e-01	9.582458601700629e-01	9.632976445283797e-01	6.088452754025251e-02	2.841179998542517e+00	9.420231219857154e-01	0.000000000000000e+00	8.586040723188337e-01	4.785943527595934e-01	
1931	6.540015031462922e-01	-2.825655105254073e-01	9.655636378867938e-01	9.603003092910358e-01	6.435594538690209e-02	2.859975034886956e+00	9.521190245400188e-01	0.000000000000000e+00	8.483597227776006e-01	4.467194058505957e-01	
1932	1.697307315628978e-01	-2.509178219382545e-01	9.225232270168198e-01	9.738171737633816e-01	-6.016410392739642e-02	2.748961180533517e+00	8.932071189818375e-01	0.000000000000000e+00	9.083975061354772e-01	8.673562194838511e-01	
1933	2.020348232189003e-01	-2.625997490595535e-01	9.076027867936599e-01	9.775375394789049e-01	-4.534580430951364e-02	2.710204983670712e+00	8.730566947634613e-01	0.000000000000000e+00	9.291098130909263e-01	8.400637187508053e-01	
1934	2.355524896093267e-01	-2.722496710471292e-01	8.953992068660385e-01	9.799759846076787e-01	-3.027861379816744e-02	2.678424573814306e+00	8.566567537057760e-01	0.000000000000000e+00	9.461213294484081e-01	8.114800549167974e-01	
1935	2.684650322420929e-01	-2.796172490688824e-01	8.875329089911088e-01	9.812620020327913e-01	-1.552310043969439e-02	2.657897837945105e+00	8.461269890316183e-01	0.000000000000000e+00	9.571175570173713e-01	7.831533789938032e-01	
1936	3.023347116555732e-01	-2.863114789987829e-01	8.859679905285843e-01	9.814192491775566e-01	-5.422389728307914e-04	2.653769491419540e+00	8.440769535656465e-01	0.000000000000000e+00	9.591589275088578e-01	7.541293772073746e-01	
1937	3.369987427786464e-01	-2.917773589737437e-01	8.918931271799984e-01	9.804402485930845e-01	1.311557325768615e-02	2.669166703351545e+00	8.520724935349689e-01	0.000000000000000e+00	9.506075887755340e-01	7.243650283432991e-01	
1938	1.418892225169316e-01	-2.740929527252958e-01	9.456475845182511e-01	9.673979690956230e-01	-6.552980736311985e-02	2.808787403814879e+00	9.246770593615129e-01	0.000000000000000e+00	8.763458664809790e-01	9.008224315403494e-01	
1939	1.001596785873996e+00	2.803612556170424e-03	1.132283771811391e+00	7.299674109657508e-01	-2.804781824864975e-02	3.260408897606421e+00	1.209904665105969e+00	0.000000000000000e+00	5.274809840202201e-01	3.226448278294529e-03	
1940	1.004563859156470e+00	-7.789871185927134e-03	1.123172969212726e+00	8.374160045004743e-01	4.435704459459263e-02	3.256832671249943e+00	1.177510506029395e+00	0.000000000000000e+00	6.162825605202694e-01	9.028338911086215e-03	
1941	1.004073771643495e+00	-6.859041347241949e-03	1.125808756868543e+00	8.338521112878164e-01	4.395132814291602e-02	3.263295919907274e+00	1.181453470373331e+00	0.000000000000000e+00	6.119089296827794e-01	7.977597608711496e-03	
1942	1.002073881921730e+00	-1.073289067288288e-03	1.150559039832885e+00	8.062090896191353e-01	2.435825450570029e-02	3.325394061031113e+00	1.217070643941090e+00	0.000000000000000e+00	5.760622002640501e-01	2.335152167898147e-03	
1943	1.005872894965482e+00	1.371359050501848e-02	1.100671894046721e+00	7.855717077657369e-01	-3.383125588915216e-02	3.184179848291722e+00	1.161328282660605e+00	0.000000000000000e+00	5.877839959051793e-01	1.491822575961757e-02	
1944	9.401777346111351e-01	-1.900877816199421e-01	1.031479966971949e+00	9.241540158635527e-01	7.018722131045571e-02	3.027777985712938e+00	1.044556953525638e+00	0.000000000000000e+00	7.546277709371974e-01	1.992788703235910e-01	
