"PointID","x","y","Adjoint_Density","Adjoint_X-Momentum","Adjoint_Y-Momentum","Adjoint_Energy","Surface_Sensitivity","Limiter_Adjoint_Density"
2098,2.000000000000002e-02,4.489795918367346e-01,-2.475427783476306e+03,6.838668743890939e+00,5.159321115286917e-01,-4.557188255205774e-03,0.000000000000000e+00,0.000000000000000e+00,
2099,0.000000000000000e+00,4.489795918367347e-01,-2.501353541031650e+03,6.892543973869812e+00,5.516160252655199e-01,-4.604914179184285e-03,0.000000000000000e+00,0.000000000000000e+00,
2100,1.500000000000000e+00,5.293297032619771e-01,-1.419887521822706e+03,4.531364152335803e+00,7.990865568888524e-01,-2.613914270475123e-03,0.000000000000000e+00,0.000000000000000e+00,
2101,1.479591836734694e+00,5.272734119417590e-01,-1.420238044649058e+03,4.532167050161857e+00,7.989306495982221e-01,-2.614560792693281e-03,0.000000000000000e+00,0.000000000000000e+00,
2102,1.459183673469387e+00,5.252171206215437e-01,-1.420282253856437e+03,4.532251426989595e+00,7.989944519954419e-01,-2.614644082766446e-03,0.000000000000000e+00,0.000000000000000e+00,
2103,1.438775510204082e+00,5.231608293013285e-01,-1.419673439907788e+03,4.530784681259942e+00,7.996298180932647e-01,-2.613525052150577e-03,0.000000000000000e+00,0.000000000000000e+00,
2104,1.418367346938776e+00,5.211045379811134e-01,-1.419311790041201e+03,4.529906698029532e+00,8.000408471814964e-01,-2.612858394161734e-03,0.000000000000000e+00,0.000000000000000e+00,
2105,1.397959183673469e+00,5.190482466608982e-01,-1.420901603603274e+03,4.533682178459393e+00,7.986485932031984e-01,-2.615779184011726e-03,0.000000000000000e+00,0.000000000000000e+00,
2106,1.377551020408163e+00,5.169919553406829e-01,-1.424078274828041e+03,4.541240536332136e+00,7.957980528103659e-01,-2.621618290731791e-03,0.000000000000000e+00,0.000000000000000e+00,
2107,1.357142857142857e+00,5.149356640204676e-01,-1.424530940168186e+03,4.542284315327979e+00,7.955778263927386e-01,-2.622446864780786e-03,0.000000000000000e+00,0.000000000000000e+00,
2108,1.336734693877551e+00,5.128793727002524e-01,-1.417116071438892e+03,4.524518402424248e+00,8.029050988461757e-01,-2.608801019201025e-03,0.000000000000000e+00,0.000000000000000e+00,
2109,1.316326530612245e+00,5.108230813800372e-01,-1.402664074184723e+03,4.489915096871413e+00,8.170267705091923e-01,-2.582204766301375e-03,0.000000000000000e+00,0.000000000000000e+00,
2110,1.295918367346939e+00,5.087667900598219e-01,-1.391864585749559e+03,4.464026658709199e+00,8.277400069769633e-01,-2.562325528994889e-03,0.000000000000000e+00,0.000000000000000e+00,
2111,1.275510204081633e+00,5.067104987396068e-01,-1.400999428895215e+03,4.485808254284259e+00,8.193849788517675e-01,-2.579128139800828e-03,0.000000000000000e+00,0.000000000000000e+00,
