"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Pressure","Temperature","Pressure_Coefficient","Mach"
26,9.693877551020409e-01,1.000000000000000e+00,1.161205517117452e+00,8.075360800273568e+02,-8.450569306593718e-11,5.307920350581873e+05,9.999999999973449e+04,2.999999999997722e+02,-9.482651616313630e-13,2.002826699084488e+00,
27,9.489795918367347e-01,1.000000000000000e+00,1.161205517118666e+00,8.075360800279910e+02,-1.487339108647788e-10,5.307920350587004e+05,9.999999999988072e+04,2.999999999998971e+02,-4.260073183104397e-13,2.002826699083549e+00,
28,9.285714285714286e-01,1.000000000000000e+00,1.161205517119602e+00,8.075360800284799e+02,-5.226749793492612e-11,5.307920350590962e+05,9.999999999999361e+04,2.999999999999940e+02,-2.281532423304660e-14,2.002826699082824e+00,
29,9.081632653061225e-01,1.000000000000000e+00,1.161205517119806e+00,8.075360800285855e+02,4.329639730541758e-12,5.307920350591819e+05,1.000000000000182e+05,3.000000000000151e+02,6.485996501786370e-14,2.002826699082665e+00,
30,8.877551020408163e-01,1.000000000000000e+00,1.161205517119725e+00,8.075360800285429e+02,1.099214936742122e-11,5.307920350591476e+05,1.000000000000085e+05,3.000000000000070e+02,3.045507972793920e-14,2.002826699082725e+00,
31,8.673469387755104e-01,1.000000000000000e+00,1.161205517119654e+00,8.075360800285064e+02,3.571716069553197e-12,5.307920350591181e+05,1.000000000000000e+05,2.999999999999997e+02,1.559133774467877e-16,2.002826699082780e+00,
32,8.469387755102040e-01,1.000000000000000e+00,1.161205517119641e+00,8.075360800284991e+02,-3.912712204892049e-13,5.307920350591121e+05,9.999999999999840e+04,2.999999999999982e+02,-5.716823839715550e-15,2.002826699082791e+00,
33,8.265306122448980e-01,1.000000000000000e+00,1.161205517119648e+00,8.075360800285013e+02,-8.106426840215377e-13,5.307920350591146e+05,9.999999999999943e+04,2.999999999999997e+02,-2.026873906808241e-15,2.002826699082779e+00,
34,8.061224489795918e-01,1.000000000000000e+00,1.161205517119653e+00,8.075360800285038e+02,-4.997019102447653e-13,5.307920350591167e+05,1.000000000000001e+05,3.000000000000002e+02,3.118267548935754e-16,2.002826699082775e+00,
35,7.857142857142858e-01,1.000000000000000e+00,1.161205517119654e+00,8.075360800285047e+02,-3.267092911224330e-13,5.307920350591172e+05,1.000000000000002e+05,3.000000000000001e+02,5.716823839715551e-16,2.002826699082775e+00,
36,7.653061224489797e-01,1.000000000000000e+00,1.161205517119654e+00,8.075360800285048e+02,-2.383784799212741e-13,5.307920350591172e+05,1.000000000000001e+05,3.000000000000001e+02,3.118267548935754e-16,2.002826699082776e+00,
37,7.448979591836735e-01,1.000000000000000e+00,1.161205517119653e+00,8.075360800285046e+02,-2.137616755822849e-13,5.307920350591174e+05,1.000000000000001e+05,3.000000000000005e+02,4.157690065247673e-16,2.002826699082777e+00,
38,7.244897959183674e-01,1.000000000000000e+00,1.161205517119652e+00,8.075360800285046e+02,-3.825729014076409e-13,5.307920350591174e+05,1.000000000000001e+05,3.000000000000005e+02,3.637978807091714e-16,2.002826699082777e+00,
