"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.069506702113350e+00, 1.551488886458695e-01, 8.481380603823206e-01
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.062492047271709e+00, 1.394911769457785e-01, 8.573271063881048e-01
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.055655543711885e+00, 1.242311243568853e-01, 8.662861715594149e-01
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.048976521691024e+00, 1.093225930603216e-01, 8.750524698356275e-01
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.042446981437569e+00, 9.474772642314502e-02, 8.836329064214704e-01
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.036054924238943e+00, 8.047974160478240e-02, 8.920404179733833e-01
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.029780394276456e+00, 6.647409436708943e-02, 9.003040417572695e-01
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.023611602357739e+00, 5.270446954852519e-02, 9.084384129861861e-01
24, 8.521599769590000e-01, -1.960709133914372e-02, 1.017545822020301e+00, 3.916478129531441e-02, 9.164500870704092e-01
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.011551165514880e+00, 2.578385159571404e-02, 9.243786113876827e-01
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.005629108984242e+00, 1.256497541125536e-02, 9.322246179778163e-01
27, 8.170099854470000e-01, -2.376642068849115e-02, 9.997738715989294e-01, -5.047508952469045e-04, 9.399948427037224e-01
28, 8.046399950980000e-01, -2.518763605296113e-02, 9.939621893613234e-01, -1.347725588990310e-02, 9.477221443296752e-01
29, 7.919700145720000e-01, -2.662062628442961e-02, 9.881939955572135e-01, -2.635268848836262e-02, 9.554053350476333e-01
30, 7.790099978450000e-01, -2.806276676215449e-02, 9.824560891526256e-01, -3.916051528431783e-02, 9.630636417682934e-01
31, 7.657799720760000e-01, -2.951033727360171e-02, 9.767409071420682e-01, -5.191761798645494e-02, 9.707076266782496e-01
32, 7.522799968720000e-01, -3.096181144522562e-02, 9.710308594713823e-01, -6.466326010852154e-02, 9.783622977525305e-01
33, 7.385200262070000e-01, -3.241453277608040e-02, 9.653100175057785e-01, -7.743299663888728e-02, 9.860477055282836e-01
34, 7.245299816130000e-01, -3.386376679305321e-02, 9.595728874761562e-01, -9.023909045500844e-02, 9.937727046402040e-01
35, 7.103199958800001e-01, -3.530689307158652e-02, 9.538157929430175e-01, -1.030897478950501e-01, 1.001544292135731e+00
36, 6.958900094030001e-01, -3.674225211597043e-02, 9.480183545677429e-01, -1.160304585541454e-01, 1.009390433480645e+00
37, 6.812700033190000e-01, -3.816515293304169e-02, 9.421737365967257e-01, -1.290764808108802e-01, 1.017321419083197e+00
38, 6.664699912070000e-01, -3.957289370556494e-02, 9.362775414199972e-01, -1.422376307589348e-01, 1.025346539176043e+00
39, 6.514999866490000e-01, -4.096270419333766e-02, 9.303136158174320e-01, -1.555499646932321e-01, 1.033488381294467e+00
40, 6.363800168040000e-01, -4.233084266562091e-02, 9.242687985432114e-01, -1.690428603946173e-01, 1.041766969244718e+00
41, 6.211299896240000e-01, -4.367359094194759e-02, 9.181395648431274e-01, -1.827241856180191e-01, 1.050186465426808e+00
42, 6.057599782940000e-01, -4.498807223669178e-02, 9.119198959954901e-01, -1.966073750100668e-01, 1.058757803990728e+00
43, 5.902799963950000e-01, -4.627132533375768e-02, 9.055963438187989e-01, -2.107224468330380e-01, 1.067503272994136e+00
44, 5.747100114820000e-01, -4.751950934859488e-02, 8.991530739253704e-01, -2.251047457022983e-01, 1.076449780395354e+00
45, 5.590599775310000e-01, -4.872955796694115e-02, 8.925981130133901e-01, -2.397363548808256e-01, 1.085595649813074e+00
46, 5.433599948880000e-01, -4.989683951066199e-02, 8.859417029057157e-01, -2.545944131568845e-01, 1.094917815134628e+00
47, 5.276100039480000e-01, -5.101897737545535e-02, 8.791595937329745e-01, -2.697330497031819e-01, 1.104457695284175e+00
48, 5.118399858470000e-01, -5.209138375948307e-02, 8.722581392831790e-01, -2.851380819571898e-01, 1.114212437676906e+00
49, 4.960500001910000e-01, -5.311153541819326e-02, 8.652435523403874e-01, -3.007956420973495e-01, 1.124179827868417e+00
50, 4.802699983120000e-01, -5.407492053959814e-02, 8.581391579006271e-01, -3.166536654003859e-01, 1.134332817857912e+00
51, 4.645099937920000e-01, -5.497835513414191e-02, 8.509449596013767e-01, -3.327121437469269e-01, 1.144664550690927e+00
52, 4.487800002100000e-01, -5.581859897363720e-02, 8.437281597430392e-01, -3.488210720021447e-01, 1.155054883538027e+00
53, 4.331099987030000e-01, -5.659141825851464e-02, 8.361393914695615e-01, -3.657602868983001e-01, 1.166091634872812e+00
54, 4.174999892710000e-01, -5.729416860686566e-02, 8.285461055028941e-01, -3.827095859310399e-01, 1.177163276552863e+00
55, 4.019699990750000e-01, -5.792324246601335e-02, 8.233462292391306e-01, -3.943164525912263e-01, 1.184696101169806e+00
56, 3.865399956700000e-01, -5.847520956655861e-02, 8.212990022645440e-01, -3.988861556594999e-01, 1.187284914395578e+00
57, 3.712300062180000e-01, -5.894684318665333e-02, 8.215374200350015e-01, -3.983539731361573e-01, 1.184999112004900e+00
58, 3.560400009160000e-01, -5.933561549045978e-02, 8.099146969107256e-01, -4.242975515385589e-01, 1.204674628815865e+00
59, 3.409900069240000e-01, -5.963847719943702e-02, 7.659608398243734e-01, -5.224088396777380e-01, 1.272057014157431e+00
60, 3.261100053790000e-01, -5.985254444802346e-02, 7.282012755186920e-01, -6.066935814314911e-01, 1.333992252349117e+00
