"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Pressure_Coefficient"	"Mach"	"Sharp_Edge_Dist"
45	5.590599775310000e-01	-4.872955796694115e-02	9.208595246253637e-01	9.662275830622288e-01	7.325623385999257e-02	2.741324519762480e+00	8.925981130133901e-01	-2.397363548808256e-01	1.085595649813074e+00	4.436244732142443e-01	
46	5.433599948880000e-01	-4.989683951066199e-02	9.159396232772795e-01	9.674742449710260e-01	7.041514449062845e-02	2.728515138037780e+00	8.859417029057157e-01	-2.545944131568845e-01	1.094917815134628e+00	4.593580181751921e-01	
47	5.276100039480000e-01	-5.101897737545535e-02	9.109170110271458e-01	9.686504472312596e-01	6.742983692062560e-02	2.715416200728105e+00	8.791595937329745e-01	-2.697330497031819e-01	1.104457695284175e+00	4.751370796122377e-01	
48	5.118399858470000e-01	-5.209138375948307e-02	9.057936173314701e-01	9.697520928295073e-01	6.429074089738858e-02	2.702040290079508e+00	8.722581392831790e-01	-2.851380819571898e-01	1.114212437676906e+00	4.909314735070822e-01	
49	4.960500001910000e-01	-5.311153541819326e-02	9.005755692952734e-01	9.707754126984582e-01	6.098905882095986e-02	2.688397706938101e+00	8.652435523403874e-01	-3.007956420973495e-01	1.124179827868417e+00	5.067409964685797e-01	
50	4.802699983120000e-01	-5.407492053959814e-02	8.952814716895530e-01	9.717149950726379e-01	5.751110341320118e-02	2.674532061199608e+00	8.581391579006271e-01	-3.166536654003859e-01	1.134332817857912e+00	5.225355219369994e-01	
51	4.645099937920000e-01	-5.497835513414191e-02	8.899109987538533e-01	9.725566794660113e-01	5.385301782425993e-02	2.660430674163147e+00	8.509449596013767e-01	-3.327121437469269e-01	1.144664550690927e+00	5.383049008525742e-01	
52	4.487800002100000e-01	-5.581859897363720e-02	8.845032521457166e-01	9.732715573887494e-01	4.994719211692692e-02	2.646204941114954e+00	8.437281597430392e-01	-3.488210720021447e-01	1.155054883538027e+00	5.540389915519189e-01	
53	4.331099987030000e-01	-5.659141825851464e-02	8.788218071655475e-01	9.739337180919595e-01	4.590920882217217e-02	2.631217250329241e+00	8.361393914695615e-01	-3.657602868983001e-01	1.166091634872812e+00	5.697076989044669e-01	
54	4.174999892710000e-01	-5.729416860686566e-02	8.731308021155764e-01	9.744425411194095e-01	4.169220414407269e-02	2.616115548322115e+00	8.285461055028941e-01	-3.827095859310399e-01	1.177163276552863e+00	5.853109295542301e-01	
55	4.019699990750000e-01	-5.792324246601335e-02	8.692228847349471e-01	9.747078880900161e-01	3.713606301947329e-02	2.605655900463982e+00	8.233462292391306e-01	-3.943164525912263e-01	1.184696101169806e+00	6.008285812310630e-01	
56	3.865399956700000e-01	-5.847520956655861e-02	8.676333127543187e-01	9.745787454851323e-01	3.236228822063206e-02	2.601204248949464e+00	8.212990022645440e-01	-3.988861556594999e-01	1.187284914395578e+00	6.162406405345372e-01	
57	3.712300062180000e-01	-5.894684318665333e-02	8.673663024773468e-01	9.731832037131992e-01	2.564780489934300e-02	2.600177524083683e+00	8.215374200350015e-01	-3.983539731361573e-01	1.184999112004900e+00	6.315270662467984e-01	
58	3.560400009160000e-01	-5.933561549045978e-02	8.590657077909200e-01	9.754740690229594e-01	2.022368647758472e-02	2.578853007637882e+00	8.099146969107256e-01	-4.242975515385589e-01	1.204674628815865e+00	6.466878657326862e-01	
59	3.409900069240000e-01	-5.963847719943702e-02	8.254675492141319e-01	9.741791587930715e-01	1.802274306091788e-02	2.489939757672403e+00	7.659608398243734e-01	-5.224088396777380e-01	1.272057014157431e+00	6.617030443761743e-01	
60	3.261100053790000e-01	-5.985254444802346e-02	7.961585951455776e-01	9.713476691494088e-01	1.142520326996068e-02	2.413128097568332e+00	7.282012755186920e-01	-6.066935814314911e-01	1.333992252349117e+00	6.765427199572795e-01	
61	3.113999962810000e-01	-5.997565198183213e-02	7.864852465699590e-01	9.700011653959962e-01	3.900018209950950e-03	2.387635159999511e+00	7.157825773151694e-01	-6.344138899214968e-01	1.355172696816262e+00	6.912069472686546e-01	
62	2.968699932100000e-01	-6.000550062925582e-02	7.850888947944695e-01	9.696588145388541e-01	-1.004827300712877e-03	2.384279701167669e+00	7.141876093876890e-01	-6.379740861881941e-01	1.357709546383352e+00	7.056858129183786e-01	
63	2.825500071050000e-01	-5.994005483718394e-02	7.867023864604240e-01	9.700045789057465e-01	-8.014665175716326e-03	2.388669816990429e+00	7.162483352071152e-01	-6.333742517698321e-01	1.354331509413340e+00	7.199495138403249e-01	
64	2.684499919410000e-01	-5.977765596976551e-02	7.890223382917625e-01	9.702183087085100e-01	-1.470847768127308e-02	2.394779033820563e+00	7.192517276985437e-01	-6.266702506728934e-01	1.349082323969518e+00	7.339882713261586e-01	
65	2.545700073240000e-01	-5.951657836311273e-02	7.917913483744756e-01	9.705146019817166e-01	-2.201246758622351e-02	2.402139083573369e+00	7.228173817299193e-01	-6.187112014957158e-01	1.343028307525875e+00	7.478021777722996e-01	
66	2.409400045870000e-01	-5.915585896897953e-02	7.951112587273534e-01	9.707974690855173e-01	-2.961635307154911e-02	2.410956321569384e+00	7.271013069124478e-01	-6.091488684990004e-01	1.335782388795977e+00	7.613616041584585e-01	
