"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Grid_Velocity_x","Grid_Velocity_y"
1480, 9.280159190557050e-02, 5.591216073869692e-02, 1.157037266457508e+00, 3.364011114025711e+02, 4.940630566429363e+01, 2.838404568828803e+05, 1.005779293350130e-01, 2.872040416775120e-01
1481, 8.394215691352874e-02, -5.392639607360190e-02, 1.110148695128586e+00, 3.400963256250448e+02, -5.050043350566084e+01, 2.739360851879612e+05, -9.725020809719193e-02, 3.041768208350546e-01
1482, 9.123243960793026e-01, -3.021863125854620e-02, 1.272318641222160e+00, 3.199400968440084e+02, 3.084702193360403e+01, 3.084645538348984e+05, -5.288154820562666e-02, -1.233117106617485e+00
1483, 9.208268242130542e-01, -2.742793875218929e-02, 1.276477664239865e+00, 3.188978626944749e+02, 3.074293046077182e+01, 3.093217829015835e+05, -4.790979491753133e-02, -1.248969515015468e+00
1484, 9.205724270527538e-01, 3.332110242662144e-02, 1.272403274870656e+00, 3.192144885379454e+02, -3.098349820501018e+01, 3.076189107855255e+05, 5.992144130080590e-02, -1.248976990608184e+00
1485, 8.348984137266417e-02, 5.249028675610805e-02, 1.165303552990457e+00, 3.351476304483434e+02, 5.239816379195324e+01, 2.856036729782401e+05, 9.447255154413647e-02, 3.045466976727590e-01
1486, 7.492967759002359e-02, 4.922079307339146e-02, 1.173555801524476e+00, 3.337775259948288e+02, 5.541331815333354e+01, 2.873594718742160e+05, 8.862909610700459e-02, 3.204929380948596e-01
1487, 5.544410505807455e-03, 1.268517158800488e-02, 1.382677097375499e+00, 2.613085243874623e+02, 1.299547835982097e+02, 3.310144099228092e+05, 2.279070153003418e-02, 4.498774213388445e-01
1488, 2.896782151943742e-03, 9.987993496018437e-03, 1.434463679031645e+00, 2.321212184021422e+02, 1.384379033861709e+02, 3.415620089207739e+05, 1.789219285234483e-02, 4.548052693567343e-01
1489, 4.101724147007981e-03, 1.131786103686675e-02, 1.407631381036493e+00, 2.475616528325456e+02, 1.350601768888004e+02, 3.361037242781769e+05, 2.030343906154076e-02, 4.525573388487093e-01
1490, 5.471708478481821e-03, 1.448246814898100e-02, 1.383733434507212e+00, 2.654654216525839e+02, 1.210723619434356e+02, 3.312465385533646e+05, 2.574247510913020e-02, 4.496848725936702e-01
1491, 1.375879106783441e+01, 7.310411591259354e+00, 1.225169108551719e+00, 3.316268036203180e+02, 2.078066024408795e-02, 2.982483606629055e+05, 6.600837622589098e-02, -2.774401922217394e-01
1492, 1.460624109523267e+01, 6.704518523104033e+00, 1.225112621260007e+00, 3.316085732569812e+02, 1.100144667078716e-01, 2.982305978537222e+05, 5.010995452390034e-02, -2.453725419327182e-01
1493, -1.043914651898377e+01, -1.114095573253032e+01, 1.224256374275449e+00, 3.318893935172595e+02, -2.145930509748357e-02, 2.980918098022584e+05, -1.931692530880816e-01, 1.124650160129517e-01
1494, -1.018520099461717e+01, 1.019450393635609e+01, 1.224469766086336e+00, 3.318777491315782e+02, 4.241367273850755e-02, 2.981378497666521e+05, 2.197695864263699e-01, 1.389231693573934e-01
1495, -1.364923657955102e+01, 6.794381584282768e+00, 1.225037612220746e+00, 3.317972199464712e+02, 9.833402961851263e-02, 2.982590151121815e+05, 1.165921257800365e-01, 1.724255610877904e-01
1496, -1.472598085485429e+01, 2.703857795427024e+00, 1.225472008322241e+00, 3.317629641663983e+02, 5.395830925331913e-02, 2.983584422734436e+05, 4.941016324506765e-02, 2.058639461359995e-01
1497, 1.002803325040644e+00, 2.080325899560662e-03, 1.301746118492185e+00, 2.543380607130645e+02, 8.239363899474514e+00, 3.108174977280973e+05, 5.354523779097138e-03, -1.398731045056248e+00
1498, 1.000780669206454e+00, 5.791702789572458e-03, 1.353997679772761e+00, 2.989488589063224e+02, 6.485304817170063e+00, 3.244484575404507e+05, 1.014164628798041e-02, -1.396870159790583e+00
1499, -1.719767611422407e-03, -7.502425626143022e-04, 1.635713900529087e+00, 7.453465937553743e+01, -1.213450193831606e+01, 3.816431694013909e+05, -1.610451139629916e-03, 4.634908534601668e-01
1500, -4.964086069942220e+00, -1.175044624103964e+01, 1.225696014126031e+00, 3.318096433892337e+02, -6.604371510712546e-02, 2.984373031379193e+05, -3.644125020830707e-01, 3.248991578461842e-02
1501, -6.007299282119908e+00, -1.289357967745810e+01, 1.225326003201486e+00, 3.318641651660020e+02, -2.401995380638957e-02, 2.983556272902358e+05, -2.923056783015519e-01, 3.906252877315271e-02
1502, -4.969537188993414e+00, -1.297513771639028e+01, 1.225519644384620e+00, 3.318548773817090e+02, -6.305489325984426e-02, 2.984034400940299e+05, -3.171029419890636e-01, 1.525610347723440e-02
1503, -3.943632006369087e+00, -1.341150050841988e+01, 1.225571286287552e+00, 3.318578406546736e+02, -1.078507900292858e-01, 2.984201373118052e+05, -3.204245790368398e-01, -1.571682758716367e-02
1504, 9.410289325240461e-01, -2.688163138961643e-02, 1.287018431134409e+00, 3.166987850677590e+02, 2.970655058237091e+01, 3.115227317528290e+05, -4.585098335191052e-02, -1.286105934014312e+00
1505, 9.472100468647076e-01, -2.420555191384366e-02, 1.290944440240404e+00, 3.156197011360493e+02, 2.962119942039652e+01, 3.123285590840755e+05, -4.117248968540971e-02, -1.297672488467850e+00
1506, 9.964128874404780e-01, -1.899152395490130e-03, 1.365662739809955e+00, 2.913059573969726e+02, 1.680219026838981e+01, 3.275595994310972e+05, -1.642797386167992e-03, -1.389527147226759e+00
1507, 4.819771327932766e-02, 4.367189922482411e-02, 1.211210733925993e+00, 3.270931420659889e+02, 6.611780450032495e+01, 2.953486032894499e+05, 7.760083124711553e-02, 3.696691718644748e-01
1508, 1.393622217542485e+01, -2.311848725297261e+00, 1.224996292556461e+00, 3.333197391897888e+02, -4.813010780459294e-02, 2.986725800015800e+05, -2.696536937866630e-02, -3.806158901030212e-01
1509, 4.255387957399387e-02, 4.065999264705678e-02, 1.220508345403454e+00, 3.249538436992844e+02, 6.968091547951876e+01, 2.973120359393660e+05, 7.227037380874311e-02, 3.802121475874283e-01
1510, 4.857179200185134e-02, -4.541546294231954e-02, 1.151535591596624e+00, 3.344445542199014e+02, -6.580938321832184e+01, 2.827601677249001e+05, -8.096397941587398e-02, 3.693776627124139e-01
1511, 4.290308499356326e-02, -4.245331807311013e-02, 1.159549200119403e+00, 3.328230954081968e+02, -6.974819035073243e+01, 2.844564567401382e+05, -7.574586792967369e-02, 3.799288129493963e-01
1512, 3.783149852185374e-02, -3.948200736776219e-02, 1.167684796587853e+00, 3.310264618378679e+02, -7.387600083258114e+01, 2.861756671801060e+05, -7.054651536187319e-02, 3.893951207210414e-01
1513, -1.341530233818903e+01, -3.608923167932245e+00, 1.224771933093722e+00, 3.317801400072096e+02, -4.774602111691661e-02, 2.981882927526531e+05, -8.332271623424060e-02, 2.399753568193211e-01
1514, -2.212376721056243e-05, -9.454574375133475e-03, 1.460617479825682e+00, 2.076738268205427e+02, -1.526177405487767e+02, 3.468035203754857e+05, -1.723983116254494e-02, 4.600112444110386e-01
1515, -6.310010522864656e-04, -8.192264037215733e-03, 1.492790090498695e+00, 1.879996418861246e+02, -1.488103568083805e+02, 3.533056447157655e+05, -1.498897467741408e-02, 4.611696767941627e-01
1516, 7.325773128540262e-04, -1.078364260326174e-02, 1.428570212952781e+00, 2.267797212759944e+02, -1.534521467812231e+02, 3.403381525592142e+05, -1.960684536144759e-02, 4.585841627089761e-01
1517, 9.528590211192711e-01, -2.175554764829092e-02, 1.294942768502393e+00, 3.145093869447691e+02, 2.954763566583485e+01, 3.131494559304022e+05, -3.688089614748261e-02, -1.308241756910034e+00
1518, 9.469864180910681e-01, 3.032860874700110e-02, 1.288303059424033e+00, 3.157401495070609e+02, -2.998058192084108e+01, 3.109268539951127e+05, 5.361687763136713e-02, -1.297719112967757e+00
1519, 9.526553694993694e-01, 2.792847036648147e-02, 1.292704997797646e+00, 3.146786650497285e+02, -2.996023338799057e+01, 3.118390268982302e+05, 4.943951494432339e-02, -1.308285523723352e+00
1520, -2.751967943619469e+00, -1.369695621222175e+01, 1.225343135584718e+00, 3.318817976493391e+02, -9.532909286794414e-02, 2.983640829046247e+05, -3.257811625529007e-01, -5.046027945328745e-02
1521, -1.630312255010134e+00, -1.408967043243331e+01, 1.224951449394711e+00, 3.318869007476076e+02, -1.149527296375160e-02, 2.982651027926895e+05, -3.153883365311358e-01, -8.177817754336673e-02
1522, 9.578196368660747e-01, 2.568650709577329e-02, 1.297211111525613e+00, 3.135683856711451e+02, -2.992313509535750e+01, 3.127720837468551e+05, 4.553901005124431e-02, -1.317914225707045e+00
1523, -1.045815745085868e+01, -9.607470453500026e+00, 1.224121774848929e+00, 3.318750962373308e+02, -3.709893168035416e-02, 2.980519781824650e+05, -2.156285456064040e-01, 1.546739936246215e-01
1524, -9.338737590177509e+00, -9.833750734201077e+00, 1.224385559187349e+00, 3.318658211607398e+02, -1.917143412379417e-02, 2.981148724809669e+05, -2.548462588681918e-01, 1.516939113082708e-01
1525, -1.855892980029548e-03, -2.390315904529153e-03, 1.621962460976487e+00, 9.158580815802696e+01, -6.342000845689481e+01, 3.790188292040722e+05, -4.586620176419846e-03, 4.636681011162483e-01
1526, -1.758316197589204e-03, -3.029669304541440e-03, 1.612352058731261e+00, 9.844917106286189e+01, -8.132139484521467e+01, 3.771259860155084e+05, -5.750406615060726e-03, 4.634911608904639e-01
1527, -1.686659534320157e-03, -3.836735979404489e-03, 1.598332373777894e+00, 1.108532629800147e+02, -9.977492145291055e+01, 3.743973965682962e+05, -7.208531761211400e-03, 4.633273934824769e-01
1528, -9.309229220795171e-05, 7.283808633796579e-03, 1.513159602038071e+00, 1.887985332043652e+02, 1.240447203601668e+02, 3.574416497363642e+05, 1.284173013844496e-02, 4.601152534982598e-01
1529, 3.315320312466760e-02, -3.694168879061528e-02, 1.176613718004877e+00, 3.291170287315563e+02, -7.827983548033247e+01, 2.880739288720854e+05, -6.603583638674988e-02, 3.980923599599221e-01
1530, -1.344350211236491e+01, -2.431762444782698e+00, 1.224785553783017e+00, 3.317887162732042e+02, -1.653945252840124e-02, 2.981923141116167e+05, -5.900145771991925e-02, 2.549920389108680e-01
1531, -1.372396729992369e+01, -1.240088673305708e+00, 1.224913183680555e+00, 3.317950135659644e+02, -6.025830838567776e-03, 2.982227795870304e+05, -2.931656947511408e-02, 2.548108857467821e-01
1532, -1.363142176016237e+01, 3.931713082854981e-03, 1.224910274078774e+00, 3.317792785644497e+02, 3.088665099737405e-03, 2.982213707344695e+05, 4.698437224714205e-04, 2.615953156105792e-01
1533, 3.750707790418413e-02, 3.764403235442865e-02, 1.230017165715483e+00, 3.225788517870970e+02, 7.337323051167344e+01, 2.993141300173645e+05, 6.696614215035344e-02, 3.896708303346004e-01
1534, 9.625691914081362e-01, 2.363784963836565e-02, 1.301833585142431e+00, 3.124168876110421e+02, -2.983594570662487e+01, 3.137291286410489e+05, 4.196489658604378e-02, -1.326767199801534e+00
1535, 6.488106291805240e+00, -1.122302808014105e+01, 1.226127504751551e+00, 3.320362876102789e+02, -3.793155087758243e-01, 2.985930143526895e+05, -2.774052130474043e-01, -3.635216673526797e-01
1536, 7.108875463106036e+00, -1.258674932118484e+01, 1.226594606090103e+00, 3.321238784643464e+02, -5.743220995932914e-01, 2.987428911491466e+05, -2.193635665381646e-01, -2.843634449953020e-01
1537, 7.637523889141268e+00, -1.149969392086126e+01, 1.225774663570610e+00, 3.320466205865896e+02, -3.224270429412791e-01, 2.985074153930600e+05, -2.272149715708839e-01, -3.339049997337640e-01
1538, 8.704897135500788e+00, -1.131684011958690e+01, 1.225506010625830e+00, 3.320102004567666e+02, -2.436804552154188e-01, 2.984348920441188e+05, -1.911537205564519e-01, -3.221690900667276e-01
1539, 7.645566988761058e+00, 1.132293603815828e+01, 1.224378746429565e+00, 3.315916386297692e+02, -4.323993295791683e-01, 2.980506084647416e+05, 2.318371989131757e-01, -3.444074639198934e-01
1540, 8.863503703119015e+00, 1.121387742680816e+01, 1.224653604705108e+00, 3.315996996345237e+02, -3.334569913362631e-01, 2.981211930408514e+05, 1.886299803874018e-01, -3.234447080267894e-01
1541, 7.985273215148605e+00, 9.781561531151803e+00, 1.225385147181304e+00, 3.317927915566856e+02, -1.232214453301783e-01, 2.983544615061202e+05, 2.434501940346902e-01, -4.241749523223127e-01
1542, 9.039852743660102e+00, 9.504005564264849e+00, 1.225579754084007e+00, 3.318120562808646e+02, -7.121945290822143e-02, 2.984049801966054e+05, 2.036640980009930e-01, -4.104206380948914e-01
1543, 1.086172363040894e+01, 9.275241932261583e+00, 1.225389728588589e+00, 3.317571550946618e+02, -6.603658620097844e-02, 2.983396898730068e+05, 1.394291601543083e-01, -3.508382856886352e-01
1544, 9.270274330912940e+00, 8.370831413756310e+00, 1.225891482774006e+00, 3.319244335121360e+02, 3.825153831112934e-02, 2.985154603972508e+05, 1.999186786370034e-01, -4.621306655267752e-01
1545, 1.018128839124338e+01, 7.943054248583034e+00, 1.225735653972675e+00, 3.318982049077889e+02, 5.257606922953644e-03, 2.984665999665220e+05, 1.647481532004507e-01, -4.448763345734542e-01
1546, 9.919262773150651e+00, 1.045073967264152e+01, 1.225045651784941e+00, 3.316636817556911e+02, -1.980364947512359e-01, 2.982343097793387e+05, 1.609440816702962e-01, -3.293945615678832e-01
1547, 9.452518319509576e+00, -1.038892835156490e+01, 1.225040694744522e+00, 3.319318540882970e+02, -9.558234374252050e-02, 2.983002821361419e+05, -1.781209291984919e-01, -3.498598254868676e-01
1548, 1.110840512687833e+01, -8.642548102333812e+00, 1.224635633984982e+00, 3.318505970141108e+02, 4.014195553960367e-02, 2.981768598243123e+05, -1.324438379591871e-01, -3.682473154990312e-01
1549, 1.044687104527810e+01, -9.666111382613686e+00, 1.224712297985265e+00, 3.318722438191895e+02, 4.884431877998662e-03, 2.982045668454150e+05, -1.498665525796985e-01, -3.497848158191639e-01
1550, -1.077973759751125e-03, -6.994909644132266e-03, 1.523110126568795e+00, 1.678356272519375e+02, -1.414395708218209e+02, 3.593889445320803e+05, -1.285597982313346e-02, 4.620400547098784e-01
1551, 9.580046310397252e-01, -1.946814725267989e-02, 1.299056075772490e+00, 3.133564461414320e+02, 2.945956032887736e+01, 3.139941514971776e+05, -3.287554496357003e-02, -1.317873242560072e+00
1552, 1.401498328676050e+01, -3.554072743954097e+00, 1.224724876745609e+00, 3.328626630791129e+02, -1.222578636627369e-01, 2.984764345144372e+05, -3.826416678179976e-02, -3.558392818566135e-01
1553, -8.780978726056475e+00, 1.041105520638181e+01, 1.224938471018605e+00, 3.318377505564259e+02, 3.903745264742319e-02, 2.982522868345241e+05, 2.686963716297602e-01, 1.324007912584780e-01
1554, -8.918963782981590e+00, 8.961117804289982e+00, 1.224839186507198e+00, 3.318241957116417e+02, 3.911707933927258e-02, 2.982215780669854e+05, 2.809421943123320e-01, 1.764394060319264e-01
1555, -7.675350253169984e+00, 9.378843198682135e+00, 1.225393086159903e+00, 3.317939443955543e+02, 4.146579203739238e-02, 2.983513667459635e+05, 3.275270501412443e-01, 1.538140072857946e-01
1556, -5.727840083676844e+00, 1.273333009695913e+01, 1.225444124636802e+00, 3.318646538805468e+02, 4.668082655081727e-02, 2.983807929743830e+05, 3.075393458635372e-01, 3.607443734929262e-02
1557, 3.285028420206799e-02, 3.506269842236193e-02, 1.240176021682199e+00, 3.200363196789727e+02, 7.723527959679993e+01, 3.014595160922889e+05, 6.236296419761386e-02, 3.983587865808472e-01
1558, -9.053347791392740e+00, -1.084813932793309e+01, 1.224445980688155e+00, 3.318715885267900e+02, -2.626349987989168e-04, 2.981351489087221e+05, -2.490318245018194e-01, 1.221017621683847e-01
1559, -8.048111640408028e+00, -9.667051516051833e+00, 1.224791219131973e+00, 3.318457316272334e+02, -3.018901126386024e-02, 2.982088723792720e+05, -3.077300124087733e-01, 1.495891144134267e-01
